,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,34298,1,0.10498787083517053
1,NARRATOR,Other,Unknown,34294,5,0.48146363086754046
2,NARRATOR,Other,Unknown,34289,10,0.9199757033699741
3,NARRATOR,Other,Unknown,34284,15,1.3299073180669385
4,NARRATOR,Other,Unknown,34279,20,1.724416053834997
5,NARRATOR,Other,Unknown,34269,30,2.4780491691091955
6,NARRATOR,Other,Unknown,34249,50,2.512046529269263
7,NARRATOR,Other,Unknown,34229,70,2.4574485044023917
8,NARRATOR,Response,Anger,34298,1,0.10980494821977117
9,NARRATOR,Response,Anger,34294,5,0.5480569710082656
10,NARRATOR,Response,Anger,34289,10,1.091648604449117
11,NARRATOR,Response,Anger,34284,15,1.6273469665661289
12,NARRATOR,Response,Anger,34279,20,2.152607818832881
13,NARRATOR,Response,Anger,34269,30,3.1713655823594618
14,NARRATOR,Response,Anger,34249,50,3.092230402792467
15,NARRATOR,Response,Anger,34229,70,2.788106059007355
16,NARRATOR,Response,Anticipation,34298,1,0.16113450334031712
17,NARRATOR,Response,Anticipation,34294,5,0.8015430611066253
18,NARRATOR,Response,Anticipation,34289,10,1.5920610467231973
19,NARRATOR,Response,Anticipation,34284,15,2.3650527231291156
20,NARRATOR,Response,Anticipation,34279,20,3.113891462890573
21,NARRATOR,Response,Anticipation,34269,30,4.527876014420473
22,NARRATOR,Response,Anticipation,34249,50,3.6436332417540642
23,NARRATOR,Response,Anticipation,34229,70,2.986588220036772
24,NARRATOR,Response,Arousal,34298,1,0.4445134762003829
25,NARRATOR,Response,Arousal,34294,5,2.1895051079423165
26,NARRATOR,Response,Arousal,34289,10,4.320565539191553
27,NARRATOR,Response,Arousal,34284,15,6.287374670780834
28,NARRATOR,Response,Arousal,34279,20,7.9367996295836925
29,NARRATOR,Response,Arousal,34269,30,10.266612590185682
30,NARRATOR,Response,Arousal,34249,50,3.181640293443373
31,NARRATOR,Response,Arousal,34229,70,1.8389546957129097
32,NARRATOR,Response,Disgust,34298,1,0.07553194726968554
33,NARRATOR,Response,Disgust,34294,5,0.3764555652621198
34,NARRATOR,Response,Disgust,34289,10,0.7491796322079685
35,NARRATOR,Response,Disgust,34284,15,1.1187515392857363
36,NARRATOR,Response,Disgust,34279,20,1.484294271478258
37,NARRATOR,Response,Disgust,34269,30,2.2021530489876167
38,NARRATOR,Response,Disgust,34249,50,2.439911238571105
39,NARRATOR,Response,Disgust,34229,70,2.39093601982472
40,NARRATOR,Response,Dominance,34298,1,0.6048785559369738
41,NARRATOR,Response,Dominance,34294,5,2.9315552241628016
42,NARRATOR,Response,Dominance,34289,10,5.740483685060607
43,NARRATOR,Response,Dominance,34284,15,8.18295238255478
44,NARRATOR,Response,Dominance,34279,20,9.862275088018944
45,NARRATOR,Response,Dominance,34269,30,11.843921784250032
46,NARRATOR,Response,Dominance,34249,50,2.554756654611236
47,NARRATOR,Response,Dominance,34229,70,1.383047957446584
48,NARRATOR,Response,Fear,19010,1,0.9994004828770824
49,NARRATOR,Response,Fear,19006,5,4.99446381203908
50,NARRATOR,Response,Fear,19001,10,9.946620545867178
51,NARRATOR,Response,Fear,18996,15,13.686322495709138
52,NARRATOR,Response,Fear,18991,20,14.194860724977133
53,NARRATOR,Response,Fear,18981,30,14.212268381234617
54,NARRATOR,Response,Fear,18961,50,0.0
55,NARRATOR,Response,Fear,18941,70,0.0
56,NARRATOR,Response,Joy,32397,1,0.41052475251320675
57,NARRATOR,Response,Joy,32393,5,2.051299788243074
58,NARRATOR,Response,Joy,32388,10,4.088726931726449
59,NARRATOR,Response,Joy,32383,15,6.068001739062846
60,NARRATOR,Response,Joy,32378,20,7.903614454399141
61,NARRATOR,Response,Joy,32368,30,10.868927822080934
62,NARRATOR,Response,Joy,32348,50,0.0
63,NARRATOR,Response,Joy,32328,70,1.1943308645921678
64,NARRATOR,Response,Sadness,30428,1,0.44782831550467217
65,NARRATOR,Response,Sadness,30424,5,2.2381012939777913
66,NARRATOR,Response,Sadness,30419,10,4.464588986019868
67,NARRATOR,Response,Sadness,30414,15,6.626048540636476
68,NARRATOR,Response,Sadness,30409,20,8.609240329259753
69,NARRATOR,Response,Sadness,30399,30,11.657344721025295
70,NARRATOR,Response,Sadness,30379,50,2.487962185519803
71,NARRATOR,Response,Sadness,30359,70,0.7746309483261407
72,NARRATOR,Response,Surprise,30428,1,0.41928829158799813
73,NARRATOR,Response,Surprise,30424,5,2.094667421058317
74,NARRATOR,Response,Surprise,30419,10,4.172696399158051
75,NARRATOR,Response,Surprise,30414,15,6.18009612325676
76,NARRATOR,Response,Surprise,30409,20,8.028677024812024
77,NARRATOR,Response,Surprise,30399,30,10.976433383955863
78,NARRATOR,Response,Surprise,30379,50,0.0
79,NARRATOR,Response,Surprise,30359,70,1.1023086364095223
80,NARRATOR,Response,Trust,34298,1,0.1789585790941772
81,NARRATOR,Response,Trust,34294,5,0.8909115435233451
82,NARRATOR,Response,Trust,34289,10,1.7694282893511983
83,NARRATOR,Response,Trust,34284,15,2.6315083782412896
84,NARRATOR,Response,Trust,34279,20,3.4648473922354377
85,NARRATOR,Response,Trust,34269,30,5.014355771147386
86,NARRATOR,Response,Trust,34249,50,3.831737625250033
87,NARRATOR,Response,Trust,34229,70,3.041621076997495
88,NARRATOR,Response,Valence,16492,1,0.26632901098284145
89,NARRATOR,Response,Valence,16488,5,1.3308633071426554
90,NARRATOR,Response,Valence,16483,10,2.651624920879866
91,NARRATOR,Response,Valence,16478,15,3.939719737893105
92,NARRATOR,Response,Valence,16473,20,5.172785999946545
93,NARRATOR,Response,Valence,16463,30,7.348401318938117
94,NARRATOR,Response,Valence,16443,50,3.9858795704154866
95,NARRATOR,Response,Valence,16423,70,2.4346322652118424
96,NARRATOR,Stimulus,Anger,35800,1,0.25005074308770714
