,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,13177,1,0.9855325074079935
1,NARRATOR,Other,Unknown,13173,5,4.911344105119881
2,NARRATOR,Other,Unknown,13168,10,9.744028349455096
3,NARRATOR,Other,Unknown,13163,15,13.104333423749642
4,NARRATOR,Other,Unknown,13158,20,13.636169871967084
5,NARRATOR,Other,Unknown,13148,30,13.682251512298407
6,NARRATOR,Other,Unknown,13128,50,0.04261713325153609
7,NARRATOR,Other,Unknown,13108,70,0.0
8,NARRATOR,Response,Anger,29894,1,0.06343698031911
9,NARRATOR,Response,Anger,29890,5,0.31397212710896644
10,NARRATOR,Response,Anger,29885,10,0.6212658474170554
11,NARRATOR,Response,Anger,29880,15,0.9230464465163984
12,NARRATOR,Response,Anger,29875,20,1.2180982115430974
13,NARRATOR,Response,Anger,29865,30,1.7863117308174565
14,NARRATOR,Response,Anger,29845,50,1.9663210394983206
15,NARRATOR,Response,Anger,29825,70,2.00589552604125
16,NARRATOR,Response,Anticipation,29894,1,0.49114231878310344
17,NARRATOR,Response,Anticipation,29890,5,2.4487260551497787
18,NARRATOR,Response,Anticipation,29885,10,4.871698365148778
19,NARRATOR,Response,Anticipation,29880,15,7.158915792921585
20,NARRATOR,Response,Anticipation,29875,20,9.135174425888255
21,NARRATOR,Response,Anticipation,29865,30,11.936025254333206
22,NARRATOR,Response,Anticipation,29845,50,2.4270165838505853
23,NARRATOR,Response,Anticipation,29825,70,0.8499090729630553
24,NARRATOR,Response,Arousal,64605,1,0.36097409268227376
25,NARRATOR,Response,Arousal,64601,5,1.8030797416569369
26,NARRATOR,Response,Arousal,64596,10,3.5987704604263815
27,NARRATOR,Response,Arousal,64591,15,5.357955748929581
28,NARRATOR,Response,Arousal,64586,20,7.030536767649438
29,NARRATOR,Response,Arousal,64576,30,9.953235333152774
30,NARRATOR,Response,Arousal,64556,50,3.587188750562174
31,NARRATOR,Response,Arousal,64536,70,1.6813106783154872
32,NARRATOR,Response,Disgust,24032,1,0.026968950920832194
33,NARRATOR,Response,Disgust,24028,5,0.13082324621158545
34,NARRATOR,Response,Disgust,24023,10,0.2556986275054603
35,NARRATOR,Response,Disgust,24018,15,0.37816532483730353
36,NARRATOR,Response,Disgust,24013,20,0.4970714751692131
37,NARRATOR,Response,Disgust,24003,30,0.728492504397831
38,NARRATOR,Response,Disgust,23983,50,0.9213489118994986
39,NARRATOR,Response,Disgust,23963,70,0.9929138753180466
40,NARRATOR,Response,Dominance,29894,1,0.45598867298289814
41,NARRATOR,Response,Dominance,29890,5,2.279551290288302
42,NARRATOR,Response,Dominance,29885,10,4.54612813450261
43,NARRATOR,Response,Dominance,29880,15,6.729261508266437
44,NARRATOR,Response,Dominance,29875,20,8.720883457045938
45,NARRATOR,Response,Dominance,29865,30,11.778254876741757
46,NARRATOR,Response,Dominance,29845,50,2.3476431230524217
47,NARRATOR,Response,Dominance,29825,70,0.6468240035712944
48,NARRATOR,Response,Fear,24032,1,0.08399818493541222
49,NARRATOR,Response,Fear,24028,5,0.4175881589066299
50,NARRATOR,Response,Fear,24023,10,0.824589203948684
51,NARRATOR,Response,Fear,24018,15,1.2207246001981495
52,NARRATOR,Response,Fear,24013,20,1.6084170334233252
53,NARRATOR,Response,Fear,24003,30,2.3523717397523676
54,NARRATOR,Response,Fear,23983,50,2.4568978638176837
55,NARRATOR,Response,Fear,23963,70,2.4244370252963647
56,NARRATOR,Response,Joy,64605,1,0.3610323105507279
57,NARRATOR,Response,Joy,64601,5,1.8033697283782535
58,NARRATOR,Response,Joy,64596,10,3.5993512003969803
59,NARRATOR,Response,Joy,64591,15,5.358791533093444
60,NARRATOR,Response,Joy,64586,20,7.031630817454958
61,NARRATOR,Response,Joy,64576,30,9.954307607750042
62,NARRATOR,Response,Joy,64556,50,3.587188750562174
63,NARRATOR,Response,Joy,64536,70,1.6813106783154872
64,NARRATOR,Response,Sadness,29894,1,0.08367563848919927
65,NARRATOR,Response,Sadness,29890,5,0.4108467034427799
66,NARRATOR,Response,Sadness,29885,10,0.8139269747986723
67,NARRATOR,Response,Sadness,29880,15,1.2094511937009318
68,NARRATOR,Response,Sadness,29875,20,1.5936911445898794
69,NARRATOR,Response,Sadness,29865,30,2.332504562080847
70,NARRATOR,Response,Sadness,29845,50,2.364080267857583
71,NARRATOR,Response,Sadness,29825,70,2.311364355450649
72,NARRATOR,Response,Surprise,64605,1,0.3610323105507279
73,NARRATOR,Response,Surprise,64601,5,1.8033697283782535
74,NARRATOR,Response,Surprise,64596,10,3.5993512003969803
75,NARRATOR,Response,Surprise,64591,15,5.358791533093444
76,NARRATOR,Response,Surprise,64586,20,7.031630817454958
77,NARRATOR,Response,Surprise,64576,30,9.954307607750042
78,NARRATOR,Response,Surprise,64556,50,3.587188750562174
79,NARRATOR,Response,Surprise,64536,70,1.6813106783154872
80,NARRATOR,Response,Trust,64605,1,0.6771937420050818
81,NARRATOR,Response,Trust,64601,5,3.3850082685939524
82,NARRATOR,Response,Trust,64596,10,6.75698839187138
83,NARRATOR,Response,Trust,64591,15,9.979447675538498
84,NARRATOR,Response,Trust,64586,20,12.617605832757338
85,NARRATOR,Response,Trust,64576,30,15.279791312907868
86,NARRATOR,Response,Trust,64556,50,0.6056579122889982
87,NARRATOR,Response,Trust,64536,70,0.07760287051212861
88,NARRATOR,Response,Valence,29894,1,0.005108052961873488
89,NARRATOR,Response,Valence,29890,5,0.02511436265779677
90,NARRATOR,Response,Valence,29885,10,0.048675634368572716
91,NARRATOR,Response,Valence,29880,15,0.07126356185711108
92,NARRATOR,Response,Valence,29875,20,0.09126653024207669
93,NARRATOR,Response,Valence,29865,30,0.12728219796069307
94,NARRATOR,Response,Valence,29845,50,0.15929075477084947
95,NARRATOR,Response,Valence,29825,70,0.1822866864669521
96,NARRATOR,Stimulus,Anger,32714,1,0.998789378591358
97,NARRATOR,Stimulus,Anger,32710,5,4.9582352359018165
98,NARRATOR,Stimulus,Anger,32705,10,9.858719318982066
99,NARRATOR,Stimulus,Anger,32700,15,13.977381339330767
100,NARRATOR,Stimulus,Anger,32695,20,14.894642992781014
101,NARRATOR,Stimulus,Anger,32685,30,14.992656038580714
102,NARRATOR,Stimulus,Anger,32665,50,0.05585068403276101
103,NARRATOR,Stimulus,Anger,32645,70,0.0015105409560147677
104,NARRATOR,Stimulus,Anticipation,64605,1,0.055566334012405
105,NARRATOR,Stimulus,Anticipation,64601,5,0.27435371083669896
106,NARRATOR,Stimulus,Anticipation,64596,10,0.5434512019348697
107,NARRATOR,Stimulus,Anticipation,64591,15,0.8084115342449597
108,NARRATOR,Stimulus,Anticipation,64586,20,1.0671250789885451
109,NARRATOR,Stimulus,Anticipation,64576,30,1.567789753830607
110,NARRATOR,Stimulus,Anticipation,64556,50,1.7674545992021389
111,NARRATOR,Stimulus,Anticipation,64536,70,1.8158913984557394
112,NARRATOR,Stimulus,Arousal,29894,1,0.4912446506862931
113,NARRATOR,Stimulus,Arousal,29890,5,2.449197400602702
114,NARRATOR,Stimulus,Arousal,29885,10,4.872676436519756
115,NARRATOR,Stimulus,Arousal,29880,15,7.160453826047544
116,NARRATOR,Stimulus,Arousal,29875,20,9.137307928400531
117,NARRATOR,Stimulus,Arousal,29865,30,11.9391255807423
118,NARRATOR,Stimulus,Arousal,29845,50,2.4267221597460558
119,NARRATOR,Stimulus,Arousal,29825,70,0.8499090729630553
120,NARRATOR,Stimulus,Disgust,26582,1,0.20973242086545554
121,NARRATOR,Stimulus,Disgust,26578,5,1.040985460397322
122,NARRATOR,Stimulus,Disgust,26573,10,2.066900846881055
123,NARRATOR,Stimulus,Disgust,26568,15,3.06702285152369
124,NARRATOR,Stimulus,Disgust,26563,20,4.035774371754112
125,NARRATOR,Stimulus,Disgust,26553,30,5.842568819598909
126,NARRATOR,Stimulus,Disgust,26533,50,4.184393225509467
127,NARRATOR,Stimulus,Disgust,26513,70,3.0821606285793104
128,NARRATOR,Stimulus,Dominance,49504,1,0.632535955663978
129,NARRATOR,Stimulus,Dominance,49500,5,3.1595028343079794
130,NARRATOR,Stimulus,Dominance,49495,10,6.3020061073512315
131,NARRATOR,Stimulus,Dominance,49490,15,9.282268013630317
132,NARRATOR,Stimulus,Dominance,49485,20,11.743491548328924
133,NARRATOR,Stimulus,Dominance,49475,30,14.481351613682657
134,NARRATOR,Stimulus,Dominance,49455,50,0.9608604673239936
135,NARRATOR,Stimulus,Dominance,49435,70,0.1623342131616256
136,NARRATOR,Stimulus,Fear,35800,1,0.035339368259464515
137,NARRATOR,Stimulus,Fear,35796,5,0.16505942372172608
138,NARRATOR,Stimulus,Fear,35791,10,0.30675044811581276
139,NARRATOR,Stimulus,Fear,35786,15,0.4354330895918289
140,NARRATOR,Stimulus,Fear,35781,20,0.5560386495237696
141,NARRATOR,Stimulus,Fear,35771,30,0.7654897548692113
142,NARRATOR,Stimulus,Fear,35751,50,0.7300773799424436
143,NARRATOR,Stimulus,Fear,35731,70,0.7349724064374742
144,NARRATOR,Stimulus,Joy,64605,1,0.17788725359595758
145,NARRATOR,Stimulus,Joy,64601,5,0.7813795724524317
146,NARRATOR,Stimulus,Joy,64596,10,1.4602278624522493
147,NARRATOR,Stimulus,Joy,64591,15,2.045810578360243
148,NARRATOR,Stimulus,Joy,64586,20,2.5316357318622646
149,NARRATOR,Stimulus,Joy,64576,30,3.3323417209294783
150,NARRATOR,Stimulus,Joy,64556,50,2.3107407343393196
151,NARRATOR,Stimulus,Joy,64536,70,2.062675508087786
