,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,28435,1,0.09551445767776894
1,NARRATOR,Other,Unknown,28431,5,0.4375701040638864
2,NARRATOR,Other,Unknown,28426,10,0.8417579745920364
3,NARRATOR,Other,Unknown,28421,15,1.2302692980393912
4,NARRATOR,Other,Unknown,28416,20,1.604821319091433
5,NARRATOR,Other,Unknown,28406,30,2.3144609222239882
6,NARRATOR,Other,Unknown,28386,50,2.462099825037533
7,NARRATOR,Other,Unknown,28366,70,2.464244428008536
8,NARRATOR,Response,Anger,28435,1,0.05301617012653329
9,NARRATOR,Response,Anger,28431,5,0.26230899582991196
10,NARRATOR,Response,Anger,28426,10,0.5185018704227274
11,NARRATOR,Response,Anger,28421,15,0.7703887967136754
12,NARRATOR,Response,Anger,28416,20,1.0160483993705969
13,NARRATOR,Response,Anger,28406,30,1.489199764715825
14,NARRATOR,Response,Anger,28386,50,1.6580671856497082
15,NARRATOR,Response,Anger,28366,70,1.692610807390088
16,NARRATOR,Response,Anticipation,28435,1,0.077192803532917
17,NARRATOR,Response,Anticipation,28431,5,0.38106840189693697
18,NARRATOR,Response,Anticipation,28426,10,0.7510470848158382
19,NARRATOR,Response,Anticipation,28421,15,1.1060738829793098
20,NARRATOR,Response,Anticipation,28416,20,1.4478062986371643
21,NARRATOR,Response,Anticipation,28406,30,2.078211505961858
22,NARRATOR,Response,Anticipation,28386,50,2.028702182440691
23,NARRATOR,Response,Anticipation,28366,70,1.9430786518624623
24,NARRATOR,Response,Arousal,28435,1,0.2050299760208166
25,NARRATOR,Response,Arousal,28431,5,0.9803259124341956
26,NARRATOR,Response,Arousal,28426,10,1.9025543372583442
27,NARRATOR,Response,Arousal,28421,15,2.749231776033772
28,NARRATOR,Response,Arousal,28416,20,3.5105567432816844
29,NARRATOR,Response,Arousal,28406,30,4.809882274896091
30,NARRATOR,Response,Arousal,28386,50,3.3787841322661833
31,NARRATOR,Response,Arousal,28366,70,2.891486717637493
32,NARRATOR,Response,Disgust,28435,1,0.03881087669777598
33,NARRATOR,Response,Disgust,28431,5,0.19204514949259133
34,NARRATOR,Response,Disgust,28426,10,0.3807479923373669
35,NARRATOR,Response,Disgust,28421,15,0.5666917549341655
36,NARRATOR,Response,Disgust,28416,20,0.7496235216751356
37,NARRATOR,Response,Disgust,28406,30,1.1071143151461158
38,NARRATOR,Response,Disgust,28386,50,1.329567660977066
39,NARRATOR,Response,Disgust,28366,70,1.3939799681111782
40,NARRATOR,Response,Dominance,28435,1,0.29385693915206196
41,NARRATOR,Response,Dominance,28431,5,1.3771000993202298
42,NARRATOR,Response,Dominance,28426,10,2.633555633470443
43,NARRATOR,Response,Dominance,28421,15,3.7126990303739102
44,NARRATOR,Response,Dominance,28416,20,4.610645751459557
45,NARRATOR,Response,Dominance,28406,30,6.0661262828840306
46,NARRATOR,Response,Dominance,28386,50,3.5685182534564657
47,NARRATOR,Response,Dominance,28366,70,2.8950168677566532
48,NARRATOR,Response,Fear,38548,1,0.47245625961342286
49,NARRATOR,Response,Fear,38544,5,2.3548180103922123
50,NARRATOR,Response,Fear,38539,10,4.685579036058793
51,NARRATOR,Response,Fear,38534,15,6.908848813675432
