,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,30428,1,0.6417669362452831
1,NARRATOR,Other,Unknown,30424,5,3.207483706751386
2,NARRATOR,Other,Unknown,30419,10,6.393827797825752
3,NARRATOR,Other,Unknown,30414,15,9.364933304773809
4,NARRATOR,Other,Unknown,30409,20,11.729141365865305
5,NARRATOR,Other,Unknown,30399,30,14.14566550159081
6,NARRATOR,Other,Unknown,30379,50,0.7730869140008562
7,NARRATOR,Other,Unknown,30359,70,0.11705176943353625
8,NARRATOR,Response,Anger,30428,1,0.045630414019261434
9,NARRATOR,Response,Anger,30424,5,0.22528920850043785
10,NARRATOR,Response,Anger,30419,10,0.44570119913139133
11,NARRATOR,Response,Anger,30414,15,0.6633827009157194
12,NARRATOR,Response,Anger,30409,20,0.8777839925826718
13,NARRATOR,Response,Anger,30399,30,1.2886843483624084
14,NARRATOR,Response,Anger,30379,50,1.5297380763695465
15,NARRATOR,Response,Anger,30359,70,1.5873518801504325
16,NARRATOR,Response,Anticipation,30428,1,0.5986083858644056
17,NARRATOR,Response,Anticipation,30424,5,2.987221420702223
18,NARRATOR,Response,Anticipation,30419,10,5.9454647978326465
19,NARRATOR,Response,Anticipation,30414,15,8.700451086843692
20,NARRATOR,Response,Anticipation,30409,20,10.935589998851507
21,NARRATOR,Response,Anticipation,30399,30,13.555109727509885
22,NARRATOR,Response,Anticipation,30379,50,1.2742662519056678
23,NARRATOR,Response,Anticipation,30359,70,0.28054799121883944
24,NARRATOR,Response,Arousal,30428,1,0.7390332188152973
25,NARRATOR,Response,Arousal,30424,5,3.6909008036274518
26,NARRATOR,Response,Arousal,30419,10,7.3543835069487855
27,NARRATOR,Response,Arousal,30414,15,10.68094987771054
28,NARRATOR,Response,Arousal,30409,20,12.963347216202457
29,NARRATOR,Response,Arousal,30399,30,14.633944735123476
30,NARRATOR,Response,Arousal,30379,50,0.39925139566086953
31,NARRATOR,Response,Arousal,30359,70,0.03496538422608984
32,NARRATOR,Response,Disgust,32397,1,0.6660742964479608
33,NARRATOR,Response,Disgust,32393,5,3.3277743545492737
34,NARRATOR,Response,Disgust,32388,10,6.632832380789041
35,NARRATOR,Response,Disgust,32383,15,9.709494015325207
36,NARRATOR,Response,Disgust,32378,20,12.10714579271277
37,NARRATOR,Response,Disgust,32368,30,14.3981561668543
38,NARRATOR,Response,Disgust,32348,50,0.6734510965303617
39,NARRATOR,Response,Disgust,32328,70,0.07149137755032152
40,NARRATOR,Response,Dominance,16492,1,0.26632901098284145
41,NARRATOR,Response,Dominance,16488,5,1.3308633071426554
42,NARRATOR,Response,Dominance,16483,10,2.651624920879866
43,NARRATOR,Response,Dominance,16478,15,3.939719737893105
44,NARRATOR,Response,Dominance,16473,20,5.172785999946545
45,NARRATOR,Response,Dominance,16463,30,7.348401318938117
46,NARRATOR,Response,Dominance,16443,50,3.9858795704154866
47,NARRATOR,Response,Dominance,16423,70,2.4346322652118424
48,NARRATOR,Response,Fear,32397,1,0.7886024706663901
49,NARRATOR,Response,Fear,32393,5,3.940907923938636
50,NARRATOR,Response,Fear,32388,10,7.857945061920609
51,NARRATOR,Response,Fear,32383,15,11.410904615134097
52,NARRATOR,Response,Fear,32378,20,13.674784201540218
53,NARRATOR,Response,Fear,32368,30,14.895702404350054
54,NARRATOR,Response,Fear,32348,50,0.0
55,NARRATOR,Response,Fear,32328,70,0.008128104233504733
56,NARRATOR,Response,Joy,16492,1,0.06256904064886976
57,NARRATOR,Response,Joy,16488,5,0.30727713778569615
58,NARRATOR,Response,Joy,16483,10,0.6023313461793905
59,NARRATOR,Response,Joy,16478,15,0.8902922297254273
60,NARRATOR,Response,Joy,16473,20,1.1622980193999364
61,NARRATOR,Response,Joy,16463,30,1.6729710049240092
62,NARRATOR,Response,Joy,16443,50,1.8101512693488235
63,NARRATOR,Response,Joy,16423,70,1.8456012251579201
64,NARRATOR,Response,Sadness,30428,1,0.4200768049154899
65,NARRATOR,Response,Sadness,30424,5,2.098747880893371
66,NARRATOR,Response,Sadness,30419,10,4.181025810742312
67,NARRATOR,Response,Sadness,30414,15,6.193667911014401
68,NARRATOR,Response,Sadness,30409,20,8.047093562218608
69,NARRATOR,Response,Sadness,30399,30,10.994958628316006
70,NARRATOR,Response,Sadness,30379,50,0.0
71,NARRATOR,Response,Sadness,30359,70,1.0894660357436665
72,NARRATOR,Response,Surprise,5791,1,0.02298791406406204
73,NARRATOR,Response,Surprise,5787,5,0.1122780698176706
74,NARRATOR,Response,Surprise,5782,10,0.2238736193909243
75,NARRATOR,Response,Surprise,5777,15,0.3354770340369575
76,NARRATOR,Response,Surprise,5772,20,0.4470861681929868
77,NARRATOR,Response,Surprise,5762,30,0.658882849544702
78,NARRATOR,Response,Surprise,5742,50,0.8094990329018367
79,NARRATOR,Response,Surprise,5722,70,0.8759147312081978
80,NARRATOR,Response,Trust,5791,1,0.03179898207020234
81,NARRATOR,Response,Trust,5787,5,0.15557052781875336
82,NARRATOR,Response,Trust,5782,10,0.308411758665973
83,NARRATOR,Response,Trust,5777,15,0.4519342346966129
84,NARRATOR,Response,Trust,5772,20,0.5935300834294933
85,NARRATOR,Response,Trust,5762,30,0.8601581399462308
86,NARRATOR,Response,Trust,5742,50,1.0013956529501602
87,NARRATOR,Response,Trust,5722,70,1.065379254085911
88,NARRATOR,Response,Valence,30428,1,0.41940099644781825
89,NARRATOR,Response,Valence,30424,5,2.0953039092168724
90,NARRATOR,Response,Valence,30419,10,4.174024446467333
91,NARRATOR,Response,Valence,30414,15,6.181947361938699
92,NARRATOR,Response,Valence,30409,20,8.030134403254673
93,NARRATOR,Response,Valence,30399,30,10.976297415117509
94,NARRATOR,Response,Valence,30379,50,0.0
95,NARRATOR,Response,Valence,30359,70,1.096180678081173
96,NARRATOR,Stimulus,Anger,34955,1,0.015307940290106375
97,NARRATOR,Stimulus,Anger,34951,5,0.07225421699460166
98,NARRATOR,Stimulus,Anger,34946,10,0.13889619214223023
99,NARRATOR,Stimulus,Anger,34941,15,0.20220165395440468
100,NARRATOR,Stimulus,Anger,34936,20,0.26227514403621305
101,NARRATOR,Stimulus,Anger,34926,30,0.3760692703315097
102,NARRATOR,Stimulus,Anger,34906,50,0.4612831844805709
103,NARRATOR,Stimulus,Anger,34886,70,0.5026653456959509
104,NARRATOR,Stimulus,Anticipation,5791,1,0.3202326518081563
105,NARRATOR,Stimulus,Anticipation,5787,5,1.5936279997605372
106,NARRATOR,Stimulus,Anticipation,5782,10,3.1495748381967
107,NARRATOR,Stimulus,Anticipation,5777,15,4.623880509856389
108,NARRATOR,Stimulus,Anticipation,5772,20,5.968126909063811
109,NARRATOR,Stimulus,Anticipation,5762,30,8.185606470502337
110,NARRATOR,Stimulus,Anticipation,5742,50,3.6660394463212844
111,NARRATOR,Stimulus,Anticipation,5722,70,1.888086906617163
112,NARRATOR,Stimulus,Arousal,5791,1,0.725642376323652
113,NARRATOR,Stimulus,Arousal,5787,5,3.6157646627276567
114,NARRATOR,Stimulus,Arousal,5782,10,7.10408621866842
115,NARRATOR,Stimulus,Arousal,5777,15,9.852489477387572
116,NARRATOR,Stimulus,Arousal,5772,20,11.426323103904037
117,NARRATOR,Stimulus,Arousal,5762,30,12.375918072953132
118,NARRATOR,Stimulus,Arousal,5742,50,0.37307883523015584
119,NARRATOR,Stimulus,Arousal,5722,70,0.009734005203186725
120,NARRATOR,Stimulus,Disgust,30428,1,0.41928829158799813
121,NARRATOR,Stimulus,Disgust,30424,5,2.094667421058317
122,NARRATOR,Stimulus,Disgust,30419,10,4.172696399158051
123,NARRATOR,Stimulus,Disgust,30414,15,6.18009612325676
124,NARRATOR,Stimulus,Disgust,30409,20,8.028677024812024
125,NARRATOR,Stimulus,Disgust,30399,30,10.976433383955863
126,NARRATOR,Stimulus,Disgust,30379,50,0.0
127,NARRATOR,Stimulus,Disgust,30359,70,1.1023086364095223
128,NARRATOR,Stimulus,Dominance,30428,1,0.5986083858644056
129,NARRATOR,Stimulus,Dominance,30424,5,2.987221420702223
130,NARRATOR,Stimulus,Dominance,30419,10,5.9454647978326465
131,NARRATOR,Stimulus,Dominance,30414,15,8.700451086843692
132,NARRATOR,Stimulus,Dominance,30409,20,10.935589998851507
133,NARRATOR,Stimulus,Dominance,30399,30,13.555109727509885
134,NARRATOR,Stimulus,Dominance,30379,50,1.2742662519056678
135,NARRATOR,Stimulus,Dominance,30359,70,0.28054799121883944
136,NARRATOR,Stimulus,Fear,16492,1,0.9315412912194081
137,NARRATOR,Stimulus,Fear,16488,5,4.634139886174148
138,NARRATOR,Stimulus,Fear,16483,10,9.203204073763585
139,NARRATOR,Stimulus,Fear,16478,15,12.719572126387966
140,NARRATOR,Stimulus,Fear,16473,20,13.753726965652687
141,NARRATOR,Stimulus,Fear,16463,30,13.998142146391032
142,NARRATOR,Stimulus,Fear,16443,50,0.10237162651077028
143,NARRATOR,Stimulus,Fear,16423,70,0.0018810250575513438
144,NARRATOR,Stimulus,Joy,5791,1,0.22570494617710263
145,NARRATOR,Stimulus,Joy,5787,5,1.1141920796008677
146,NARRATOR,Stimulus,Joy,5782,10,2.1869625675550335
147,NARRATOR,Stimulus,Joy,5777,15,3.2046273521606787
148,NARRATOR,Stimulus,Joy,5772,20,4.158962210658363
149,NARRATOR,Stimulus,Joy,5762,30,5.893671591341189
150,NARRATOR,Stimulus,Joy,5742,50,4.10690906303057
151,NARRATOR,Stimulus,Joy,5722,70,2.9143241251683505
152,NARRATOR,Stimulus,Sadness,44754,1,0.39986655737000165
153,NARRATOR,Stimulus,Sadness,44750,5,1.9982157993732819
154,NARRATOR,Stimulus,Sadness,44745,10,3.98506377118009
155,NARRATOR,Stimulus,Sadness,44740,15,5.923545534186823
156,NARRATOR,Stimulus,Sadness,44735,20,7.74879153009878
157,NARRATOR,Stimulus,Sadness,44725,30,10.8051240616853
158,NARRATOR,Stimulus,Sadness,44705,50,3.129223574572856
159,NARRATOR,Stimulus,Sadness,44685,70,1.3007687161688601
160,NARRATOR,Stimulus,Surprise,34955,1,0.48841500556812717
161,NARRATOR,Stimulus,Surprise,34951,5,2.4298500737715765
162,NARRATOR,Stimulus,Surprise,34946,10,4.832176487587312
163,NARRATOR,Stimulus,Surprise,34941,15,7.106051796960549
164,NARRATOR,Stimulus,Surprise,34936,20,9.081726972755693
165,NARRATOR,Stimulus,Surprise,34926,30,11.93918249850971
166,NARRATOR,Stimulus,Surprise,34906,50,2.5990464540946565
167,NARRATOR,Stimulus,Surprise,34886,70,1.0127791264427
168,NARRATOR,Stimulus,Trust,62482,1,0.536729824881695
169,NARRATOR,Stimulus,Trust,62478,5,2.6813332686775877
170,NARRATOR,Stimulus,Trust,62473,10,5.350883220792816
171,NARRATOR,Stimulus,Trust,62468,15,7.934601651541873
172,NARRATOR,Stimulus,Trust,62463,20,10.260811597906047
173,NARRATOR,Stimulus,Trust,62453,30,13.547407991285581
174,NARRATOR,Stimulus,Trust,62433,50,0.0
175,NARRATOR,Stimulus,Trust,62413,70,0.403665616116069
176,NARRATOR,Stimulus,Valence,34955,1,0.007903676149388672
177,NARRATOR,Stimulus,Valence,34951,5,0.03855552020762288
178,NARRATOR,Stimulus,Valence,34946,10,0.07667579421607007
179,NARRATOR,Stimulus,Valence,34941,15,0.11420806933572514
180,NARRATOR,Stimulus,Valence,34936,20,0.15157564519105537
181,NARRATOR,Stimulus,Valence,34926,30,0.2252231181280663
182,NARRATOR,Stimulus,Valence,34906,50,0.30867289204217324
183,NARRATOR,Stimulus,Valence,34886,70,0.35126797940048904
184,READER,Other,Unknown,44754,1,0.39986655737000165
185,READER,Other,Unknown,44750,5,1.9982157993732819
186,READER,Other,Unknown,44745,10,3.98506377118009
187,READER,Other,Unknown,44740,15,5.923545534186823
188,READER,Other,Unknown,44735,20,7.74879153009878
189,READER,Other,Unknown,44725,30,10.8051240616853
190,READER,Other,Unknown,44705,50,3.129223574572856
191,READER,Other,Unknown,44685,70,1.3007687161688601
192,READER,Response,Anger,35289,1,0.47330146862903033
193,READER,Response,Anger,35285,5,2.359443505411002
194,READER,Response,Anger,35280,10,4.697731820117804
195,READER,Response,Anger,35275,15,6.9263503172546
196,READER,Response,Anger,35270,20,8.907463402959005
197,READER,Response,Anger,35260,30,11.87209293762306
198,READER,Response,Anger,35240,50,2.535029053767411
199,READER,Response,Anger,35220,70,0.8985887970276607
200,READER,Response,Anticipation,34955,1,0.8401128768112528
201,READER,Response,Anticipation,34951,5,4.1992693531109
202,READER,Response,Anticipation,34946,10,8.374197542716288
203,READER,Response,Anticipation,34941,15,12.1178271728154
204,READER,Response,Anticipation,34936,20,14.234086252036755
205,READER,Response,Anticipation,34926,30,15.052533987268278
206,READER,Response,Anticipation,34906,50,0.0
207,READER,Response,Anticipation,34886,70,0.009478095502275097
208,READER,Response,Arousal,34955,1,0.4879753092659439
209,READER,Response,Arousal,34951,5,2.4276250966706985
210,READER,Response,Arousal,34946,10,4.827835043585972
211,READER,Response,Arousal,34941,15,7.09973733054337
212,READER,Response,Arousal,34936,20,9.074562847303532
213,READER,Response,Arousal,34926,30,11.930413353223287
214,READER,Response,Arousal,34906,50,2.602523562749676
215,READER,Response,Arousal,34886,70,1.018690704259299
216,READER,Response,Disgust,62482,1,0.5643907981184082
217,READER,Response,Disgust,62478,5,2.818383342728056
218,READER,Response,Disgust,62473,10,5.62168695687271
219,READER,Response,Disgust,62468,15,8.31350182112721
220,READER,Response,Disgust,62463,20,10.672273786247766
221,READER,Response,Disgust,62453,30,13.828421648146415
222,READER,Response,Disgust,62433,50,1.5233579294939574
223,READER,Response,Disgust,62413,70,0.3917279882211507
224,READER,Response,Dominance,5791,1,0.12176640313878587
225,READER,Response,Dominance,5787,5,0.5574035122467739
226,READER,Response,Dominance,5782,10,1.0417289757375943
227,READER,Response,Dominance,5777,15,1.4723539198167648
228,READER,Response,Dominance,5772,20,1.8600899892386202
229,READER,Response,Dominance,5762,30,2.533215432774962
230,READER,Response,Dominance,5742,50,2.3389817344195922
231,READER,Response,Dominance,5722,70,2.2669708933327013
232,READER,Response,Fear,62482,1,0.3542443004596476
