,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,17739,1,0.9965685018910594
1,NARRATOR,Other,Unknown,17735,5,4.972554255824009
2,NARRATOR,Other,Unknown,17730,10,9.893403287448045
3,NARRATOR,Other,Unknown,17725,15,13.538654013531861
4,NARRATOR,Other,Unknown,17720,20,14.08131566459568
5,NARRATOR,Other,Unknown,17710,30,14.112276591632817
6,NARRATOR,Other,Unknown,17690,50,0.016704282763258277
7,NARRATOR,Other,Unknown,17670,70,0.0
8,NARRATOR,Response,Anger,17739,1,0.9998031926717335
9,NARRATOR,Response,Anger,17735,5,4.9271673746184845
10,NARRATOR,Response,Anger,17730,10,9.716696918326084
11,NARRATOR,Response,Anger,17725,15,13.296854310268039
12,NARRATOR,Response,Anger,17720,20,13.996970748425538
13,NARRATOR,Response,Anger,17710,30,14.100966384827425
14,NARRATOR,Response,Anger,17690,50,0.08086838199829469
15,NARRATOR,Response,Anger,17670,70,0.013201270745027431
16,NARRATOR,Response,Anticipation,5988,1,0.1988611850087116
17,NARRATOR,Response,Anticipation,5984,5,0.9917149752861052
18,NARRATOR,Response,Anticipation,5979,10,1.959806485746517
19,NARRATOR,Response,Anticipation,5974,15,2.881353116870756
20,NARRATOR,Response,Anticipation,5969,20,3.735261556509839
21,NARRATOR,Response,Anticipation,5959,30,5.248114904144294
22,NARRATOR,Response,Anticipation,5939,50,3.43332562436806
23,NARRATOR,Response,Anticipation,5919,70,2.586280459749656
24,NARRATOR,Response,Arousal,34162,1,0.42497536288647086
25,NARRATOR,Response,Arousal,34158,5,2.1164243317471567
26,NARRATOR,Response,Arousal,34153,10,4.206333812259575
27,NARRATOR,Response,Arousal,34148,15,6.188362525472187
28,NARRATOR,Response,Arousal,34143,20,7.960066576716172
29,NARRATOR,Response,Arousal,34133,30,10.717502930687358
30,NARRATOR,Response,Arousal,34113,50,3.1091213249651286
31,NARRATOR,Response,Arousal,34093,70,1.4025263169592888
32,NARRATOR,Response,Disgust,17739,1,0.3866721708096923
33,NARRATOR,Response,Disgust,17735,5,1.927079615845662
34,NARRATOR,Response,Disgust,17730,10,3.8269318150630096
35,NARRATOR,Response,Disgust,17725,15,5.624507089004975
36,NARRATOR,Response,Disgust,17720,20,7.245986265353467
37,NARRATOR,Response,Disgust,17710,30,9.80410131546958
38,NARRATOR,Response,Disgust,17690,50,3.312664730158501
39,NARRATOR,Response,Disgust,17670,70,1.556684356790679
40,NARRATOR,Response,Dominance,17739,1,0.025042495613574727
41,NARRATOR,Response,Dominance,17735,5,0.12484459538309745
42,NARRATOR,Response,Dominance,17730,10,0.24722627647861087
43,NARRATOR,Response,Dominance,17725,15,0.36565661670728117
44,NARRATOR,Response,Dominance,17720,20,0.47873648654797996
45,NARRATOR,Response,Dominance,17710,30,0.6961523323419743
46,NARRATOR,Response,Dominance,17690,50,0.8314792307278718
47,NARRATOR,Response,Dominance,17670,70,0.875100454413382
48,NARRATOR,Response,Fear,17739,1,0.1949089492427752
49,NARRATOR,Response,Fear,17735,5,0.9739472145198875
50,NARRATOR,Response,Fear,17730,10,1.942434191520246
51,NARRATOR,Response,Fear,17725,15,2.88957013709254
52,NARRATOR,Response,Fear,17720,20,3.804820415763971
53,NARRATOR,Response,Fear,17710,30,5.500123278400224
54,NARRATOR,Response,Fear,17690,50,3.8881753158516306
55,NARRATOR,Response,Fear,17670,70,2.9543289709059852
56,NARRATOR,Response,Joy,17739,1,0.2777248859842184
57,NARRATOR,Response,Joy,17735,5,1.2414350038321855
58,NARRATOR,Response,Joy,17730,10,2.2875215459459772
59,NARRATOR,Response,Joy,17725,15,3.1000744194573095
60,NARRATOR,Response,Joy,17720,20,3.725233772265644
61,NARRATOR,Response,Joy,17710,30,4.686822707535073
62,NARRATOR,Response,Joy,17690,50,2.8347955311710784
63,NARRATOR,Response,Joy,17670,70,2.5548774227091613
