,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,30295,1,0.6040067935585979
1,NARRATOR,Other,Unknown,30291,5,2.9571078097727463
2,NARRATOR,Other,Unknown,30286,10,5.802704837844517
3,NARRATOR,Other,Unknown,30281,15,8.277828524051836
4,NARRATOR,Other,Unknown,30276,20,9.9862364150925
5,NARRATOR,Other,Unknown,30266,30,12.021641666606362
6,NARRATOR,Other,Unknown,30246,50,2.3872094365239183
7,NARRATOR,Other,Unknown,30226,70,1.2009943144104764
8,NARRATOR,Response,Anger,30295,1,0.9984874582434082
9,NARRATOR,Response,Anger,30291,5,4.989685937175441
10,NARRATOR,Response,Anger,30286,10,9.953751542131128
11,NARRATOR,Response,Anger,30281,15,14.076796006570023
12,NARRATOR,Response,Anger,30276,20,14.850279939902192
13,NARRATOR,Response,Anger,30266,30,14.88541039856979
14,NARRATOR,Response,Anger,30246,50,0.0
15,NARRATOR,Response,Anger,30226,70,0.0
16,NARRATOR,Response,Anticipation,30295,1,0.13322517713368048
17,NARRATOR,Response,Anticipation,30291,5,0.6081781873757435
18,NARRATOR,Response,Anticipation,30286,10,1.1596705222164394
19,NARRATOR,Response,Anticipation,30281,15,1.6699390078859595
20,NARRATOR,Response,Anticipation,30276,20,2.155811613451417
21,NARRATOR,Response,Anticipation,30266,30,3.062836441971922
22,NARRATOR,Response,Anticipation,30246,50,2.8509797976022417
23,NARRATOR,Response,Anticipation,30226,70,2.7211667816850373
24,NARRATOR,Response,Arousal,30295,1,0.0023118402328231756
25,NARRATOR,Response,Arousal,30291,5,0.011560177132154901
26,NARRATOR,Response,Arousal,30286,10,0.022220647996984907
27,NARRATOR,Response,Arousal,30281,15,0.03227003915456433
28,NARRATOR,Response,Arousal,30276,20,0.042273642553733615
29,NARRATOR,Response,Arousal,30266,30,0.06066366787011103
30,NARRATOR,Response,Arousal,30246,50,0.07639851843023494
31,NARRATOR,Response,Arousal,30226,70,0.08434376074141804
32,NARRATOR,Response,Disgust,13765,1,0.9920139531187566
33,NARRATOR,Response,Disgust,13761,5,4.940183785800413
34,NARRATOR,Response,Disgust,13756,10,9.804461650228282
35,NARRATOR,Response,Disgust,13751,15,13.224470517035764
36,NARRATOR,Response,Disgust,13746,20,13.708146903399916
37,NARRATOR,Response,Disgust,13736,30,13.745528721209514
