,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,62482,1,0.004912240366472883
1,NARRATOR,Other,Unknown,62478,5,0.02414819814452192
2,NARRATOR,Other,Unknown,62473,10,0.04765983716277999
3,NARRATOR,Other,Unknown,62468,15,0.07070663390896333
4,NARRATOR,Other,Unknown,62463,20,0.0930825179817643
5,NARRATOR,Other,Unknown,62453,30,0.1346447341806615
6,NARRATOR,Other,Unknown,62433,50,0.16573035135807465
7,NARRATOR,Other,Unknown,62413,70,0.18125237977550407
8,NARRATOR,Response,Anger,9902,1,0.3609519023854658
9,NARRATOR,Response,Anger,9898,5,1.8001170733104723
10,NARRATOR,Response,Anger,9893,10,3.570909174117271
11,NARRATOR,Response,Anger,9888,15,5.249507181231033
12,NARRATOR,Response,Anger,9883,20,6.763075580906397
13,NARRATOR,Response,Anger,9873,30,9.221374974038094
14,NARRATOR,Response,Anger,9853,50,3.407424417452189
15,NARRATOR,Response,Anger,9833,70,1.6008500362492013
16,NARRATOR,Response,Anticipation,32761,1,0.26041057529483913
17,NARRATOR,Response,Anticipation,32757,5,1.2990508040751112
18,NARRATOR,Response,Anticipation,32752,10,2.5886331996898635
19,NARRATOR,Response,Anticipation,32747,15,3.852541883415943
20,NARRATOR,Response,Anticipation,32742,20,5.074626681881649
21,NARRATOR,Response,Anticipation,32732,30,7.325915607345051
22,NARRATOR,Response,Anticipation,32712,50,4.3216714768644575
23,NARRATOR,Response,Anticipation,32692,70,2.7877766078354047
24,NARRATOR,Response,Arousal,62482,1,0.001420135362051358
25,NARRATOR,Response,Arousal,62478,5,0.007100953984084983
26,NARRATOR,Response,Arousal,62473,10,0.014202600850709124
27,NARRATOR,Response,Arousal,62468,15,0.021304940512934144
28,NARRATOR,Response,Arousal,62463,20,0.028407972883509054
29,NARRATOR,Response,Arousal,62453,30,0.04261611539913607
30,NARRATOR,Response,Arousal,62433,50,0.06004891244933542
31,NARRATOR,Response,Arousal,62413,70,0.06847331021338554
32,NARRATOR,Response,Disgust,62482,1,0.47267814261771557
33,NARRATOR,Response,Disgust,62478,5,2.3550380979296532
34,NARRATOR,Response,Disgust,62473,10,4.690713630983258
35,NARRATOR,Response,Disgust,62468,15,6.942885550828176
36,NARRATOR,Response,Disgust,62463,20,8.981742559471181
37,NARRATOR,Response,Disgust,62453,30,12.134649569239324
38,NARRATOR,Response,Disgust,62433,50,2.63339172456683
39,NARRATOR,Response,Disgust,62413,70,0.8838798230450579
40,NARRATOR,Response,Dominance,62482,1,0.5448548036113826
41,NARRATOR,Response,Dominance,62478,5,2.716174382317998
42,NARRATOR,Response,Dominance,62473,10,5.412033226770318
43,NARRATOR,Response,Dominance,62468,15,7.999130574909781
44,NARRATOR,Response,Dominance,62463,20,10.262091028501754
45,NARRATOR,Response,Dominance,62453,30,13.396913354293202
46,NARRATOR,Response,Dominance,62433,50,1.911596929530291
47,NARRATOR,Response,Dominance,62413,70,0.5974177625482083
48,NARRATOR,Response,Fear,62482,1,0.5375926780370857
49,NARRATOR,Response,Fear,62478,5,2.6856439523671813
50,NARRATOR,Response,Fear,62473,10,5.359757041034895
51,NARRATOR,Response,Fear,62468,15,7.948013149644151
52,NARRATOR,Response,Fear,62463,20,10.277183112523131
53,NARRATOR,Response,Fear,62453,30,13.562726648332415
54,NARRATOR,Response,Fear,62433,50,0.0
55,NARRATOR,Response,Fear,62413,70,0.4033878461207534
56,NARRATOR,Response,Joy,62482,1,0.5643907981184082
57,NARRATOR,Response,Joy,62478,5,2.818383342728056
58,NARRATOR,Response,Joy,62473,10,5.62168695687271
59,NARRATOR,Response,Joy,62468,15,8.31350182112721
60,NARRATOR,Response,Joy,62463,20,10.672273786247766
61,NARRATOR,Response,Joy,62453,30,13.828421648146415
62,NARRATOR,Response,Joy,62433,50,1.5233579294939574
63,NARRATOR,Response,Joy,62413,70,0.3917279882211507
64,NARRATOR,Response,Sadness,62482,1,0.2044487259558452
65,NARRATOR,Response,Sadness,62478,5,0.9847186540198855
