,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,22907,1,0.21452658645949638
1,NARRATOR,Other,Unknown,22903,5,1.0701327907056768
2,NARRATOR,Other,Unknown,22898,10,2.1307347010326376
3,NARRATOR,Other,Unknown,22893,15,3.1586573396944573
4,NARRATOR,Other,Unknown,22888,20,4.14348933847939
5,NARRATOR,Other,Unknown,22878,30,5.961648806739401
6,NARRATOR,Other,Unknown,22858,50,4.085189697248567
7,NARRATOR,Other,Unknown,22838,70,2.9882654352978295
8,NARRATOR,Response,Anger,22907,1,0.18394862637534623
9,NARRATOR,Response,Anger,22903,5,0.8973863839279723
10,NARRATOR,Response,Anger,22898,10,1.7593253356427072
11,NARRATOR,Response,Anger,22893,15,2.5712194372513406
12,NARRATOR,Response,Anger,22888,20,3.3205586108183245
13,NARRATOR,Response,Anger,22878,30,4.620790256869107
14,NARRATOR,Response,Anger,22858,50,3.2803723846325084
15,NARRATOR,Response,Anger,22838,70,2.788827393637177
16,NARRATOR,Response,Anticipation,12219,1,0.1132070880491166
17,NARRATOR,Response,Anticipation,12215,5,0.5594802289767286
18,NARRATOR,Response,Anticipation,12210,10,1.1076094859105787
19,NARRATOR,Response,Anticipation,12205,15,1.6405000493369035
20,NARRATOR,Response,Anticipation,12200,20,2.1577727744327806
21,NARRATOR,Response,Anticipation,12190,30,3.1453989994650846
22,NARRATOR,Response,Anticipation,12170,50,3.1083776793658506
23,NARRATOR,Response,Anticipation,12150,70,2.8847858964453135
24,NARRATOR,Response,Arousal,22907,1,0.20043981049825724
25,NARRATOR,Response,Arousal,22903,5,1.0000107930061968
26,NARRATOR,Response,Arousal,22898,10,1.9905146226153694
27,NARRATOR,Response,Arousal,22893,15,2.953404878026148
28,NARRATOR,Response,Arousal,22888,20,3.8806635542278496
29,NARRATOR,Response,Arousal,22878,30,5.602088074834863
30,NARRATOR,Response,Arousal,22858,50,4.079422641774264
31,NARRATOR,Response,Arousal,22838,70,3.0673464823851417
32,NARRATOR,Response,Disgust,22907,1,0.2374111275378743
33,NARRATOR,Response,Disgust,22903,5,1.186676032160332
34,NARRATOR,Response,Disgust,22898,10,2.366570461059537
35,NARRATOR,Response,Disgust,22893,15,3.521421239373836
36,NARRATOR,Response,Disgust,22888,20,4.638034687945682
37,NARRATOR,Response,Disgust,22878,30,6.6943008670340705
38,NARRATOR,Response,Disgust,22858,50,4.164333106832403
39,NARRATOR,Response,Disgust,22838,70,2.772949288914163
40,NARRATOR,Response,Dominance,26534,1,0.08591182867110723
41,NARRATOR,Response,Dominance,26530,5,0.38098342527061824
42,NARRATOR,Response,Dominance,26525,10,0.696900327961143
43,NARRATOR,Response,Dominance,26520,15,0.9583478676593645
44,NARRATOR,Response,Dominance,26515,20,1.1751252815752005
45,NARRATOR,Response,Dominance,26505,30,1.5370615294521282
46,NARRATOR,Response,Dominance,26485,50,1.2565317875754216
47,NARRATOR,Response,Dominance,26465,70,1.2157422657193153
48,NARRATOR,Response,Fear,31532,1,0.4758741728888145
49,NARRATOR,Response,Fear,31528,5,2.3776002790876936
50,NARRATOR,Response,Fear,31523,10,4.73669811483172
51,NARRATOR,Response,Fear,31518,15,7.001512972990732
52,NARRATOR,Response,Fear,31513,20,9.030158674387318
53,NARRATOR,Response,Fear,31503,30,12.056160907417667
54,NARRATOR,Response,Fear,31483,50,0.0
55,NARRATOR,Response,Fear,31463,70,0.7063204889566862
