,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,64605,1,0.06648425170926013
1,NARRATOR,Other,Unknown,64601,5,0.327516343961444
2,NARRATOR,Other,Unknown,64596,10,0.6484728655583927
3,NARRATOR,Other,Unknown,64591,15,0.9625477502316016
4,NARRATOR,Other,Unknown,64586,20,1.2698399307730686
5,NARRATOR,Other,Unknown,64576,30,1.8618112649368184
6,NARRATOR,Other,Unknown,64556,50,2.0236952084533018
7,NARRATOR,Other,Unknown,64536,70,2.021006152904376
8,NARRATOR,Response,Anger,28435,1,0.03881087669777598
9,NARRATOR,Response,Anger,28431,5,0.19204514949259133
10,NARRATOR,Response,Anger,28426,10,0.3807479923373669
11,NARRATOR,Response,Anger,28421,15,0.5666917549341655
12,NARRATOR,Response,Anger,28416,20,0.7496235216751356
13,NARRATOR,Response,Anger,28406,30,1.1071143151461158
14,NARRATOR,Response,Anger,28386,50,1.329567660977066
15,NARRATOR,Response,Anger,28366,70,1.3939799681111782
16,NARRATOR,Response,Anticipation,64605,1,0.47866025800145195
17,NARRATOR,Response,Anticipation,64601,5,2.392504339800034
18,NARRATOR,Response,Anticipation,64596,10,4.777174892527983
19,NARRATOR,Response,Anticipation,64591,15,7.110658555545173
20,NARRATOR,Response,Anticipation,64586,20,9.28943342759667
21,NARRATOR,Response,Anticipation,64576,30,12.700661084621354
22,NARRATOR,Response,Anticipation,64556,50,2.1198891016158217
23,NARRATOR,Response,Anticipation,64536,70,0.5641020630646011
24,NARRATOR,Response,Arousal,28435,1,0.7709536052388638
25,NARRATOR,Response,Arousal,28431,5,3.8409641115554973
26,NARRATOR,Response,Arousal,28426,10,7.645643186497677
27,NARRATOR,Response,Arousal,28421,15,11.042579331200791
28,NARRATOR,Response,Arousal,28416,20,13.199850165841427
29,NARRATOR,Response,Arousal,28406,30,14.537235619939128
30,NARRATOR,Response,Arousal,28386,50,0.4922907974323554
31,NARRATOR,Response,Arousal,28366,70,0.08697264594930477
32,NARRATOR,Response,Disgust,64605,1,0.6770915485098348
33,NARRATOR,Response,Disgust,64601,5,3.3844921888211545
34,NARRATOR,Response,Disgust,64596,10,6.755924925529276
35,NARRATOR,Response,Disgust,64591,15,9.978296514591419
36,NARRATOR,Response,Disgust,64586,20,12.616561840599289
37,NARRATOR,Response,Disgust,64576,30,15.278942112612409
38,NARRATOR,Response,Disgust,64556,50,0.6072722609486643
39,NARRATOR,Response,Disgust,64536,70,0.07760287051212861
40,NARRATOR,Response,Dominance,64605,1,0.47861194204431035
41,NARRATOR,Response,Dominance,64601,5,2.392259772563726
42,NARRATOR,Response,Dominance,64596,10,4.776673212011887
43,NARRATOR,Response,Dominance,64591,15,7.109858689035523
44,NARRATOR,Response,Dominance,64586,20,9.288192337782705
45,NARRATOR,Response,Dominance,64576,30,12.698039024819147
46,NARRATOR,Response,Dominance,64556,50,2.1202575627476508
47,NARRATOR,Response,Dominance,64536,70,0.5641020630646011
48,NARRATOR,Response,Fear,64605,1,0.5462687611580878
49,NARRATOR,Response,Fear,64601,5,2.724770600585545
50,NARRATOR,Response,Fear,64596,10,5.43352881402762
51,NARRATOR,Response,Fear,64591,15,8.041338177765814
52,NARRATOR,Response,Fear,64586,20,10.347929766438023
53,NARRATOR,Response,Fear,64576,30,13.566531835210482
54,NARRATOR,Response,Fear,64556,50,1.776183691914624
55,NARRATOR,Response,Fear,64536,70,0.4847325157496428
56,NARRATOR,Response,Joy,64605,1,0.5800604465157373
57,NARRATOR,Response,Joy,64601,5,2.896722169261803
58,NARRATOR,Response,Joy,64596,10,5.779342367116248
59,NARRATOR,Response,Joy,64591,15,8.546223089610898
60,NARRATOR,Response,Joy,64586,20,10.954020883639293
61,NARRATOR,Response,Joy,64576,30,14.07820349428172
62,NARRATOR,Response,Joy,64556,50,1.4215311032995641
63,NARRATOR,Response,Joy,64536,70,0.329285767943152
64,NARRATOR,Response,Sadness,64605,1,0.5800604465157373
65,NARRATOR,Response,Sadness,64601,5,2.896722169261803
66,NARRATOR,Response,Sadness,64596,10,5.779342367116248
67,NARRATOR,Response,Sadness,64591,15,8.546223089610898
68,NARRATOR,Response,Sadness,64586,20,10.954020883639293
69,NARRATOR,Response,Sadness,64576,30,14.07820349428172
70,NARRATOR,Response,Sadness,64556,50,1.4215311032995641
71,NARRATOR,Response,Sadness,64536,70,0.329285767943152
72,NARRATOR,Response,Surprise,64605,1,0.6771937420050818
73,NARRATOR,Response,Surprise,64601,5,3.3850082685939524
74,NARRATOR,Response,Surprise,64596,10,6.75698839187138
75,NARRATOR,Response,Surprise,64591,15,9.979447675538498
76,NARRATOR,Response,Surprise,64586,20,12.617605832757338
77,NARRATOR,Response,Surprise,64576,30,15.279791312907868
78,NARRATOR,Response,Surprise,64556,50,0.6056579122889982
