,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,29394,1,0.10069313646936605
1,NARRATOR,Other,Unknown,29390,5,0.4597551344923903
2,NARRATOR,Other,Unknown,29385,10,0.8799454894564697
3,NARRATOR,Other,Unknown,29380,15,1.2804742857820188
4,NARRATOR,Other,Unknown,29375,20,1.6656821987262018
5,NARRATOR,Other,Unknown,29365,30,2.408264069503525
6,NARRATOR,Other,Unknown,29345,50,2.5504366811392734
7,NARRATOR,Other,Unknown,29325,70,2.5273696487963813
8,NARRATOR,Response,Anger,29394,1,0.03935350750325216
9,NARRATOR,Response,Anger,29390,5,0.1951625235319232
10,NARRATOR,Response,Anger,29385,10,0.38631514626572766
11,NARRATOR,Response,Anger,29380,15,0.5751785142266973
12,NARRATOR,Response,Anger,29375,20,0.762612835105591
13,NARRATOR,Response,Anger,29365,30,1.12864062547482
14,NARRATOR,Response,Anger,29345,50,1.3726516294841982
15,NARRATOR,Response,Anger,29325,70,1.44288895006137
16,NARRATOR,Response,Anticipation,29394,1,0.05704987378552237
17,NARRATOR,Response,Anticipation,29390,5,0.2826423038138545
18,NARRATOR,Response,Anticipation,29385,10,0.5607684279934144
19,NARRATOR,Response,Anticipation,29380,15,0.8351990852620503
20,NARRATOR,Response,Anticipation,29375,20,1.106240559773353
21,NARRATOR,Response,Anticipation,29365,30,1.6325013009238092
22,NARRATOR,Response,Anticipation,29345,50,1.8739160056599493
23,NARRATOR,Response,Anticipation,29325,70,1.9211022717109905
24,NARRATOR,Response,Arousal,29394,1,0.147909315671005
25,NARRATOR,Response,Arousal,29390,5,0.7151567536351761
26,NARRATOR,Response,Arousal,29385,10,1.3999029946293096
27,NARRATOR,Response,Arousal,29380,15,2.0565000780335283
28,NARRATOR,Response,Arousal,29375,20,2.674984867860014
29,NARRATOR,Response,Arousal,29365,30,3.8051331749536064
30,NARRATOR,Response,Arousal,29345,50,3.3477249878832973
31,NARRATOR,Response,Arousal,29325,70,3.0164168182272837
32,NARRATOR,Response,Disgust,29394,1,0.03307303718027449
33,NARRATOR,Response,Disgust,29390,5,0.16399732253439242
34,NARRATOR,Response,Disgust,29385,10,0.32493892789758394
35,NARRATOR,Response,Disgust,29380,15,0.4835286218346619
36,NARRATOR,Response,Disgust,29375,20,0.6394943661227472
37,NARRATOR,Response,Disgust,29365,30,0.9442929613678385
38,NARRATOR,Response,Disgust,29345,50,1.1699742587740027
39,NARRATOR,Response,Disgust,29325,70,1.2543959789532202
