,Subject,Category,Feature,n,k,be
0,'em,Other,Unknown,15627,1,0.026823318322782515
1,'em,Other,Unknown,15623,5,0.13299566685032232
2,'em,Other,Unknown,15618,10,0.2643928326033112
3,'em,Other,Unknown,15613,15,0.3955975908470964
4,'em,Other,Unknown,15608,20,0.5266527340769981
5,'em,Other,Unknown,15598,30,0.785811722584689
6,'em,Other,Unknown,15578,50,1.0226513186195743
7,'em,Other,Unknown,15558,70,1.1204763321117777
8,'em,Response,Anger,23655,1,0.3621497694631622
9,'em,Response,Anger,23651,5,1.6333047617392609
10,'em,Response,Anger,23646,10,3.092403180651396
11,'em,Response,Anger,23641,15,4.286909885011569
12,'em,Response,Anger,23636,20,5.174534492099682
13,'em,Response,Anger,23626,30,6.457436474784233
14,'em,Response,Anger,23606,50,3.0629762857836775
15,'em,Response,Anger,23586,70,2.4231651042199407
16,'em,Response,Anticipation,22188,1,0.005155477047184338
17,'em,Response,Anticipation,22184,5,0.025164414509276478
18,'em,Response,Anticipation,22179,10,0.04772364945127827
19,'em,Response,Anticipation,22174,15,0.06914314865184373
20,'em,Response,Anticipation,22169,20,0.08733541664166504
21,'em,Response,Anticipation,22159,30,0.12114471692923426
22,'em,Response,Anticipation,22139,50,0.13921261484232345
23,'em,Response,Anticipation,22119,70,0.1436197172923461
24,'em,Response,Arousal,23655,1,0.968989029218926
25,'em,Response,Arousal,23651,5,4.783731033919709
26,'em,Response,Arousal,23646,10,9.4900050746201
27,'em,Response,Arousal,23641,15,13.236439934612292
28,'em,Response,Arousal,23636,20,14.27795852662981
29,'em,Response,Arousal,23626,30,14.505922323801183
30,'em,Response,Arousal,23606,50,0.11361610330565411
31,'em,Response,Arousal,23586,70,0.023017388564618962
32,'em,Response,Disgust,23655,1,0.31278905695611636
33,'em,Response,Disgust,23651,5,1.4490707909887919
34,'em,Response,Disgust,23646,10,2.76321829859419
35,'em,Response,Disgust,23641,15,3.874451185918016
36,'em,Response,Disgust,23636,20,4.743527031403903
37,'em,Response,Disgust,23626,30,6.0275579649667606
38,'em,Response,Disgust,23606,50,3.061630754079079
39,'em,Response,Disgust,23586,70,2.4634566458115366
40,'em,Response,Dominance,22188,1,0.032615357306909926
41,'em,Response,Dominance,22184,5,0.13195472378668677
42,'em,Response,Dominance,22179,10,0.21866706111328613
43,'em,Response,Dominance,22174,15,0.27970786659811425
44,'em,Response,Dominance,22169,20,0.327398361384056
45,'em,Response,Dominance,22159,30,0.41328382803915986
46,'em,Response,Dominance,22139,50,0.4036877656323377
47,'em,Response,Dominance,22119,70,0.4397447728879535
48,'em,Response,Fear,22188,1,0.0013412765483730152
49,'em,Response,Fear,22184,5,0.006707357432108439
50,'em,Response,Fear,22179,10,0.013417152320708552
51,'em,Response,Fear,22174,15,0.020129385884291078
52,'em,Response,Fear,22169,20,0.02684405934184797
53,'em,Response,Fear,22159,30,0.04028073081735464
54,'em,Response,Fear,22139,50,0.05989214436366091
55,'em,Response,Fear,22119,70,0.07100788535224148
56,'em,Response,Joy,22188,1,0.004643925341305545
57,'em,Response,Joy,22184,5,0.022897795488641258
58,'em,Response,Joy,22179,10,0.044144885248653475
59,'em,Response,Joy,22174,15,0.06395660365253446
60,'em,Response,Joy,22169,20,0.08368213109678597
61,'em,Response,Joy,22159,30,0.11966356452155039
62,'em,Response,Joy,22139,50,0.14414948580722106
63,'em,Response,Joy,22119,70,0.15644286949166936
64,'em,Response,Sadness,22188,1,0.0025022637462375585
65,'em,Response,Sadness,22184,5,0.012512870911527606
66,'em,Response,Sadness,22179,10,0.025029622617634504
67,'em,Response,Sadness,22174,15,0.03755025568829823
68,'em,Response,Sadness,22169,20,0.050074770689332776
69,'em,Response,Sadness,22159,30,0.07513544872482814
70,'em,Response,Sadness,22139,50,0.11072088874203362
71,'em,Response,Sadness,22119,70,0.12754203245149764
72,'em,Response,Surprise,23655,1,0.9886370541952818
73,'em,Response,Surprise,23651,5,4.887618401194764
74,'em,Response,Surprise,23646,10,9.702386503807519
75,'em,Response,Surprise,23641,15,13.530148292765501
76,'em,Response,Surprise,23636,20,14.388220230026912
77,'em,Response,Surprise,23626,30,14.513252559443995
78,'em,Response,Surprise,23606,50,0.07845705402693577
79,'em,Response,Surprise,23586,70,0.016924842413775936
80,'em,Response,Trust,22188,1,0.005659786280974307
81,'em,Response,Trust,22184,5,0.027407444798905455
82,'em,Response,Trust,22179,10,0.05196818635675727
83,'em,Response,Trust,22174,15,0.074828510888166
84,'em,Response,Trust,22169,20,0.09728039942564567
85,'em,Response,Trust,22159,30,0.1418585068753644
86,'em,Response,Trust,22139,50,0.17017896487000642
87,'em,Response,Trust,22119,70,0.17851245062032142
88,'em,Response,Valence,35991,1,0.4793811378720545
89,'em,Response,Valence,35987,5,2.3872768914815956
90,'em,Response,Valence,35982,10,4.746433611024803
91,'em,Response,Valence,35977,15,6.97672755598606
92,'em,Response,Valence,35972,20,8.92674956352122
93,'em,Response,Valence,35962,30,11.743427142855369
94,'em,Response,Valence,35942,50,2.6640816819906132
95,'em,Response,Valence,35922,70,1.0964561020852577
96,'em,Stimulus,Anger,16525,1,0.012884702512540256
97,'em,Stimulus,Anger,16521,5,0.06313994962292775
98,'em,Stimulus,Anger,16516,10,0.12490765219652866
99,'em,Stimulus,Anger,16511,15,0.18610234414356758
100,'em,Stimulus,Anger,16506,20,0.24640514067956146
101,'em,Stimulus,Anger,16496,30,0.3669316583723937
102,'em,Stimulus,Anger,16476,50,0.49145233552837436
103,'em,Stimulus,Anger,16456,70,0.5504275451938989
104,'em,Stimulus,Anticipation,49504,1,0.632535955663978
105,'em,Stimulus,Anticipation,49500,5,3.1595028343079794
106,'em,Stimulus,Anticipation,49495,10,6.3020061073512315
107,'em,Stimulus,Anticipation,49490,15,9.282268013630317
108,'em,Stimulus,Anticipation,49485,20,11.743491548328924
109,'em,Stimulus,Anticipation,49475,30,14.481351613682657
110,'em,Stimulus,Anticipation,49455,50,0.9608604673239936
111,'em,Stimulus,Anticipation,49435,70,0.1623342131616256
112,'em,Stimulus,Arousal,28493,1,0.030495536196046728
113,'em,Stimulus,Arousal,28489,5,0.13803519447891785
114,'em,Stimulus,Arousal,28484,10,0.26424987527849275
115,'em,Stimulus,Arousal,28479,15,0.3817767104627381
116,'em,Stimulus,Arousal,28474,20,0.4929171230290774
117,'em,Stimulus,Arousal,28464,30,0.7014801915588497
118,'em,Stimulus,Arousal,28444,50,0.7806471386832426
119,'em,Stimulus,Arousal,28424,70,0.7941942753645167
120,'em,Stimulus,Disgust,22188,1,0.2986382991317141
121,'em,Stimulus,Disgust,22184,5,1.4872505877769988
122,'em,Stimulus,Disgust,22179,10,2.947298191984855
123,'em,Stimulus,Disgust,22174,15,4.346660292007818
124,'em,Stimulus,Disgust,22169,20,5.650314622059392
125,'em,Stimulus,Disgust,22159,30,7.9112787814338414
126,'em,Stimulus,Disgust,22139,50,4.026789936239537
127,'em,Stimulus,Disgust,22119,70,2.4381270705893825
128,'em,Stimulus,Dominance,15627,1,0.049222611628334245
129,'em,Stimulus,Dominance,15623,5,0.24233767428886108
130,'em,Stimulus,Dominance,15618,10,0.47942383225585355
131,'em,Stimulus,Dominance,15613,15,0.7137932476545339
132,'em,Stimulus,Dominance,15608,20,0.9457114853648383
133,'em,Stimulus,Dominance,15598,30,1.3959862025069443
134,'em,Stimulus,Dominance,15578,50,1.5932017180745301
135,'em,Stimulus,Dominance,15558,70,1.5984541490063742
136,'em,Stimulus,Fear,35991,1,0.006810432936094541
137,'em,Stimulus,Fear,35987,5,0.03390882466726249
138,'em,Stimulus,Fear,35982,10,0.06496024650683302
139,'em,Stimulus,Fear,35977,15,0.091612390217463
140,'em,Stimulus,Fear,35972,20,0.11460006900145756
141,'em,Stimulus,Fear,35962,30,0.15450231244670967
142,'em,Stimulus,Fear,35942,50,0.16136877234979852
143,'em,Stimulus,Fear,35922,70,0.15841911193948133
144,'em,Stimulus,Joy,22188,1,0.4273908813194496
145,'em,Stimulus,Joy,22184,5,2.1323861257100014
146,'em,Stimulus,Joy,22179,10,4.242575454301077
147,'em,Stimulus,Joy,22174,15,6.247691654284682
148,'em,Stimulus,Joy,22169,20,8.055090304411177
149,'em,Stimulus,Joy,22159,30,10.85811302477789
150,'em,Stimulus,Joy,22139,50,2.881035941987135
151,'em,Stimulus,Joy,22119,70,1.1238604258413307
152,'em,Stimulus,Sadness,28493,1,0.5776736598758169
153,'em,Stimulus,Sadness,28489,5,2.8839902969075677
154,'em,Stimulus,Sadness,28484,10,5.73663515315487
155,'em,Stimulus,Sadness,28479,15,8.406694704002874
156,'em,Stimulus,Sadness,28474,20,10.593916121992415
157,'em,Stimulus,Sadness,28464,30,13.148863681599844
158,'em,Stimulus,Sadness,28444,50,1.5391490411943152
159,'em,Stimulus,Sadness,28424,70,0.501356001784422
160,'em,Stimulus,Surprise,35991,1,0.9948304755219032
161,'em,Stimulus,Surprise,35987,5,4.968076295708
162,'em,Stimulus,Surprise,35982,10,9.911362293398668
163,'em,Stimulus,Surprise,35977,15,14.150862737115977
164,'em,Stimulus,Surprise,35972,20,15.087491309675954
165,'em,Stimulus,Surprise,35962,30,15.134018794257225
166,'em,Stimulus,Surprise,35942,50,0.0004611890835410353
167,'em,Stimulus,Surprise,35922,70,0.0
168,'em,Stimulus,Trust,22188,1,0.4936746821409747
169,'em,Stimulus,Trust,22184,5,2.4662437868210696
170,'em,Stimulus,Trust,22179,10,4.905348622054184
171,'em,Stimulus,Trust,22174,15,7.215076560823225
172,'em,Stimulus,Trust,22169,20,9.241857003524995
173,'em,Stimulus,Trust,22159,30,12.084327364536712
174,'em,Stimulus,Trust,22139,50,2.0279662913259533
175,'em,Stimulus,Trust,22119,70,0.599761376566006
176,'em,Stimulus,Valence,22188,1,0.42800102485774993
177,'em,Stimulus,Valence,22184,5,2.1394409621365056
178,'em,Stimulus,Valence,22179,10,4.258734275634355
179,'em,Stimulus,Valence,22174,15,6.29763693821494
180,'em,Stimulus,Valence,22169,20,8.155176725224761
181,'em,Stimulus,Valence,22159,30,11.018873306689724
182,'em,Stimulus,Valence,22139,50,0.0
183,'em,Stimulus,Valence,22119,70,0.9454021548789237
184,NARRATOR,Other,Unknown,23655,1,0.3621497694631622
185,NARRATOR,Other,Unknown,23651,5,1.6333047617392609
186,NARRATOR,Other,Unknown,23646,10,3.092403180651396
187,NARRATOR,Other,Unknown,23641,15,4.286909885011569
188,NARRATOR,Other,Unknown,23636,20,5.174534492099682
189,NARRATOR,Other,Unknown,23626,30,6.457436474784233
190,NARRATOR,Other,Unknown,23606,50,3.0629762857836775
191,NARRATOR,Other,Unknown,23586,70,2.4231651042199407
192,NARRATOR,Response,Anger,49504,1,0.632535955663978
193,NARRATOR,Response,Anger,49500,5,3.1595028343079794
194,NARRATOR,Response,Anger,49495,10,6.3020061073512315
195,NARRATOR,Response,Anger,49490,15,9.282268013630317
196,NARRATOR,Response,Anger,49485,20,11.743491548328924
197,NARRATOR,Response,Anger,49475,30,14.481351613682657
198,NARRATOR,Response,Anger,49455,50,0.9608604673239936
199,NARRATOR,Response,Anger,49435,70,0.1623342131616256
200,NARRATOR,Response,Anticipation,23655,1,0.31278905695611636
201,NARRATOR,Response,Anticipation,23651,5,1.4490707909887919
202,NARRATOR,Response,Anticipation,23646,10,2.76321829859419
203,NARRATOR,Response,Anticipation,23641,15,3.874451185918016
204,NARRATOR,Response,Anticipation,23636,20,4.743527031403903
205,NARRATOR,Response,Anticipation,23626,30,6.0275579649667606
206,NARRATOR,Response,Anticipation,23606,50,3.061630754079079
207,NARRATOR,Response,Anticipation,23586,70,2.4634566458115366
208,NARRATOR,Response,Arousal,22188,1,0.005659786280974307
209,NARRATOR,Response,Arousal,22184,5,0.027407444798905455
210,NARRATOR,Response,Arousal,22179,10,0.05196818635675727
211,NARRATOR,Response,Arousal,22174,15,0.074828510888166
212,NARRATOR,Response,Arousal,22169,20,0.09728039942564567
213,NARRATOR,Response,Arousal,22159,30,0.1418585068753644
214,NARRATOR,Response,Arousal,22139,50,0.17017896487000642
215,NARRATOR,Response,Arousal,22119,70,0.17851245062032142
216,NARRATOR,Response,Disgust,35991,1,0.632407790688919
217,NARRATOR,Response,Disgust,35987,5,3.157740268110005
218,NARRATOR,Response,Disgust,35982,10,6.293452284143842
219,NARRATOR,Response,Disgust,35977,15,9.229462368029324
220,NARRATOR,Response,Disgust,35972,20,11.591567150291944
221,NARRATOR,Response,Disgust,35962,30,14.165429878143454
222,NARRATOR,Response,Disgust,35942,50,0.9084380357482439
223,NARRATOR,Response,Disgust,35922,70,0.09226240985576743
224,NARRATOR,Response,Dominance,15627,1,0.10439203419454086
225,NARRATOR,Response,Dominance,15623,5,0.4753451456965279
226,NARRATOR,Response,Dominance,15618,10,0.9072903428311626
227,NARRATOR,Response,Dominance,15613,15,1.3145214598237325
228,NARRATOR,Response,Dominance,15608,20,1.7000558496765308
229,NARRATOR,Response,Dominance,15598,30,2.4127972380919562
230,NARRATOR,Response,Dominance,15578,50,2.432074577368645
231,NARRATOR,Response,Dominance,15558,70,2.4022064366088522
232,NARRATOR,Response,Fear,23427,1,0.19099608405608132
233,NARRATOR,Response,Fear,23423,5,0.9421709938813726
234,NARRATOR,Response,Fear,23418,10,1.8587144105613709
235,NARRATOR,Response,Fear,23413,15,2.737467216684812
236,NARRATOR,Response,Fear,23408,20,3.5659317300786957
237,NARRATOR,Response,Fear,23398,30,5.036520706823007
238,NARRATOR,Response,Fear,23378,50,3.7185966235280565
239,NARRATOR,Response,Fear,23358,70,2.966342796147551
240,NARRATOR,Response,Joy,35991,1,0.4793811378720545
241,NARRATOR,Response,Joy,35987,5,2.3872768914815956
242,NARRATOR,Response,Joy,35982,10,4.746433611024803
243,NARRATOR,Response,Joy,35977,15,6.97672755598606
244,NARRATOR,Response,Joy,35972,20,8.92674956352122
245,NARRATOR,Response,Joy,35962,30,11.743427142855369
246,NARRATOR,Response,Joy,35942,50,2.6640816819906132
247,NARRATOR,Response,Joy,35922,70,1.0964561020852577
248,NARRATOR,Response,Sadness,15627,1,0.36738105770953555
249,NARRATOR,Response,Sadness,15623,5,1.8354955192721525
