,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,28891,1,0.2616912546340937
1,NARRATOR,Other,Unknown,28887,5,1.305737089063708
2,NARRATOR,Other,Unknown,28882,10,2.600739477962777
3,NARRATOR,Other,Unknown,28877,15,3.863384064333862
4,NARRATOR,Other,Unknown,28872,20,5.072486159622598
5,NARRATOR,Other,Unknown,28862,30,7.288816839562861
6,NARRATOR,Other,Unknown,28842,50,4.218198039549019
7,NARRATOR,Other,Unknown,28822,70,2.7128410893791433
8,NARRATOR,Response,Anger,34955,1,0.004773496695469276
9,NARRATOR,Response,Anger,34951,5,0.023867910509374132
10,NARRATOR,Response,Anger,34946,10,0.047191078027797144
11,NARRATOR,Response,Anger,34941,15,0.07014841391954084
12,NARRATOR,Response,Anger,34936,20,0.0930935492840431
13,NARRATOR,Response,Anger,34926,30,0.13898851495118825
14,NARRATOR,Response,Anger,34906,50,0.19947859092358686
15,NARRATOR,Response,Anger,34886,70,0.22546335189812888
16,NARRATOR,Response,Anticipation,18843,1,0.12133825312010735
17,NARRATOR,Response,Anticipation,18839,5,0.565474126713592
18,NARRATOR,Response,Anticipation,18834,10,1.0699753823935025
19,NARRATOR,Response,Anticipation,18829,15,1.522500912730837
20,NARRATOR,Response,Anticipation,18824,20,1.9217748425601286
21,NARRATOR,Response,Anticipation,18814,30,2.6295023057461657
22,NARRATOR,Response,Anticipation,18794,50,2.3051521137792257
23,NARRATOR,Response,Anticipation,18774,70,2.2112132944896947
24,NARRATOR,Response,Arousal,28891,1,0.7430603608664272
25,NARRATOR,Response,Arousal,28887,5,3.7063349015825193
26,NARRATOR,Response,Arousal,28882,10,7.38127265035373
27,NARRATOR,Response,Arousal,28877,15,10.696572512537141
28,NARRATOR,Response,Arousal,28872,20,12.934358752381689
29,NARRATOR,Response,Arousal,28862,30,14.530338271678477
30,NARRATOR,Response,Arousal,28842,50,0.4501996924475316
31,NARRATOR,Response,Arousal,28822,70,0.05188693026486345
32,NARRATOR,Response,Disgust,34955,1,0.9972156416353686
33,NARRATOR,Response,Disgust,34951,5,4.982078139695817
34,NARRATOR,Response,Disgust,34946,10,9.937174807935069
35,NARRATOR,Response,Disgust,34941,15,14.156450286661917
36,NARRATOR,Response,Disgust,34936,20,15.05255110735187
37,NARRATOR,Response,Disgust,34926,30,15.09195653902583
38,NARRATOR,Response,Disgust,34906,50,0.0014210010140338221
39,NARRATOR,Response,Disgust,34886,70,0.0
40,NARRATOR,Response,Dominance,34955,1,0.6404472509289547
41,NARRATOR,Response,Dominance,34951,5,3.196278799676409
42,NARRATOR,Response,Dominance,34946,10,6.3610921517053365
43,NARRATOR,Response,Dominance,34941,15,9.289130911109835
44,NARRATOR,Response,Dominance,34936,20,11.595103777887207
45,NARRATOR,Response,Dominance,34926,30,14.046997092997058
46,NARRATOR,Response,Dominance,34906,50,1.043953155050406
47,NARRATOR,Response,Dominance,34886,70,0.21456207479270512
48,NARRATOR,Response,Fear,23866,1,0.08748079879975339
49,NARRATOR,Response,Fear,23862,5,0.42636048373307933
50,NARRATOR,Response,Fear,23857,10,0.838613090535606
51,NARRATOR,Response,Fear,23852,15,1.2358677885040428
