,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,26702,1,0.19494372433172508
1,NARRATOR,Other,Unknown,26698,5,0.8634905511056445
2,NARRATOR,Other,Unknown,26693,10,1.637617612668182
3,NARRATOR,Other,Unknown,26688,15,2.3365473173738835
4,NARRATOR,Other,Unknown,26683,20,2.9759290506118585
5,NARRATOR,Other,Unknown,26673,30,4.142910554631571
6,NARRATOR,Other,Unknown,26653,50,3.5529462487949264
7,NARRATOR,Other,Unknown,26633,70,3.247028534551115
8,NARRATOR,Response,Anger,21578,1,0.4294671284370901
9,NARRATOR,Response,Anger,21574,5,2.1458863975591
10,NARRATOR,Response,Anger,21569,10,4.277090325649128
11,NARRATOR,Response,Anger,21564,15,6.329949962703932
12,NARRATOR,Response,Anger,21559,20,8.21758729498189
13,NARRATOR,Response,Anger,21549,30,11.165199242755898
14,NARRATOR,Response,Anger,21529,50,2.5667905745765522
15,NARRATOR,Response,Anger,21509,70,0.7986243560066982
16,NARRATOR,Response,Anticipation,21578,1,0.4296235189783745
17,NARRATOR,Response,Anticipation,21574,5,2.146649117987829
18,NARRATOR,Response,Anticipation,21569,10,4.278591671005858
19,NARRATOR,Response,Anticipation,21564,15,6.3323593972894425
20,NARRATOR,Response,Anticipation,21559,20,8.220773254566756
21,NARRATOR,Response,Anticipation,21549,30,11.169209178596992
22,NARRATOR,Response,Anticipation,21529,50,2.5664417925989778
23,NARRATOR,Response,Anticipation,21509,70,0.7986243560066982
24,NARRATOR,Response,Arousal,26702,1,0.17229892656780077
25,NARRATOR,Response,Arousal,26698,5,0.8280742792044369
26,NARRATOR,Response,Arousal,26693,10,1.6076851714353217
27,NARRATOR,Response,Arousal,26688,15,2.334500014068124
28,NARRATOR,Response,Arousal,26683,20,3.00099116896572
29,NARRATOR,Response,Arousal,26673,30,4.170925037977557
30,NARRATOR,Response,Arousal,26653,50,3.2289612396120244
31,NARRATOR,Response,Arousal,26633,70,2.8688782280591667
32,NARRATOR,Response,Disgust,26702,1,0.025936281736846326
33,NARRATOR,Response,Disgust,26698,5,0.12832182598180905
34,NARRATOR,Response,Disgust,26693,10,0.25466756575758726
35,NARRATOR,Response,Disgust,26688,15,0.38027789773866205
36,NARRATOR,Response,Disgust,26683,20,0.5044719496515274
37,NARRATOR,Response,Disgust,26673,30,0.7486372446098941
38,NARRATOR,Response,Disgust,26653,50,0.9730701557293806
39,NARRATOR,Response,Disgust,26633,70,1.045943570256457
40,NARRATOR,Response,Dominance,10833,1,0.9508696383976059
41,NARRATOR,Response,Dominance,10829,5,4.693021645480211
42,NARRATOR,Response,Dominance,10824,10,9.27616238102566
43,NARRATOR,Response,Dominance,10819,15,12.38566183681654
44,NARRATOR,Response,Dominance,10814,20,13.153388976236831
45,NARRATOR,Response,Dominance,10804,30,13.370688132310727
46,NARRATOR,Response,Dominance,10784,50,0.1774065362078642
47,NARRATOR,Response,Dominance,10764,70,0.011026447762990606
48,NARRATOR,Response,Fear,26702,1,0.040341673764477816
49,NARRATOR,Response,Fear,26698,5,0.19954217076067346
50,NARRATOR,Response,Fear,26693,10,0.3961134112867336
51,NARRATOR,Response,Fear,26688,15,0.5906894025992625
52,NARRATOR,Response,Fear,26683,20,0.7809228331081961
53,NARRATOR,Response,Fear,26673,30,1.1423311449149054
54,NARRATOR,Response,Fear,26653,50,1.3539151008565218
55,NARRATOR,Response,Fear,26633,70,1.4210586321447798
56,NARRATOR,Response,Joy,26702,1,0.04839295801574316
57,NARRATOR,Response,Joy,26698,5,0.23445769075567924
58,NARRATOR,Response,Joy,26693,10,0.4583887224064549
59,NARRATOR,Response,Joy,26688,15,0.6782831449117289
60,NARRATOR,Response,Joy,26683,20,0.8945865524852366
61,NARRATOR,Response,Joy,26673,30,1.301601430185646
62,NARRATOR,Response,Joy,26653,50,1.451227823179843
63,NARRATOR,Response,Joy,26633,70,1.4914622102259867
64,NARRATOR,Response,Sadness,26702,1,0.039458672717301704
65,NARRATOR,Response,Sadness,26698,5,0.196008588565555
66,NARRATOR,Response,Sadness,26693,10,0.38689060587124674
67,NARRATOR,Response,Sadness,26688,15,0.5756135142878107
68,NARRATOR,Response,Sadness,26683,20,0.7599716838068867
69,NARRATOR,Response,Sadness,26673,30,1.1141768078423662
70,NARRATOR,Response,Sadness,26653,50,1.3496573613858063
71,NARRATOR,Response,Sadness,26633,70,1.4266275061602547
72,NARRATOR,Response,Surprise,35772,1,0.20847398886263965
73,NARRATOR,Response,Surprise,35768,5,0.9564005992668712
74,NARRATOR,Response,Surprise,35763,10,1.814280736120032
