,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,64605,1,0.06648425170926013
1,NARRATOR,Other,Unknown,64601,5,0.327516343961444
2,NARRATOR,Other,Unknown,64596,10,0.6484728655583927
3,NARRATOR,Other,Unknown,64591,15,0.9625477502316016
4,NARRATOR,Other,Unknown,64586,20,1.2698399307730686
5,NARRATOR,Other,Unknown,64576,30,1.8618112649368184
6,NARRATOR,Other,Unknown,64556,50,2.0236952084533018
7,NARRATOR,Other,Unknown,64536,70,2.021006152904376
8,NARRATOR,Response,Anger,14215,1,0.4959458595884444
9,NARRATOR,Response,Anger,14211,5,2.4790415160576376
10,NARRATOR,Response,Anger,14206,10,4.929036626715404
11,NARRATOR,Response,Anger,14201,15,7.230900819880718
12,NARRATOR,Response,Anger,14196,20,9.23146329672402
13,NARRATOR,Response,Anger,14186,30,11.866484957215222
14,NARRATOR,Response,Anger,14166,50,0.0
15,NARRATOR,Response,Anger,14146,70,0.4920840248275765
16,NARRATOR,Response,Anticipation,35289,1,0.47330146862903033
17,NARRATOR,Response,Anticipation,35285,5,2.359443505411002
18,NARRATOR,Response,Anticipation,35280,10,4.697731820117804
19,NARRATOR,Response,Anticipation,35275,15,6.9263503172546
20,NARRATOR,Response,Anticipation,35270,20,8.907463402959005
21,NARRATOR,Response,Anticipation,35260,30,11.87209293762306
22,NARRATOR,Response,Anticipation,35240,50,2.535029053767411
23,NARRATOR,Response,Anticipation,35220,70,0.8985887970276607
24,NARRATOR,Response,Arousal,19010,1,0.1339314601792627
25,NARRATOR,Response,Arousal,19006,5,0.6648196065805353
26,NARRATOR,Response,Arousal,19001,10,1.319504369897425
27,NARRATOR,Response,Arousal,18996,15,1.9638828639964723
28,NARRATOR,Response,Arousal,18991,20,2.590505010580896
29,NARRATOR,Response,Arousal,18981,30,3.7795677427503076
30,NARRATOR,Response,Arousal,18961,50,3.540358742722709
31,NARRATOR,Response,Arousal,18941,70,3.065255077082085
32,NARRATOR,Response,Disgust,64605,1,0.1596469499145188
33,NARRATOR,Response,Disgust,64601,5,0.722178500684752
34,NARRATOR,Response,Disgust,64596,10,1.3847956104344241
35,NARRATOR,Response,Disgust,64591,15,2.006076990583768
36,NARRATOR,Response,Disgust,64586,20,2.593805737200862
37,NARRATOR,Response,Disgust,64576,30,3.6847044030348695
38,NARRATOR,Response,Disgust,64556,50,3.324005829855155
39,NARRATOR,Response,Disgust,64536,70,3.094483067641427
40,NARRATOR,Response,Dominance,62482,1,0.5388167092694265
41,NARRATOR,Response,Dominance,62478,5,2.6911286856900754
42,NARRATOR,Response,Dominance,62473,10,5.366994185056002
43,NARRATOR,Response,Dominance,62468,15,7.94735194528724
44,NARRATOR,Response,Dominance,62463,20,10.242709488429481
45,NARRATOR,Response,Dominance,62453,30,13.438492758165374
46,NARRATOR,Response,Dominance,62433,50,1.7596265406462384
47,NARRATOR,Response,Dominance,62413,70,0.39971083129918744
48,NARRATOR,Response,Fear,62482,1,0.5388167092694265
49,NARRATOR,Response,Fear,62478,5,2.691131199756839
50,NARRATOR,Response,Fear,62473,10,5.36700000914876
51,NARRATOR,Response,Fear,62468,15,7.947080727130677
52,NARRATOR,Response,Fear,62463,20,10.242058127845985
53,NARRATOR,Response,Fear,62453,30,13.437659584406068
54,NARRATOR,Response,Fear,62433,50,1.7599020942131842
55,NARRATOR,Response,Fear,62413,70,0.39971083129918744
56,NARRATOR,Response,Joy,62482,1,0.018058617422827487
57,NARRATOR,Response,Joy,62478,5,0.08861775194015671
58,NARRATOR,Response,Joy,62473,10,0.17467158571889368
59,NARRATOR,Response,Joy,62468,15,0.2584314661692891
60,NARRATOR,Response,Joy,62463,20,0.3405026315929578
61,NARRATOR,Response,Joy,62453,30,0.5004956085294765
62,NARRATOR,Response,Joy,62433,50,0.6257292107933737
63,NARRATOR,Response,Joy,62413,70,0.6733634273288831
64,NARRATOR,Response,Sadness,62482,1,0.002844857033190436
65,NARRATOR,Response,Sadness,62478,5,0.01395813124612036
66,NARRATOR,Response,Sadness,62473,10,0.026834633191402623
67,NARRATOR,Response,Sadness,62468,15,0.03968653714482882
68,NARRATOR,Response,Sadness,62463,20,0.05253917311086216
69,NARRATOR,Response,Sadness,62453,30,0.07671263558664893
70,NARRATOR,Response,Sadness,62433,50,0.10667276791631917
71,NARRATOR,Response,Sadness,62413,70,0.12403516395214614
72,NARRATOR,Response,Surprise,9902,1,0.9993377718038374
73,NARRATOR,Response,Surprise,9898,5,4.9930374964769175
74,NARRATOR,Response,Surprise,9893,10,9.909478871725279
75,NARRATOR,Response,Surprise,9888,15,12.96735408491744
76,NARRATOR,Response,Surprise,9883,20,13.259603101657591
77,NARRATOR,Response,Surprise,9873,30,13.269272811843019
78,NARRATOR,Response,Surprise,9853,50,0.0
