,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,13496,1,0.2763021638490195
1,NARRATOR,Other,Unknown,13492,5,1.377726411811359
2,NARRATOR,Other,Unknown,13487,10,2.7405220759053517
3,NARRATOR,Other,Unknown,13482,15,4.0612300351929385
4,NARRATOR,Other,Unknown,13477,20,5.294973362380124
5,NARRATOR,Other,Unknown,13467,30,7.43747320545113
6,NARRATOR,Other,Unknown,13447,50,4.061856127028106
7,NARRATOR,Other,Unknown,13427,70,2.6331641175973473
8,NARRATOR,Response,Anger,13496,1,0.0039012227273579987
9,NARRATOR,Response,Anger,13492,5,0.016830471307992534
10,NARRATOR,Response,Anger,13487,10,0.03295470235111127
11,NARRATOR,Response,Anger,13482,15,0.04908791056602058
12,NARRATOR,Response,Anger,13477,20,0.06523010128116066
13,NARRATOR,Response,Anger,13467,30,0.09754145149500551
14,NARRATOR,Response,Anger,13447,50,0.14003613714589738
15,NARRATOR,Response,Anger,13427,70,0.16339232563405862
16,NARRATOR,Response,Anticipation,25907,1,0.1966689994602756
17,NARRATOR,Response,Anticipation,25903,5,0.9744829922081247
18,NARRATOR,Response,Anticipation,25898,10,1.9318558021022774
19,NARRATOR,Response,Anticipation,25893,15,2.863003181229077
20,NARRATOR,Response,Anticipation,25888,20,3.7532337318477014
21,NARRATOR,Response,Anticipation,25878,30,5.39362895989412
22,NARRATOR,Response,Anticipation,25858,50,3.8827365495775874
23,NARRATOR,Response,Anticipation,25838,70,3.024400832429927
24,NARRATOR,Response,Arousal,55204,1,0.1949257394458982
25,NARRATOR,Response,Arousal,55200,5,0.9416113488209304
26,NARRATOR,Response,Arousal,55195,10,1.8341665073891498
27,NARRATOR,Response,Arousal,55190,15,2.667431206811565
28,NARRATOR,Response,Arousal,55185,20,3.4216696127514337
29,NARRATOR,Response,Arousal,55175,30,4.693740552151621
30,NARRATOR,Response,Arousal,55155,50,3.2181804068596236
31,NARRATOR,Response,Arousal,55135,70,2.755674961486527
32,NARRATOR,Response,Disgust,7003,1,0.2863059621244242
33,NARRATOR,Response,Disgust,6999,5,1.4274235174889731
34,NARRATOR,Response,Disgust,6994,10,2.8332377833885376
35,NARRATOR,Response,Disgust,6989,15,4.190846524123696
36,NARRATOR,Response,Disgust,6984,20,5.452806369579134
37,NARRATOR,Response,Disgust,6974,30,7.617977382545996
38,NARRATOR,Response,Disgust,6954,50,3.782976500648706
39,NARRATOR,Response,Disgust,6934,70,2.3530230860732484
40,NARRATOR,Response,Dominance,19010,1,0.822863947869259
41,NARRATOR,Response,Dominance,19006,5,4.112675988443355
42,NARRATOR,Response,Dominance,19001,10,8.18388264023797
43,NARRATOR,Response,Dominance,18996,15,11.696235267997945
44,NARRATOR,Response,Dominance,18991,20,13.55773222132381
45,NARRATOR,Response,Dominance,18981,30,14.196673140284785
46,NARRATOR,Response,Dominance,18961,50,0.0
47,NARRATOR,Response,Dominance,18941,70,0.0
48,NARRATOR,Response,Fear,55204,1,0.054614836075573894
49,NARRATOR,Response,Fear,55200,5,0.26830556299021774
50,NARRATOR,Response,Fear,55195,10,0.5303111121343468
51,NARRATOR,Response,Fear,55190,15,0.7879184979184173
52,NARRATOR,Response,Fear,55185,20,1.0408169129322438
53,NARRATOR,Response,Fear,55175,30,1.5273465319902702
54,NARRATOR,Response,Fear,55155,50,1.7070310649115017
55,NARRATOR,Response,Fear,55135,70,1.7262473474907916
56,NARRATOR,Response,Joy,55204,1,0.06063454255350019
57,NARRATOR,Response,Joy,55200,5,0.29970459499866015
58,NARRATOR,Response,Joy,55195,10,0.594381963539855
59,NARRATOR,Response,Joy,55190,15,0.8854446843994901
60,NARRATOR,Response,Joy,55185,20,1.1730811424768592
61,NARRATOR,Response,Joy,55175,30,1.731332428307432
62,NARRATOR,Response,Joy,55155,50,1.8902826444227923
63,NARRATOR,Response,Joy,55135,70,1.8760976870151886
64,NARRATOR,Response,Sadness,28891,1,0.4304112228319841
65,NARRATOR,Response,Sadness,28887,5,2.1482627906315317
66,NARRATOR,Response,Sadness,28882,10,4.278293720865119
67,NARRATOR,Response,Sadness,28877,15,6.333466027392726
68,NARRATOR,Response,Sadness,28872,20,8.21218986159556
69,NARRATOR,Response,Sadness,28862,30,11.19086183990632
70,NARRATOR,Response,Sadness,28842,50,2.7018813844884413
71,NARRATOR,Response,Sadness,28822,70,0.9428764706858466
72,NARRATOR,Response,Surprise,33610,1,0.38033594943787086
73,NARRATOR,Response,Surprise,33606,5,1.809228828972642
74,NARRATOR,Response,Surprise,33601,10,3.5002947447846506
75,NARRATOR,Response,Surprise,33596,15,4.990750140916776
76,NARRATOR,Response,Surprise,33591,20,6.186111474742277
77,NARRATOR,Response,Surprise,33581,30,7.968422779381434
78,NARRATOR,Response,Surprise,33561,50,3.6579441353747035
79,NARRATOR,Response,Surprise,33541,70,2.704559145430122
80,NARRATOR,Response,Trust,15024,1,0.561962389901454
81,NARRATOR,Response,Trust,15020,5,2.806212528286548
82,NARRATOR,Response,Trust,15015,10,5.568904183723342
83,NARRATOR,Response,Trust,15010,15,8.101052761640764
84,NARRATOR,Response,Trust,15005,20,10.163344772068832
85,NARRATOR,Response,Trust,14995,30,12.571264064801467
86,NARRATOR,Response,Trust,14975,50,0.0
87,NARRATOR,Response,Trust,14955,70,0.38986484045533215
88,NARRATOR,Response,Valence,34298,1,0.6667834882091339
89,NARRATOR,Response,Valence,34294,5,3.1981824957079765
90,NARRATOR,Response,Valence,34289,10,6.248088976197928
91,NARRATOR,Response,Valence,34284,15,8.832563390870156
92,NARRATOR,Response,Valence,34279,20,10.472873172621497
93,NARRATOR,Response,Valence,34269,30,12.363263432336245
94,NARRATOR,Response,Valence,34249,50,2.302151237928052
95,NARRATOR,Response,Valence,34229,70,1.1547955371466836
96,NARRATOR,Stimulus,Anger,13496,1,0.27885803564974787
97,NARRATOR,Stimulus,Anger,13492,5,1.3906748705600287
98,NARRATOR,Stimulus,Anger,13487,10,2.7662691002532482
99,NARRATOR,Stimulus,Anger,13482,15,4.098560829321395
100,NARRATOR,Stimulus,Anger,13477,20,5.3471211968265875
101,NARRATOR,Stimulus,Anger,13467,30,7.521019846400889
102,NARRATOR,Stimulus,Anger,13447,50,4.06565110868597
103,NARRATOR,Stimulus,Anger,13427,70,2.5796828189878958
104,NARRATOR,Stimulus,Anticipation,64605,1,0.5094341882631114
105,NARRATOR,Stimulus,Anticipation,64601,5,2.5456941657194534
106,NARRATOR,Stimulus,Anticipation,64596,10,5.080398364420151
107,NARRATOR,Stimulus,Anticipation,64591,15,7.537380504874708
108,NARRATOR,Stimulus,Anticipation,64586,20,9.774224592469523
109,NARRATOR,Stimulus,Anticipation,64576,30,13.093621265766672
110,NARRATOR,Stimulus,Anticipation,64556,50,0.0
111,NARRATOR,Stimulus,Anticipation,64536,70,0.5493791356475787
112,NARRATOR,Stimulus,Arousal,55204,1,0.9964078367745981
113,NARRATOR,Stimulus,Arousal,55200,5,4.980553733953966
114,NARRATOR,Stimulus,Arousal,55195,10,9.946668235978407
115,NARRATOR,Stimulus,Arousal,55190,15,14.444745155189429
116,NARRATOR,Stimulus,Arousal,55185,20,15.687415217570068
117,NARRATOR,Stimulus,Arousal,55175,30,15.751727104072842
118,NARRATOR,Stimulus,Arousal,55155,50,0.0
119,NARRATOR,Stimulus,Arousal,55135,70,0.0
120,NARRATOR,Stimulus,Disgust,5791,1,0.25895537063261004
121,NARRATOR,Stimulus,Disgust,5787,5,1.2915305974700186
122,NARRATOR,Stimulus,Disgust,5782,10,2.5587990807209464
123,NARRATOR,Stimulus,Disgust,5777,15,3.756394130369451
124,NARRATOR,Stimulus,Disgust,5772,20,4.8743630577570425
125,NARRATOR,Stimulus,Disgust,5762,30,6.81718997733788
126,NARRATOR,Stimulus,Disgust,5742,50,4.032193628091689
127,NARRATOR,Stimulus,Disgust,5722,70,2.6991070090997535
128,NARRATOR,Stimulus,Dominance,62482,1,0.45477241702135035
129,NARRATOR,Stimulus,Dominance,62478,5,2.272632709376564
130,NARRATOR,Stimulus,Dominance,62473,10,4.537151492380544
131,NARRATOR,Stimulus,Dominance,62468,15,6.750566820247
132,NARRATOR,Stimulus,Dominance,62463,20,8.82257682230963
133,NARRATOR,Stimulus,Dominance,62453,30,12.1874250342291
134,NARRATOR,Stimulus,Dominance,62433,50,2.479382436160979
135,NARRATOR,Stimulus,Dominance,62413,70,0.7245257542227632
136,NARRATOR,Stimulus,Fear,55204,1,0.4513275992517326
137,NARRATOR,Stimulus,Fear,55200,5,2.2495093599881146
138,NARRATOR,Stimulus,Fear,55195,10,4.480934845877438
139,NARRATOR,Stimulus,Fear,55190,15,6.633626342375445
140,NARRATOR,Stimulus,Fear,55185,20,8.595876018376247
141,NARRATOR,Stimulus,Fear,55175,30,11.698875522821368
142,NARRATOR,Stimulus,Fear,55155,50,2.8367654287528237
143,NARRATOR,Stimulus,Fear,55135,70,1.0707327119984011
144,NARRATOR,Stimulus,Joy,19435,1,0.02450415753008335
145,NARRATOR,Stimulus,Joy,19431,5,0.11484204865786522
146,NARRATOR,Stimulus,Joy,19426,10,0.21136688704117004
147,NARRATOR,Stimulus,Joy,19421,15,0.2962231367985372
148,NARRATOR,Stimulus,Joy,19416,20,0.36999696570369917
149,NARRATOR,Stimulus,Joy,19406,30,0.5057199571777832
