,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,50646,1,0.39731273782766535
1,NARRATOR,Other,Unknown,50642,5,1.9855123301798323
2,NARRATOR,Other,Unknown,50637,10,3.962383902569372
3,NARRATOR,Other,Unknown,50632,15,5.89580272402424
4,NARRATOR,Other,Unknown,50627,20,7.72300691200072
5,NARRATOR,Other,Unknown,50617,30,10.811957245828651
6,NARRATOR,Other,Unknown,50597,50,3.1466641402976356
7,NARRATOR,Other,Unknown,50577,70,1.1796625583720448
8,NARRATOR,Response,Anger,38535,1,0.4870358838049583
9,NARRATOR,Response,Anger,38531,5,2.4285286179449193
10,NARRATOR,Response,Anger,38526,10,4.831652557444401
11,NARRATOR,Response,Anger,38521,15,7.113279148817538
12,NARRATOR,Response,Anger,38516,20,9.12930773495747
13,NARRATOR,Response,Anger,38506,30,12.119306814019893
14,NARRATOR,Response,Anger,38486,50,2.431914164219903
15,NARRATOR,Response,Anger,38466,70,0.8510130198231327
16,NARRATOR,Response,Anticipation,14226,1,0.4681929057507336
17,NARRATOR,Response,Anticipation,14222,5,2.338669948730959
18,NARRATOR,Response,Anticipation,14217,10,4.651176140335751
19,NARRATOR,Response,Anticipation,14212,15,6.832855866432679
20,NARRATOR,Response,Anticipation,14207,20,8.751092663253988
21,NARRATOR,Response,Anticipation,14197,30,11.506577019493944
22,NARRATOR,Response,Anticipation,14177,50,0.0
23,NARRATOR,Response,Anticipation,14157,70,0.6649260279161268
24,NARRATOR,Response,Arousal,50646,1,0.2867910383756594
25,NARRATOR,Response,Arousal,50642,5,1.4313388695439324
26,NARRATOR,Response,Arousal,50637,10,2.85335777855016
27,NARRATOR,Response,Arousal,50632,15,4.251919217550615
28,NARRATOR,Response,Arousal,50627,20,5.603469952829753
29,NARRATOR,Response,Arousal,50617,30,8.060124379628885
30,NARRATOR,Response,Arousal,50597,50,4.119379976706246
31,NARRATOR,Response,Arousal,50577,70,2.427594535089808
32,NARRATOR,Response,Disgust,62482,1,0.030073301094975063
33,NARRATOR,Response,Disgust,62478,5,0.14786449151903
34,NARRATOR,Response,Disgust,62473,10,0.2928607518358397
35,NARRATOR,Response,Disgust,62468,15,0.4369008616324176
36,NARRATOR,Response,Disgust,62463,20,0.5802776760532634
37,NARRATOR,Response,Disgust,62453,30,0.8632479179704593
38,NARRATOR,Response,Disgust,62433,50,1.1062921868949478
39,NARRATOR,Response,Disgust,62413,70,1.1998320971397531
40,NARRATOR,Response,Dominance,9902,1,0.3609519023854658
41,NARRATOR,Response,Dominance,9898,5,1.8001170733104723
42,NARRATOR,Response,Dominance,9893,10,3.570909174117271
43,NARRATOR,Response,Dominance,9888,15,5.249507181231033
44,NARRATOR,Response,Dominance,9883,20,6.763075580906397
45,NARRATOR,Response,Dominance,9873,30,9.221374974038094
46,NARRATOR,Response,Dominance,9853,50,3.407424417452189
47,NARRATOR,Response,Dominance,9833,70,1.6008500362492013
48,NARRATOR,Response,Fear,62482,1,0.5643907981184082
49,NARRATOR,Response,Fear,62478,5,2.818383342728056
50,NARRATOR,Response,Fear,62473,10,5.62168695687271
51,NARRATOR,Response,Fear,62468,15,8.31350182112721
52,NARRATOR,Response,Fear,62463,20,10.672273786247766
53,NARRATOR,Response,Fear,62453,30,13.828421648146415
54,NARRATOR,Response,Fear,62433,50,1.5233579294939574
55,NARRATOR,Response,Fear,62413,70,0.3917279882211507
56,NARRATOR,Response,Joy,9902,1,0.571596143372081
57,NARRATOR,Response,Joy,9898,5,2.8500185697974105
58,NARRATOR,Response,Joy,9893,10,5.643683083652723
59,NARRATOR,Response,Joy,9888,15,8.138032499479227
60,NARRATOR,Response,Joy,9883,20,10.055182982949114
61,NARRATOR,Response,Joy,9873,30,12.173834243000266
62,NARRATOR,Response,Joy,9853,50,1.4501884914227297
63,NARRATOR,Response,Joy,9833,70,0.37822246229787504
64,NARRATOR,Response,Sadness,62482,1,0.0742687471295095
65,NARRATOR,Response,Sadness,62478,5,0.3662247704775213
66,NARRATOR,Response,Sadness,62473,10,0.7235379608946253
67,NARRATOR,Response,Sadness,62468,15,1.0714124399514444
68,NARRATOR,Response,Sadness,62463,20,1.4094101742740206
69,NARRATOR,Response,Sadness,62453,30,2.0546386050335257
70,NARRATOR,Response,Sadness,62433,50,2.0995471837665343
71,NARRATOR,Response,Sadness,62413,70,2.07816965583223
72,NARRATOR,Response,Surprise,62482,1,0.045119922990411496
