,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,13496,1,0.0039012227273579987
1,NARRATOR,Other,Unknown,13492,5,0.019509993801517623
2,NARRATOR,Other,Unknown,13487,10,0.03902968901075404
3,NARRATOR,Other,Unknown,13482,15,0.05855908726533794
4,NARRATOR,Other,Unknown,13477,20,0.07809819017098776
5,NARRATOR,Other,Unknown,13467,30,0.11720551619729383
6,NARRATOR,Other,Unknown,13447,50,0.17152817687020544
7,NARRATOR,Other,Unknown,13427,70,0.20096938423894112
8,NARRATOR,Response,Anger,38535,1,0.011269278157259425
9,NARRATOR,Response,Anger,38531,5,0.052278335354954686
10,NARRATOR,Response,Anger,38526,10,0.10207798191729557
11,NARRATOR,Response,Anger,38521,15,0.1509730964788726
12,NARRATOR,Response,Anger,38516,20,0.1987630798385024
13,NARRATOR,Response,Anger,38506,30,0.29132404984843707
14,NARRATOR,Response,Anger,38486,50,0.3734105431021186
15,NARRATOR,Response,Anger,38466,70,0.40858072093753856
16,NARRATOR,Response,Anticipation,13496,1,0.003018186819712606
17,NARRATOR,Response,Anticipation,13492,5,0.01509421902608553
18,NARRATOR,Response,Anticipation,13487,10,0.03019665306995191
19,NARRATOR,Response,Anticipation,13482,15,0.045307306624796276
20,NARRATOR,Response,Anticipation,13477,20,0.06042618417648135
21,NARRATOR,Response,Anticipation,13467,30,0.09068862917669426
22,NARRATOR,Response,Anticipation,13447,50,0.13330601800302794
23,NARRATOR,Response,Anticipation,13427,70,0.1567116059955549
24,NARRATOR,Response,Arousal,38535,1,0.5148519415530398
25,NARRATOR,Response,Arousal,38531,5,2.5712206645228783
26,NARRATOR,Response,Arousal,38526,10,5.123366471319809
27,NARRATOR,Response,Arousal,38521,15,7.562239504665233
28,NARRATOR,Response,Arousal,38516,20,9.71121114053445
29,NARRATOR,Response,Arousal,38506,30,12.721495961137494
30,NARRATOR,Response,Arousal,38486,50,2.0068721310177953
31,NARRATOR,Response,Arousal,38466,70,0.6504888548384525
32,NARRATOR,Response,Disgust,38535,1,0.9999072303325942
33,NARRATOR,Response,Disgust,38531,5,4.994734890197235
34,NARRATOR,Response,Disgust,38526,10,9.963488386479012
35,NARRATOR,Response,Disgust,38521,15,14.272395526038844
36,NARRATOR,Response,Disgust,38516,20,15.191621198023428
37,NARRATOR,Response,Disgust,38506,30,15.232639823550246
38,NARRATOR,Response,Disgust,38486,50,0.0
39,NARRATOR,Response,Disgust,38466,70,0.0
40,NARRATOR,Response,Dominance,19010,1,0.822863947869259
41,NARRATOR,Response,Dominance,19006,5,4.112675988443355
42,NARRATOR,Response,Dominance,19001,10,8.18388264023797
43,NARRATOR,Response,Dominance,18996,15,11.696235267997945
44,NARRATOR,Response,Dominance,18991,20,13.55773222132381
45,NARRATOR,Response,Dominance,18981,30,14.196673140284785
46,NARRATOR,Response,Dominance,18961,50,0.0
47,NARRATOR,Response,Dominance,18941,70,0.0
48,NARRATOR,Response,Fear,55204,1,0.996433641264783
49,NARRATOR,Response,Fear,55200,5,4.980686347421195
50,NARRATOR,Response,Fear,55195,10,9.946811806307728
51,NARRATOR,Response,Fear,55190,15,14.445203095457556
52,NARRATOR,Response,Fear,55185,20,15.687546505284079
53,NARRATOR,Response,Fear,55175,30,15.75154586256853
54,NARRATOR,Response,Fear,55155,50,0.0
55,NARRATOR,Response,Fear,55135,70,0.0
56,NARRATOR,Response,Joy,55204,1,0.626731315674422
57,NARRATOR,Response,Joy,55200,5,3.1308258139813216
58,NARRATOR,Response,Joy,55195,10,6.24490591928937
59,NARRATOR,Response,Joy,55190,15,9.211195042018941
60,NARRATOR,Response,Joy,55185,20,11.70169601396709
61,NARRATOR,Response,Joy,55175,30,14.57651179972387
62,NARRATOR,Response,Joy,55155,50,0.9948626740401864
63,NARRATOR,Response,Joy,55135,70,0.15712514824484491
64,NARRATOR,Response,Sadness,55204,1,0.054614836075573894
65,NARRATOR,Response,Sadness,55200,5,0.26830556299021774
66,NARRATOR,Response,Sadness,55195,10,0.5303111121343468
67,NARRATOR,Response,Sadness,55190,15,0.7879184979184173
68,NARRATOR,Response,Sadness,55185,20,1.0408169129322438
69,NARRATOR,Response,Sadness,55175,30,1.5273465319902702
70,NARRATOR,Response,Sadness,55155,50,1.7070310649115017
71,NARRATOR,Response,Sadness,55135,70,1.7262473474907916
72,NARRATOR,Response,Surprise,55204,1,0.5852076763537428
73,NARRATOR,Response,Surprise,55200,5,2.9245963546330263
74,NARRATOR,Response,Surprise,55195,10,5.834879112565253
