,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,62482,1,0.0647777033650848
1,NARRATOR,Other,Unknown,62478,5,0.3195305853249723
2,NARRATOR,Other,Unknown,62473,10,0.6303165048314507
3,NARRATOR,Other,Unknown,62468,15,0.9322026802481055
4,NARRATOR,Other,Unknown,62463,20,1.2254398468323047
5,NARRATOR,Other,Unknown,62453,30,1.7848183952726713
6,NARRATOR,Other,Unknown,62433,50,1.8914834083738008
7,NARRATOR,Other,Unknown,62413,70,1.8752470800766243
8,NARRATOR,Response,Anger,62482,1,0.6726775544676336
9,NARRATOR,Response,Anger,62478,5,3.362614037302807
10,NARRATOR,Response,Anger,62473,10,6.71223936071588
11,NARRATOR,Response,Anger,62468,15,9.912828622602698
12,NARRATOR,Response,Anger,62463,20,12.548870977985072
13,NARRATOR,Response,Anger,62453,30,15.248537639568099
14,NARRATOR,Response,Anger,62433,50,0.5415927368268113
15,NARRATOR,Response,Anger,62413,70,0.03979933340860106
16,NARRATOR,Response,Anticipation,62482,1,0.5375926780370857
17,NARRATOR,Response,Anticipation,62478,5,2.6856439523671813
18,NARRATOR,Response,Anticipation,62473,10,5.359757041034895
19,NARRATOR,Response,Anticipation,62468,15,7.948013149644151
20,NARRATOR,Response,Anticipation,62463,20,10.277183112523131
21,NARRATOR,Response,Anticipation,62453,30,13.562726648332415
22,NARRATOR,Response,Anticipation,62433,50,0.0
23,NARRATOR,Response,Anticipation,62413,70,0.4033878461207534
24,NARRATOR,Response,Arousal,9902,1,0.18722029332664733
25,NARRATOR,Response,Arousal,9898,5,0.8847042007516286
26,NARRATOR,Response,Arousal,9893,10,1.7048270679120099
27,NARRATOR,Response,Arousal,9888,15,2.4495080750023717
28,NARRATOR,Response,Arousal,9883,20,3.1268635918667282
29,NARRATOR,Response,Arousal,9873,30,4.291337046544424
30,NARRATOR,Response,Arousal,9853,50,3.2661968025119448
31,NARRATOR,Response,Arousal,9833,70,2.852482818746212
32,NARRATOR,Response,Disgust,62482,1,0.45477241702135035
33,NARRATOR,Response,Disgust,62478,5,2.272632709376564
34,NARRATOR,Response,Disgust,62473,10,4.537151492380544
35,NARRATOR,Response,Disgust,62468,15,6.750566820247
36,NARRATOR,Response,Disgust,62463,20,8.82257682230963
37,NARRATOR,Response,Disgust,62453,30,12.1874250342291
38,NARRATOR,Response,Disgust,62433,50,2.479382436160979
39,NARRATOR,Response,Disgust,62413,70,0.7245257542227632
40,NARRATOR,Response,Dominance,32761,1,0.26041057529483913
41,NARRATOR,Response,Dominance,32757,5,1.2990508040751112
42,NARRATOR,Response,Dominance,32752,10,2.5886331996898635
43,NARRATOR,Response,Dominance,32747,15,3.852541883415943
44,NARRATOR,Response,Dominance,32742,20,5.074626681881649
45,NARRATOR,Response,Dominance,32732,30,7.325915607345051
46,NARRATOR,Response,Dominance,32712,50,4.3216714768644575
47,NARRATOR,Response,Dominance,32692,70,2.7877766078354047
48,NARRATOR,Response,Fear,9902,1,0.0733215244394719
49,NARRATOR,Response,Fear,9898,5,0.35289038377158793
50,NARRATOR,Response,Fear,9893,10,0.6932810056593413
51,NARRATOR,Response,Fear,9888,15,1.020637425139368
52,NARRATOR,Response,Fear,9883,20,1.3335733614624123
53,NARRATOR,Response,Fear,9873,30,1.9040896041762378
54,NARRATOR,Response,Fear,9853,50,1.966408328448228
55,NARRATOR,Response,Fear,9833,70,2.0076874063243273
56,NARRATOR,Response,Joy,9902,1,0.03873782166226162
57,NARRATOR,Response,Joy,9898,5,0.19279324331941838
58,NARRATOR,Response,Joy,9893,10,0.3832644223287773
59,NARRATOR,Response,Joy,9888,15,0.5719659177086447
60,NARRATOR,Response,Joy,9883,20,0.7580592375258277
61,NARRATOR,Response,Joy,9873,30,1.128752061774673
62,NARRATOR,Response,Joy,9853,50,1.4524916372957444
63,NARRATOR,Response,Joy,9833,70,1.5309522707865861
64,NARRATOR,Response,Sadness,9902,1,0.04268904560954809
65,NARRATOR,Response,Sadness,9898,5,0.2092476564421728
66,NARRATOR,Response,Sadness,9893,10,0.4145953478376788
67,NARRATOR,Response,Sadness,9888,15,0.6129038778169715
68,NARRATOR,Response,Sadness,9883,20,0.8038270127620412
69,NARRATOR,Response,Sadness,9873,30,1.1681824548983326
70,NARRATOR,Response,Sadness,9853,50,1.3798708089615703
71,NARRATOR,Response,Sadness,9833,70,1.475982336703995
72,NARRATOR,Response,Surprise,9902,1,0.03222481818364811
73,NARRATOR,Response,Surprise,9898,5,0.15827982101901394
74,NARRATOR,Response,Surprise,9893,10,0.31324382093339
75,NARRATOR,Response,Surprise,9888,15,0.4667066049456446
76,NARRATOR,Response,Surprise,9883,20,0.6140834943753142
77,NARRATOR,Response,Surprise,9873,30,0.9068706733862062
78,NARRATOR,Response,Surprise,9853,50,1.16986294615644
79,NARRATOR,Response,Surprise,9833,70,1.2627868204113868
80,NARRATOR,Response,Trust,62482,1,0.025183514610120694
81,NARRATOR,Response,Trust,62478,5,0.12276692673958911
82,NARRATOR,Response,Trust,62473,10,0.24015178949585167
83,NARRATOR,Response,Trust,62468,15,0.3536811838918627
84,NARRATOR,Response,Trust,62463,20,0.46314007505965293
85,NARRATOR,Response,Trust,62453,30,0.672257802900491
86,NARRATOR,Response,Trust,62433,50,0.7788361345405659
87,NARRATOR,Response,Trust,62413,70,0.8205027016731822
88,NARRATOR,Response,Valence,44754,1,0.04664464334901565
89,NARRATOR,Response,Valence,44750,5,0.22887035124248206
90,NARRATOR,Response,Valence,44745,10,0.45036042751838323
91,NARRATOR,Response,Valence,44740,15,0.6667141955879587
92,NARRATOR,Response,Valence,44735,20,0.8783527286696283
93,NARRATOR,Response,Valence,44725,30,1.2848734833209863
94,NARRATOR,Response,Valence,44705,50,1.389544608431931
95,NARRATOR,Response,Valence,44685,70,1.382756272452538
96,NARRATOR,Stimulus,Anger,13177,1,0.9897222668850901
97,NARRATOR,Stimulus,Anger,13173,5,4.935751633963061
98,NARRATOR,Stimulus,Anger,13168,10,9.79912896545636
99,NARRATOR,Stimulus,Anger,13163,15,13.168070320652985
100,NARRATOR,Stimulus,Anger,13158,20,13.64537193597919
101,NARRATOR,Stimulus,Anger,13148,30,13.681490940348299
102,NARRATOR,Stimulus,Anger,13128,50,0.028796617935518472
103,NARRATOR,Stimulus,Anger,13108,70,0.0
104,NARRATOR,Stimulus,Anticipation,62482,1,0.5388167092694265
105,NARRATOR,Stimulus,Anticipation,62478,5,2.6911286856900754
106,NARRATOR,Stimulus,Anticipation,62473,10,5.366994185056002
107,NARRATOR,Stimulus,Anticipation,62468,15,7.94735194528724
108,NARRATOR,Stimulus,Anticipation,62463,20,10.242709488429481
109,NARRATOR,Stimulus,Anticipation,62453,30,13.438492758165374
110,NARRATOR,Stimulus,Anticipation,62433,50,1.7596265406462384
111,NARRATOR,Stimulus,Anticipation,62413,70,0.39971083129918744
112,NARRATOR,Stimulus,Arousal,16598,1,0.31491010497204897
113,NARRATOR,Stimulus,Arousal,16594,5,1.5693905967330317
114,NARRATOR,Stimulus,Arousal,16589,10,3.123028858574686
115,NARRATOR,Stimulus,Arousal,16584,15,4.629352852047691
116,NARRATOR,Stimulus,Arousal,16579,20,6.048902492309482
117,NARRATOR,Stimulus,Arousal,16569,30,8.542938978945829
118,NARRATOR,Stimulus,Arousal,16549,50,3.967565332542343
119,NARRATOR,Stimulus,Arousal,16529,70,1.9286851955404878
120,NARRATOR,Stimulus,Disgust,29894,1,0.01659654711509777
121,NARRATOR,Stimulus,Disgust,29890,5,0.07941391245355855
122,NARRATOR,Stimulus,Disgust,29885,10,0.15208438615975953
123,NARRATOR,Stimulus,Disgust,29880,15,0.21796513481590613
124,NARRATOR,Stimulus,Disgust,29875,20,0.28086987686042564
125,NARRATOR,Stimulus,Disgust,29865,30,0.3916276979033333
126,NARRATOR,Stimulus,Disgust,29845,50,0.4227682885336015
127,NARRATOR,Stimulus,Disgust,29825,70,0.4296831907406065
128,NARRATOR,Stimulus,Dominance,44754,1,0.39955039926056624
129,NARRATOR,Stimulus,Dominance,44750,5,1.9917058899815105
130,NARRATOR,Stimulus,Dominance,44745,10,3.967704532644697
131,NARRATOR,Stimulus,Dominance,44740,15,5.878509628919014
132,NARRATOR,Stimulus,Dominance,44735,20,7.643188587717376
133,NARRATOR,Stimulus,Dominance,44725,30,10.537682139665772
134,NARRATOR,Stimulus,Dominance,44705,50,3.2833783931550453
135,NARRATOR,Stimulus,Dominance,44685,70,1.3762409340727555
136,NARRATOR,Stimulus,Fear,34955,1,0.01797942077479878
137,NARRATOR,Stimulus,Fear,34951,5,0.08705996009790794
138,NARRATOR,Stimulus,Fear,34946,10,0.17149110233343717
139,NARRATOR,Stimulus,Fear,34941,15,0.255390510772753
140,NARRATOR,Stimulus,Fear,34936,20,0.33907776280682306
141,NARRATOR,Stimulus,Fear,34926,30,0.5057570133515881
142,NARRATOR,Stimulus,Fear,34906,50,0.6728918550116575
143,NARRATOR,Stimulus,Fear,34886,70,0.7481604228058978
144,NARRATOR,Stimulus,Joy,32761,1,0.2703555215396427
145,NARRATOR,Stimulus,Joy,32757,5,1.3500322027624347
146,NARRATOR,Stimulus,Joy,32752,10,2.690503416431317
147,NARRATOR,Stimulus,Joy,32747,15,4.011760299704279
148,NARRATOR,Stimulus,Joy,32742,20,5.2914441602376865
149,NARRATOR,Stimulus,Joy,32732,30,7.663838583180827
150,NARRATOR,Stimulus,Joy,32712,50,4.158331305038318
151,NARRATOR,Stimulus,Joy,32692,70,2.4848320410965705
152,NARRATOR,Stimulus,Sadness,34955,1,0.4128346553586278
153,NARRATOR,Stimulus,Sadness,34951,5,2.0623555182345674
154,NARRATOR,Stimulus,Sadness,34946,10,4.111279864339393
155,NARRATOR,Stimulus,Sadness,34941,15,6.09318078858714
156,NARRATOR,Stimulus,Sadness,34936,20,7.930265891500547
