,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,30428,1,0.419175566676514
1,NARRATOR,Other,Unknown,30424,5,2.094171608168949
2,NARRATOR,Other,Unknown,30419,10,4.171779538419689
3,NARRATOR,Other,Unknown,30414,15,6.179266133577869
4,NARRATOR,Other,Unknown,30409,20,8.028094845745153
5,NARRATOR,Other,Unknown,30399,30,10.975423840192725
6,NARRATOR,Other,Unknown,30379,50,0.0
7,NARRATOR,Other,Unknown,30359,70,1.1028428868126205
8,NARRATOR,Response,Anger,30428,1,0.7390332188152973
9,NARRATOR,Response,Anger,30424,5,3.6909008036274518
10,NARRATOR,Response,Anger,30419,10,7.3543835069487855
11,NARRATOR,Response,Anger,30414,15,10.68094987771054
12,NARRATOR,Response,Anger,30409,20,12.963347216202457
13,NARRATOR,Response,Anger,30399,30,14.633944735123476
14,NARRATOR,Response,Anger,30379,50,0.39925139566086953
15,NARRATOR,Response,Anger,30359,70,0.03496538422608984
16,NARRATOR,Response,Anticipation,5791,1,0.9856650772953095
17,NARRATOR,Response,Anticipation,5787,5,4.913348823035612
18,NARRATOR,Response,Anticipation,5782,10,9.657252691891225
19,NARRATOR,Response,Anticipation,5777,15,12.187517686107975
20,NARRATOR,Response,Anticipation,5772,20,12.470162354238584
21,NARRATOR,Response,Anticipation,5762,30,12.492353945159463
22,NARRATOR,Response,Anticipation,5742,50,0.016980855170647537
23,NARRATOR,Response,Anticipation,5722,70,0.0
24,NARRATOR,Response,Arousal,30428,1,0.44782831550467217
25,NARRATOR,Response,Arousal,30424,5,2.2381012939777913
26,NARRATOR,Response,Arousal,30419,10,4.464588986019868
27,NARRATOR,Response,Arousal,30414,15,6.626048540636476
28,NARRATOR,Response,Arousal,30409,20,8.609240329259753
29,NARRATOR,Response,Arousal,30399,30,11.657344721025295
30,NARRATOR,Response,Arousal,30379,50,2.487962185519803
31,NARRATOR,Response,Arousal,30359,70,0.7746309483261407
32,NARRATOR,Response,Disgust,30428,1,0.44782831550467217
33,NARRATOR,Response,Disgust,30424,5,2.2381012939777913
34,NARRATOR,Response,Disgust,30419,10,4.464588986019868
35,NARRATOR,Response,Disgust,30414,15,6.626048540636476
36,NARRATOR,Response,Disgust,30409,20,8.609240329259753
37,NARRATOR,Response,Disgust,30399,30,11.657344721025295
38,NARRATOR,Response,Disgust,30379,50,2.487962185519803
39,NARRATOR,Response,Disgust,30359,70,0.7746309483261407
40,NARRATOR,Response,Dominance,30428,1,0.5986083858644056
41,NARRATOR,Response,Dominance,30424,5,2.987221420702223
42,NARRATOR,Response,Dominance,30419,10,5.9454647978326465
43,NARRATOR,Response,Dominance,30414,15,8.700451086843692
44,NARRATOR,Response,Dominance,30409,20,10.935589998851507
45,NARRATOR,Response,Dominance,30399,30,13.555109727509885
46,NARRATOR,Response,Dominance,30379,50,1.2742662519056678
47,NARRATOR,Response,Dominance,30359,70,0.28054799121883944
48,NARRATOR,Response,Fear,19010,1,0.1339314601792627
49,NARRATOR,Response,Fear,19006,5,0.6648196065805353
50,NARRATOR,Response,Fear,19001,10,1.319504369897425
51,NARRATOR,Response,Fear,18996,15,1.9638828639964723
52,NARRATOR,Response,Fear,18991,20,2.590505010580896
53,NARRATOR,Response,Fear,18981,30,3.7795677427503076
54,NARRATOR,Response,Fear,18961,50,3.540358742722709
55,NARRATOR,Response,Fear,18941,70,3.065255077082085
56,NARRATOR,Response,Joy,19010,1,0.14079026638849607
57,NARRATOR,Response,Joy,19006,5,0.6953643195479
58,NARRATOR,Response,Joy,19001,10,1.3729668959631756
59,NARRATOR,Response,Joy,18996,15,2.030352337212951
60,NARRATOR,Response,Joy,18991,20,2.6661821572889344
61,NARRATOR,Response,Joy,18981,30,3.877455836121529
62,NARRATOR,Response,Joy,18961,50,3.550931419549772
63,NARRATOR,Response,Joy,18941,70,3.081110269443567
64,NARRATOR,Response,Sadness,30428,1,0.49021685281717586
65,NARRATOR,Response,Sadness,30424,5,2.4464871511417767
66,NARRATOR,Response,Sadness,30419,10,4.871595775827928
67,NARRATOR,Response,Sadness,30414,15,7.179551579702061
68,NARRATOR,Response,Sadness,30409,20,9.213169823726307
69,NARRATOR,Response,Sadness,30399,30,12.161276655536206
70,NARRATOR,Response,Sadness,30379,50,2.134462119551205
71,NARRATOR,Response,Sadness,30359,70,0.5997102723724698
72,NARRATOR,Response,Surprise,34955,1,0.4223772404224611
73,NARRATOR,Response,Surprise,34951,5,2.100107795858955
74,NARRATOR,Response,Surprise,34946,10,4.175908633033977
75,NARRATOR,Response,Surprise,34941,15,6.1528539478922495
76,NARRATOR,Response,Surprise,34936,20,7.937912630607056
77,NARRATOR,Response,Surprise,34926,30,10.74370820740503
78,NARRATOR,Response,Surprise,34906,50,3.1219520121712008
79,NARRATOR,Response,Surprise,34886,70,1.4183983468807773
80,NARRATOR,Response,Trust,19010,1,0.1658024314126999
81,NARRATOR,Response,Trust,19006,5,0.8253753856754861
82,NARRATOR,Response,Trust,19001,10,1.6378440054634391
83,NARRATOR,Response,Trust,18996,15,2.4278660512819346
84,NARRATOR,Response,Trust,18991,20,3.188950879828226
85,NARRATOR,Response,Trust,18981,30,4.609350265535694
86,NARRATOR,Response,Trust,18961,50,3.7471371978672576
87,NARRATOR,Response,Trust,18941,70,3.0673259819358476
88,NARRATOR,Response,Valence,19010,1,0.6418567106347437
89,NARRATOR,Response,Valence,19006,5,3.060881441173732
90,NARRATOR,Response,Valence,19001,10,5.967277642213148
91,NARRATOR,Response,Valence,18996,15,8.329892110213475
92,NARRATOR,Response,Valence,18991,20,9.882078788246018
93,NARRATOR,Response,Valence,18981,30,11.678818185899642
94,NARRATOR,Response,Valence,18961,50,2.4678048941597606
95,NARRATOR,Response,Valence,18941,70,1.2237662535125464
96,NARRATOR,Stimulus,Anger,19010,1,0.47497002383874315
97,NARRATOR,Stimulus,Anger,19006,5,2.368462507435082
98,NARRATOR,Stimulus,Anger,19001,10,4.706339820199851
99,NARRATOR,Stimulus,Anger,18996,15,6.900701399574125
100,NARRATOR,Stimulus,Anger,18991,20,8.805508154763595
101,NARRATOR,Stimulus,Anger,18981,30,11.497797413649382
102,NARRATOR,Stimulus,Anger,18961,50,2.396571761317437
103,NARRATOR,Stimulus,Anger,18941,70,0.7558203907991352
104,NARRATOR,Stimulus,Anticipation,19010,1,0.5715072539365513
105,NARRATOR,Stimulus,Anticipation,19006,5,2.856597880336244
106,NARRATOR,Stimulus,Anticipation,19001,10,5.682326305820398
107,NARRATOR,Stimulus,Anticipation,18996,15,8.329202331730874
108,NARRATOR,Stimulus,Anticipation,18991,20,10.528672054246897
109,NARRATOR,Stimulus,Anticipation,18981,30,13.130436942291556
110,NARRATOR,Stimulus,Anticipation,18961,50,1.0358792094578397
111,NARRATOR,Stimulus,Anticipation,18941,70,0.1090432558202437
112,NARRATOR,Stimulus,Arousal,19010,1,0.9994004828770824
113,NARRATOR,Stimulus,Arousal,19006,5,4.99446381203908
114,NARRATOR,Stimulus,Arousal,19001,10,9.946620545867178
115,NARRATOR,Stimulus,Arousal,18996,15,13.686322495709138
116,NARRATOR,Stimulus,Arousal,18991,20,14.194860724977133
117,NARRATOR,Stimulus,Arousal,18981,30,14.212268381234617
118,NARRATOR,Stimulus,Arousal,18961,50,0.0
119,NARRATOR,Stimulus,Arousal,18941,70,0.0
120,NARRATOR,Stimulus,Disgust,34279,1,0.005186882937941806
121,NARRATOR,Stimulus,Disgust,34275,5,0.025934688444097985
122,NARRATOR,Stimulus,Disgust,34270,10,0.051691850902829975
123,NARRATOR,Stimulus,Disgust,34265,15,0.07581410591473291
124,NARRATOR,Stimulus,Disgust,34260,20,0.09992469850869387
125,NARRATOR,Stimulus,Disgust,34250,30,0.14611462200446626
126,NARRATOR,Stimulus,Disgust,34230,50,0.19929048862810755
127,NARRATOR,Stimulus,Disgust,34210,70,0.22942533447239574
128,NARRATOR,Stimulus,Dominance,64605,1,0.02379809830564152
129,NARRATOR,Stimulus,Dominance,64601,5,0.11497389560431397
130,NARRATOR,Stimulus,Dominance,64596,10,0.2261537736455109
131,NARRATOR,Stimulus,Dominance,64591,15,0.3354811599025698
132,NARRATOR,Stimulus,Dominance,64586,20,0.4437866066959178
133,NARRATOR,Stimulus,Dominance,64576,30,0.6584493714421368
134,NARRATOR,Stimulus,Dominance,64556,50,0.8608603427328424
135,NARRATOR,Stimulus,Dominance,64536,70,0.9446898391702304
136,NARRATOR,Stimulus,Fear,62482,1,0.5388167092694265
137,NARRATOR,Stimulus,Fear,62478,5,2.6911286856900754
138,NARRATOR,Stimulus,Fear,62473,10,5.366994185056002
139,NARRATOR,Stimulus,Fear,62468,15,7.94735194528724
140,NARRATOR,Stimulus,Fear,62463,20,10.242709488429481
141,NARRATOR,Stimulus,Fear,62453,30,13.438492758165374
142,NARRATOR,Stimulus,Fear,62433,50,1.7596265406462384
143,NARRATOR,Stimulus,Fear,62413,70,0.39971083129918744
144,NARRATOR,Stimulus,Joy,19010,1,0.5177279661822026
145,NARRATOR,Stimulus,Joy,19006,5,2.583262469840364
146,NARRATOR,Stimulus,Joy,19001,10,5.132019299117031
147,NARRATOR,Stimulus,Joy,18996,15,7.50701664922593
148,NARRATOR,Stimulus,Joy,18991,20,9.524113236445812
149,NARRATOR,Stimulus,Joy,18981,30,12.221427412289579
150,NARRATOR,Stimulus,Joy,18961,50,1.7813516381134795
151,NARRATOR,Stimulus,Joy,18941,70,0.5112807259118537
152,NARRATOR,Stimulus,Sadness,35289,1,0.47330146862903033
153,NARRATOR,Stimulus,Sadness,35285,5,2.359443505411002
154,NARRATOR,Stimulus,Sadness,35280,10,4.697731820117804
155,NARRATOR,Stimulus,Sadness,35275,15,6.9263503172546
156,NARRATOR,Stimulus,Sadness,35270,20,8.907463402959005
157,NARRATOR,Stimulus,Sadness,35260,30,11.87209293762306
158,NARRATOR,Stimulus,Sadness,35240,50,2.535029053767411
159,NARRATOR,Stimulus,Sadness,35220,70,0.8985887970276607
160,NARRATOR,Stimulus,Surprise,62482,1,0.536729824881695
161,NARRATOR,Stimulus,Surprise,62478,5,2.6813332686775877
162,NARRATOR,Stimulus,Surprise,62473,10,5.350883220792816
163,NARRATOR,Stimulus,Surprise,62468,15,7.934601651541873
164,NARRATOR,Stimulus,Surprise,62463,20,10.260811597906047
165,NARRATOR,Stimulus,Surprise,62453,30,13.547407991285581
166,NARRATOR,Stimulus,Surprise,62433,50,0.0
167,NARRATOR,Stimulus,Surprise,62413,70,0.403665616116069
168,NARRATOR,Stimulus,Trust,62482,1,0.5643907981184082
169,NARRATOR,Stimulus,Trust,62478,5,2.818383342728056
170,NARRATOR,Stimulus,Trust,62473,10,5.62168695687271
171,NARRATOR,Stimulus,Trust,62468,15,8.31350182112721
172,NARRATOR,Stimulus,Trust,62463,20,10.672273786247766
173,NARRATOR,Stimulus,Trust,62453,30,13.828421648146415
174,NARRATOR,Stimulus,Trust,62433,50,1.5233579294939574
