,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,28891,1,0.4029982352490862
1,NARRATOR,Other,Unknown,28887,5,2.0132993579211087
2,NARRATOR,Other,Unknown,28882,10,4.014689355713578
3,NARRATOR,Other,Unknown,28877,15,5.951427105465677
4,NARRATOR,Other,Unknown,28872,20,7.750011948658363
5,NARRATOR,Other,Unknown,28862,30,10.657429343684736
6,NARRATOR,Other,Unknown,28842,50,2.9568997333018054
7,NARRATOR,Other,Unknown,28822,70,1.1591141358700692
8,NARRATOR,Response,Anger,23866,1,0.8058206348375273
9,NARRATOR,Response,Anger,23862,5,4.026130773764216
10,NARRATOR,Response,Anger,23857,10,8.017027592678216
11,NARRATOR,Response,Anger,23852,15,11.522897493478276
12,NARRATOR,Response,Anger,23847,20,13.596224921270489
13,NARRATOR,Response,Anger,23837,30,14.503740212501125
14,NARRATOR,Response,Anger,23817,50,0.0
15,NARRATOR,Response,Anger,23797,70,0.0006715618278449887
16,NARRATOR,Response,Anticipation,62482,1,0.45466861898613486
17,NARRATOR,Response,Anticipation,62478,5,2.2721019125403634
18,NARRATOR,Response,Anticipation,62473,10,4.536076210501484
19,NARRATOR,Response,Anticipation,62468,15,6.748958947906269
20,NARRATOR,Response,Anticipation,62463,20,8.820468955597043
21,NARRATOR,Response,Anticipation,62453,30,12.184812483266564
22,NARRATOR,Response,Anticipation,62433,50,2.4826076517285536
23,NARRATOR,Response,Anticipation,62413,70,0.7245257542227632
24,NARRATOR,Response,Arousal,34955,1,0.5460989671717559
25,NARRATOR,Response,Arousal,34951,5,2.7234824420467927
26,NARRATOR,Response,Arousal,34946,10,5.415493932709351
27,NARRATOR,Response,Arousal,34941,15,7.939912543366902
28,NARRATOR,Response,Arousal,34936,20,10.058419914047684
29,NARRATOR,Response,Arousal,34926,30,12.862419357099128
30,NARRATOR,Response,Arousal,34906,50,1.8647292790941932
31,NARRATOR,Response,Arousal,34886,70,0.5887945696064719
32,NARRATOR,Response,Disgust,48562,1,0.010672894617160483
33,NARRATOR,Response,Disgust,48558,5,0.04952551460067328
34,NARRATOR,Response,Disgust,48553,10,0.09184722474442875
35,NARRATOR,Response,Disgust,48548,15,0.12809038807684123
36,NARRATOR,Response,Disgust,48543,20,0.16050485299196393
37,NARRATOR,Response,Disgust,48533,30,0.21000078646298112
38,NARRATOR,Response,Disgust,48513,50,0.1860827782805351
39,NARRATOR,Response,Disgust,48493,70,0.18548639166113365
40,NARRATOR,Response,Dominance,62482,1,0.030073301094975063
41,NARRATOR,Response,Dominance,62478,5,0.14786449151903
42,NARRATOR,Response,Dominance,62473,10,0.2928607518358397
43,NARRATOR,Response,Dominance,62468,15,0.4369008616324176
44,NARRATOR,Response,Dominance,62463,20,0.5802776760532634
45,NARRATOR,Response,Dominance,62453,30,0.8632479179704593
46,NARRATOR,Response,Dominance,62433,50,1.1062921868949478
47,NARRATOR,Response,Dominance,62413,70,1.1998320971397531
48,NARRATOR,Response,Fear,62482,1,0.5643907981184082
49,NARRATOR,Response,Fear,62478,5,2.818383342728056
50,NARRATOR,Response,Fear,62473,10,5.62168695687271
51,NARRATOR,Response,Fear,62468,15,8.31350182112721
52,NARRATOR,Response,Fear,62463,20,10.672273786247766
53,NARRATOR,Response,Fear,62453,30,13.828421648146415
54,NARRATOR,Response,Fear,62433,50,1.5233579294939574
55,NARRATOR,Response,Fear,62413,70,0.3917279882211507
56,NARRATOR,Response,Joy,62482,1,0.6291108735412358
57,NARRATOR,Response,Joy,62478,5,3.144978258940547
58,NARRATOR,Response,Joy,62473,10,6.278320226536322
59,NARRATOR,Response,Joy,62468,15,9.28870164480445
60,NARRATOR,Response,Joy,62463,20,11.86615882684536
61,NARRATOR,Response,Joy,62453,30,14.829872997695798
62,NARRATOR,Response,Joy,62433,50,0.8460235160149642
63,NARRATOR,Response,Joy,62413,70,0.11016288764128211
64,NARRATOR,Response,Sadness,62482,1,0.5448548036113826
65,NARRATOR,Response,Sadness,62478,5,2.716174382317998
66,NARRATOR,Response,Sadness,62473,10,5.412033226770318
67,NARRATOR,Response,Sadness,62468,15,7.999130574909781
68,NARRATOR,Response,Sadness,62463,20,10.262091028501754
69,NARRATOR,Response,Sadness,62453,30,13.396913354293202
70,NARRATOR,Response,Sadness,62433,50,1.911596929530291
71,NARRATOR,Response,Sadness,62413,70,0.5974177625482083
72,NARRATOR,Response,Surprise,30428,1,0.031844279838796126
73,NARRATOR,Response,Surprise,30424,5,0.13590556222487607
74,NARRATOR,Response,Surprise,30419,10,0.23576238149976247
75,NARRATOR,Response,Surprise,30414,15,0.31003237943529227
76,NARRATOR,Response,Surprise,30409,20,0.37096790627399445
77,NARRATOR,Response,Surprise,30399,30,0.4743480456766404
78,NARRATOR,Response,Surprise,30379,50,0.41330712899286143
79,NARRATOR,Response,Surprise,30359,70,0.42821201879414733
80,NARRATOR,Response,Trust,14215,1,0.49530485146662834
81,NARRATOR,Response,Trust,14211,5,2.4757655489075323
82,NARRATOR,Response,Trust,14206,10,4.922223372236562
83,NARRATOR,Response,Trust,14201,15,7.220090115059826
84,NARRATOR,Response,Trust,14196,20,9.2191968514364
85,NARRATOR,Response,Trust,14186,30,11.85753181913898
86,NARRATOR,Response,Trust,14166,50,0.0
87,NARRATOR,Response,Trust,14146,70,0.4920840248275765
88,NARRATOR,Response,Valence,62482,1,0.5446754421242976
89,NARRATOR,Response,Valence,62478,5,2.7152256131707957
90,NARRATOR,Response,Valence,62473,10,5.4101422608982945
91,NARRATOR,Response,Valence,62468,15,7.996436492366728
92,NARRATOR,Response,Valence,62463,20,10.258790432540478
93,NARRATOR,Response,Valence,62453,30,13.392811728909606
94,NARRATOR,Response,Valence,62433,50,1.9151941806396666
95,NARRATOR,Response,Valence,62413,70,0.5974177625482083
96,NARRATOR,Stimulus,Anger,24832,1,0.17525576550466582
97,NARRATOR,Stimulus,Anger,24828,5,0.8716212927287059
98,NARRATOR,Stimulus,Anger,24823,10,1.7352339885875132
99,NARRATOR,Stimulus,Anger,24818,15,2.583639151806343
100,NARRATOR,Stimulus,Anger,24813,20,3.41190202268565
101,NARRATOR,Stimulus,Anger,24803,30,4.976841174671339
102,NARRATOR,Stimulus,Anger,24783,50,4.0049610158321585
103,NARRATOR,Stimulus,Anger,24763,70,3.113238421576665
104,NARRATOR,Stimulus,Anticipation,9902,1,0.17736149937595114
105,NARRATOR,Stimulus,Anticipation,9898,5,0.8099301676427291
106,NARRATOR,Stimulus,Anticipation,9893,10,1.4976636162925878
107,NARRATOR,Stimulus,Anticipation,9888,15,2.0652465285075117
108,NARRATOR,Stimulus,Anticipation,9883,20,2.5297266074582985
109,NARRATOR,Stimulus,Anticipation,9873,30,3.2342258449467414
110,NARRATOR,Stimulus,Anticipation,9853,50,1.9307907800115418
111,NARRATOR,Stimulus,Anticipation,9833,70,1.6094316877294579
112,NARRATOR,Stimulus,Arousal,62482,1,0.5388619958576919
113,NARRATOR,Stimulus,Arousal,62478,5,2.691365667760012
114,NARRATOR,Stimulus,Arousal,62473,10,5.367458860201819
115,NARRATOR,Stimulus,Arousal,62468,15,7.947767028592093
116,NARRATOR,Stimulus,Arousal,62463,20,10.242949428234922
117,NARRATOR,Stimulus,Arousal,62453,30,13.438428710001157
118,NARRATOR,Stimulus,Arousal,62433,50,1.7596265406462384
119,NARRATOR,Stimulus,Arousal,62413,70,0.39971083129918744
120,NARRATOR,Stimulus,Disgust,30428,1,0.4140820770007483
121,NARRATOR,Stimulus,Disgust,30424,5,2.0647640774172746
122,NARRATOR,Stimulus,Disgust,30419,10,4.10822471301295
123,NARRATOR,Stimulus,Disgust,30414,15,6.068385809998871
124,NARRATOR,Stimulus,Disgust,30409,20,7.847773676872162
125,NARRATOR,Stimulus,Disgust,30399,30,10.702402962554054
126,NARRATOR,Stimulus,Disgust,30379,50,3.0634097269648795
127,NARRATOR,Stimulus,Disgust,30359,70,1.297884822696597
128,NARRATOR,Stimulus,Dominance,14215,1,0.49807776913543184
129,NARRATOR,Stimulus,Dominance,14211,5,2.4813657018643314
130,NARRATOR,Stimulus,Dominance,14206,10,4.906256890237486
131,NARRATOR,Stimulus,Dominance,14201,15,7.130056579912167
132,NARRATOR,Stimulus,Dominance,14196,20,8.981802824726104
133,NARRATOR,Stimulus,Dominance,14186,30,11.402043706600391
134,NARRATOR,Stimulus,Dominance,14166,50,2.403605219930161
135,NARRATOR,Stimulus,Dominance,14146,70,1.0808212773021457
136,NARRATOR,Stimulus,Fear,62482,1,0.2044487259558452
137,NARRATOR,Stimulus,Fear,62478,5,0.9847186540198855
138,NARRATOR,Stimulus,Fear,62473,10,1.9202411015605882
139,NARRATOR,Stimulus,Fear,62468,15,2.8018621712016514
140,NARRATOR,Stimulus,Fear,62463,20,3.6069568144881794
141,NARRATOR,Stimulus,Fear,62453,30,4.9957597807882745
142,NARRATOR,Stimulus,Fear,62433,50,3.459367691320752
143,NARRATOR,Stimulus,Fear,62413,70,2.9490660095885253
144,NARRATOR,Stimulus,Joy,62482,1,0.013531949213964906
145,NARRATOR,Stimulus,Joy,62478,5,0.05160718343635465
146,NARRATOR,Stimulus,Joy,62473,10,0.08333769113632161
147,NARRATOR,Stimulus,Joy,62468,15,0.10627186949192066
148,NARRATOR,Stimulus,Joy,62463,20,0.12389812393380464
149,NARRATOR,Stimulus,Joy,62453,30,0.1515608065199021
150,NARRATOR,Stimulus,Joy,62433,50,0.13378401321841174
151,NARRATOR,Stimulus,Joy,62413,70,0.1423293950869045
152,NARRATOR,Stimulus,Sadness,62482,1,0.47267814261771557
153,NARRATOR,Stimulus,Sadness,62478,5,2.3550380979296532
154,NARRATOR,Stimulus,Sadness,62473,10,4.690713630983258
155,NARRATOR,Stimulus,Sadness,62468,15,6.942885550828176
156,NARRATOR,Stimulus,Sadness,62463,20,8.981742559471181
157,NARRATOR,Stimulus,Sadness,62453,30,12.134649569239324
158,NARRATOR,Stimulus,Sadness,62433,50,2.63339172456683
159,NARRATOR,Stimulus,Sadness,62413,70,0.8838798230450579
160,NARRATOR,Stimulus,Surprise,62482,1,0.0020459391871931235
161,NARRATOR,Stimulus,Surprise,62478,5,0.01022998488392298
162,NARRATOR,Stimulus,Surprise,62473,10,0.020460691798052426
163,NARRATOR,Stimulus,Surprise,62468,15,0.030692120175285137
164,NARRATOR,Stimulus,Surprise,62463,20,0.040924269447146604
165,NARRATOR,Stimulus,Surprise,62453,30,0.060326456648587184
166,NARRATOR,Stimulus,Surprise,62433,50,0.08557753639827545
167,NARRATOR,Stimulus,Surprise,62413,70,0.09989732732219633
168,NARRATOR,Stimulus,Trust,9902,1,0.08344611449580755
169,NARRATOR,Stimulus,Trust,9898,5,0.36378950149606765
170,NARRATOR,Stimulus,Trust,9893,10,0.6767177558602698
171,NARRATOR,Stimulus,Trust,9888,15,0.9598184640667007
172,NARRATOR,Stimulus,Trust,9883,20,1.2236535975484732
173,NARRATOR,Stimulus,Trust,9873,30,1.7095534641798198
174,NARRATOR,Stimulus,Trust,9853,50,1.7085548222893001
175,NARRATOR,Stimulus,Trust,9833,70,1.7316583408497852
176,NARRATOR,Stimulus,Valence,9902,1,0.011506304229365535
177,NARRATOR,Stimulus,Valence,9898,5,0.05227170130845442
178,NARRATOR,Stimulus,Valence,9893,10,0.10031005795916544
179,NARRATOR,Stimulus,Valence,9888,15,0.14534163602789546
180,NARRATOR,Stimulus,Valence,9883,20,0.1760471736452573
181,NARRATOR,Stimulus,Valence,9873,30,0.23409524209592997
182,NARRATOR,Stimulus,Valence,9853,50,0.2710734113250401
183,NARRATOR,Stimulus,Valence,9833,70,0.30567778912573623
184,READER,Other,Unknown,23866,1,0.8058206348375273
185,READER,Other,Unknown,23862,5,4.026130773764216
186,READER,Other,Unknown,23857,10,8.017027592678216
187,READER,Other,Unknown,23852,15,11.522897493478276
188,READER,Other,Unknown,23847,20,13.596224921270489
189,READER,Other,Unknown,23837,30,14.503740212501125
190,READER,Other,Unknown,23817,50,0.0
191,READER,Other,Unknown,23797,70,0.0006715618278449887
192,READER,Response,Anger,64605,1,0.998712496020566
193,READER,Response,Anger,64601,5,4.990592231199554
194,READER,Response,Anger,64596,10,9.967075640313627
195,READER,Response,Anger,64591,15,14.550103277102558
196,READER,Response,Anger,64586,20,15.915452462493914
197,READER,Response,Anger,64576,30,15.978555602814177
198,READER,Response,Anger,64556,50,0.0
199,READER,Response,Anger,64536,70,0.0
200,READER,Response,Anticipation,23866,1,0.4445383092210299
201,READER,Response,Anticipation,23862,5,2.2189791026310313
202,READER,Response,Anticipation,23857,10,4.415339416192209
203,READER,Response,Anticipation,23852,15,6.522246651094047
204,READER,Response,Anticipation,23847,20,8.413605243445048
205,READER,Response,Anticipation,23837,30,11.253451152139473
206,READER,Response,Anticipation,23817,50,0.0
207,READER,Response,Anticipation,23797,70,1.0057499494365225
208,READER,Response,Arousal,62482,1,0.0020459391871931235
209,READER,Response,Arousal,62478,5,0.01022998488392298
210,READER,Response,Arousal,62473,10,0.020460691798052426
211,READER,Response,Arousal,62468,15,0.030692120175285137
212,READER,Response,Arousal,62463,20,0.040924269447146604
213,READER,Response,Arousal,62453,30,0.060326456648587184
214,READER,Response,Arousal,62433,50,0.08557753639827545
215,READER,Response,Arousal,62413,70,0.09989732732219633
216,READER,Response,Disgust,62482,1,0.47267814261771557
217,READER,Response,Disgust,62478,5,2.3550380979296532
218,READER,Response,Disgust,62473,10,4.690713630983258
219,READER,Response,Disgust,62468,15,6.942885550828176
220,READER,Response,Disgust,62463,20,8.981742559471181
221,READER,Response,Disgust,62453,30,12.134649569239324
222,READER,Response,Disgust,62433,50,2.63339172456683
223,READER,Response,Disgust,62413,70,0.8838798230450579
224,READER,Response,Dominance,62482,1,0.013531949213964906
225,READER,Response,Dominance,62478,5,0.05160718343635465
226,READER,Response,Dominance,62473,10,0.08333769113632161
227,READER,Response,Dominance,62468,15,0.10627186949192066
228,READER,Response,Dominance,62463,20,0.12389812393380464
229,READER,Response,Dominance,62453,30,0.1515608065199021
230,READER,Response,Dominance,62433,50,0.13378401321841174
231,READER,Response,Dominance,62413,70,0.1423293950869045
232,READER,Response,Fear,62482,1,0.2044487259558452
233,READER,Response,Fear,62478,5,0.9847186540198855
234,READER,Response,Fear,62473,10,1.9202411015605882
235,READER,Response,Fear,62468,15,2.8018621712016514
236,READER,Response,Fear,62463,20,3.6069568144881794
237,READER,Response,Fear,62453,30,4.9957597807882745
238,READER,Response,Fear,62433,50,3.459367691320752
239,READER,Response,Fear,62413,70,2.9490660095885253
240,READER,Response,Joy,14215,1,0.49807776913543184
241,READER,Response,Joy,14211,5,2.4813657018643314
242,READER,Response,Joy,14206,10,4.906256890237486
243,READER,Response,Joy,14201,15,7.130056579912167
244,READER,Response,Joy,14196,20,8.981802824726104
245,READER,Response,Joy,14186,30,11.402043706600391
246,READER,Response,Joy,14166,50,2.403605219930161
247,READER,Response,Joy,14146,70,1.0808212773021457
248,READER,Response,Sadness,30428,1,0.4140820770007483
249,READER,Response,Sadness,30424,5,2.0647640774172746
250,READER,Response,Sadness,30419,10,4.10822471301295
251,READER,Response,Sadness,30414,15,6.068385809998871
252,READER,Response,Sadness,30409,20,7.847773676872162
253,READER,Response,Sadness,30399,30,10.702402962554054
254,READER,Response,Sadness,30379,50,3.0634097269648795
255,READER,Response,Sadness,30359,70,1.297884822696597
256,READER,Response,Surprise,62482,1,0.5388619958576919
257,READER,Response,Surprise,62478,5,2.691365667760012
258,READER,Response,Surprise,62473,10,5.367458860201819
259,READER,Response,Surprise,62468,15,7.947767028592093
260,READER,Response,Surprise,62463,20,10.242949428234922
261,READER,Response,Surprise,62453,30,13.438428710001157
262,READER,Response,Surprise,62433,50,1.7596265406462384
263,READER,Response,Surprise,62413,70,0.39971083129918744
264,READER,Response,Trust,9902,1,0.17736149937595114
265,READER,Response,Trust,9898,5,0.8099301676427291
266,READER,Response,Trust,9893,10,1.4976636162925878
267,READER,Response,Trust,9888,15,2.0652465285075117
268,READER,Response,Trust,9883,20,2.5297266074582985
