,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,46777,1,0.7949165403206859
1,NARRATOR,Other,Unknown,46773,5,3.9713772565414405
2,NARRATOR,Other,Unknown,46768,10,7.9250350156242675
3,NARRATOR,Other,Unknown,46763,15,11.590908337365647
4,NARRATOR,Other,Unknown,46758,20,14.054507603453212
5,NARRATOR,Other,Unknown,46748,30,15.419247693444067
6,NARRATOR,Other,Unknown,46728,50,0.1769860016957102
7,NARRATOR,Other,Unknown,46708,70,0.012340942960364733
8,NARRATOR,Response,Anger,35025,1,0.45244330520899956
9,NARRATOR,Response,Anger,35021,5,2.2579571256433586
10,NARRATOR,Response,Anger,35016,10,4.500430502144481
11,NARRATOR,Response,Anger,35011,15,6.654798820282046
12,NARRATOR,Response,Anger,35006,20,8.612187136687051
13,NARRATOR,Response,Anger,34996,30,11.629150521528594
14,NARRATOR,Response,Anger,34976,50,2.5770205795220646
15,NARRATOR,Response,Anger,34956,70,0.9008487572295648
16,NARRATOR,Response,Anticipation,46777,1,0.3797799163795199
17,NARRATOR,Response,Anticipation,46773,5,1.8975379073968066
18,NARRATOR,Response,Anticipation,46768,10,3.786499585950568
19,NARRATOR,Response,Anticipation,46763,15,5.634357033065116
20,NARRATOR,Response,Anticipation,46758,20,7.386694564854953
21,NARRATOR,Response,Anticipation,46748,30,10.376043988700674
22,NARRATOR,Response,Anticipation,46728,50,3.294089958329734
23,NARRATOR,Response,Anticipation,46708,70,1.4815262200734904
24,NARRATOR,Response,Arousal,28147,1,0.19680743897264946
25,NARRATOR,Response,Arousal,28143,5,0.9588591952957338
26,NARRATOR,Response,Arousal,28138,10,1.8743108013106489
27,NARRATOR,Response,Arousal,28133,15,2.7324832789828566
28,NARRATOR,Response,Arousal,28128,20,3.5174833695841294
29,NARRATOR,Response,Arousal,28118,30,4.879821892301611
30,NARRATOR,Response,Arousal,28098,50,3.4430563247799113
31,NARRATOR,Response,Arousal,28078,70,2.947618968310615
32,NARRATOR,Response,Disgust,46777,1,0.16224163552410537
33,NARRATOR,Response,Disgust,46773,5,0.8089001732215155
34,NARRATOR,Response,Disgust,46768,10,1.6123584233422255
35,NARRATOR,Response,Disgust,46763,15,2.4034716848629376
36,NARRATOR,Response,Disgust,46758,20,3.1796629258492013
