,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,22907,1,0.2374111275378743
1,NARRATOR,Other,Unknown,22903,5,1.186676032160332
2,NARRATOR,Other,Unknown,22898,10,2.366570461059537
3,NARRATOR,Other,Unknown,22893,15,3.521421239373836
4,NARRATOR,Other,Unknown,22888,20,4.638034687945682
5,NARRATOR,Other,Unknown,22878,30,6.6943008670340705
6,NARRATOR,Other,Unknown,22858,50,4.164333106832403
7,NARRATOR,Other,Unknown,22838,70,2.772949288914163
8,NARRATOR,Response,Anger,14901,1,0.9624931107698307
9,NARRATOR,Response,Anger,14897,5,4.762102228704858
10,NARRATOR,Response,Anger,14892,10,9.439556199826725
11,NARRATOR,Response,Anger,14887,15,12.871423357070695
12,NARRATOR,Response,Anger,14882,20,13.684417626943683
13,NARRATOR,Response,Anger,14872,30,13.85689827335216
14,NARRATOR,Response,Anger,14852,50,0.06283220911115497
15,NARRATOR,Response,Anger,14832,70,0.0
16,NARRATOR,Response,Anticipation,22907,1,0.010131084704482186
17,NARRATOR,Response,Anticipation,22903,5,0.049862583835130245
18,NARRATOR,Response,Anticipation,22898,10,0.09796125615366216
19,NARRATOR,Response,Anticipation,22893,15,0.1447218051958697
20,NARRATOR,Response,Anticipation,22888,20,0.19104490366825702
21,NARRATOR,Response,Anticipation,22878,30,0.2836380097487181
22,NARRATOR,Response,Anticipation,22858,50,0.3780322380421942
23,NARRATOR,Response,Anticipation,22838,70,0.4239878224204137
24,NARRATOR,Response,Arousal,22907,1,0.24642415186137823
25,NARRATOR,Response,Arousal,22903,5,1.231882009442113
26,NARRATOR,Response,Arousal,22898,10,2.4561983812946537
27,NARRATOR,Response,Arousal,22893,15,3.654628882360834
28,NARRATOR,Response,Arousal,22888,20,4.811362145302541
29,NARRATOR,Response,Arousal,22878,30,6.921081945816813
30,NARRATOR,Response,Arousal,22858,50,4.069472190242909
31,NARRATOR,Response,Arousal,22838,70,2.641141260498192
32,NARRATOR,Response,Disgust,6410,1,0.2820736695698691
33,NARRATOR,Response,Disgust,6406,5,1.4081762343878637
34,NARRATOR,Response,Disgust,6401,10,2.7826489200502253
35,NARRATOR,Response,Disgust,6396,15,4.092925147305293
36,NARRATOR,Response,Disgust,6391,20,5.2995264269476055
37,NARRATOR,Response,Disgust,6381,30,7.332294965929833
38,NARRATOR,Response,Disgust,6361,50,3.947556357192382
39,NARRATOR,Response,Disgust,6341,70,2.406493994976785
40,NARRATOR,Response,Dominance,22907,1,0.33254974566317114
41,NARRATOR,Response,Dominance,22903,5,1.65972862226815
42,NARRATOR,Response,Dominance,22898,10,3.3061152975634567
43,NARRATOR,Response,Dominance,22893,15,4.899839466505433
44,NARRATOR,Response,Dominance,22888,20,6.39251942264079
45,NARRATOR,Response,Dominance,22878,30,8.9460737829452
46,NARRATOR,Response,Dominance,22858,50,3.814144375444221
47,NARRATOR,Response,Dominance,22838,70,2.0101260025165866
48,NARRATOR,Response,Fear,14901,1,0.21645255362292742
49,NARRATOR,Response,Fear,14897,5,1.0796769785504001
50,NARRATOR,Response,Fear,14892,10,2.1487807222025896
51,NARRATOR,Response,Fear,14887,15,3.1890338718375557
