,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,29763,1,0.17674733986253366
1,NARRATOR,Other,Unknown,29759,5,0.8134918946357487
2,NARRATOR,Other,Unknown,29754,10,1.5533932038686782
3,NARRATOR,Other,Unknown,29749,15,2.23901725866744
4,NARRATOR,Other,Unknown,29744,20,2.879155332301771
5,NARRATOR,Other,Unknown,29734,30,4.057480952403762
6,NARRATOR,Other,Unknown,29714,50,3.491038763096099
7,NARRATOR,Other,Unknown,29694,70,3.1217861458308036
8,NARRATOR,Response,Anger,38548,1,0.3397934528217212
9,NARRATOR,Response,Anger,38544,5,1.6949217452317247
10,NARRATOR,Response,Anger,38539,10,3.374568772349813
11,NARRATOR,Response,Anger,38534,15,5.002500312457416
12,NARRATOR,Response,Anger,38529,20,6.535290558692156
13,NARRATOR,Response,Anger,38519,30,9.1984599105643
14,NARRATOR,Response,Anger,38499,50,3.7231051412764877
15,NARRATOR,Response,Anger,38479,70,1.9302220762918427
16,NARRATOR,Response,Anticipation,34162,1,0.42497536288647086
17,NARRATOR,Response,Anticipation,34158,5,2.1164243317471567
18,NARRATOR,Response,Anticipation,34153,10,4.206333812259575
19,NARRATOR,Response,Anticipation,34148,15,6.188362525472187
20,NARRATOR,Response,Anticipation,34143,20,7.960066576716172
21,NARRATOR,Response,Anticipation,34133,30,10.717502930687358
22,NARRATOR,Response,Anticipation,34113,50,3.1091213249651286
23,NARRATOR,Response,Anticipation,34093,70,1.4025263169592888
24,NARRATOR,Response,Arousal,49504,1,0.3444306257253344
25,NARRATOR,Response,Arousal,49500,5,1.7204384881114807
26,NARRATOR,Response,Arousal,49495,10,3.431044508998456
27,NARRATOR,Response,Arousal,49490,15,5.107360273295827
28,NARRATOR,Response,Arousal,49485,20,6.709135641472852
29,NARRATOR,Response,Arousal,49475,30,9.530331626728527
30,NARRATOR,Response,Arousal,49455,50,3.7589123433222755
31,NARRATOR,Response,Arousal,49435,70,1.861548418851162
32,NARRATOR,Response,Disgust,29763,1,0.01411460479123493
33,NARRATOR,Response,Disgust,29759,5,0.06911725905243765
34,NARRATOR,Response,Disgust,29754,10,0.13625253983919441
35,NARRATOR,Response,Disgust,29749,15,0.20190891140386852
36,NARRATOR,Response,Disgust,29744,20,0.26552315345230043
37,NARRATOR,Response,Disgust,29734,30,0.3920370846356786
38,NARRATOR,Response,Disgust,29714,50,0.5301244890120177
39,NARRATOR,Response,Disgust,29694,70,0.5993127638920088
40,NARRATOR,Response,Dominance,38548,1,0.5330956230111353
41,NARRATOR,Response,Dominance,38544,5,2.6595082927971445
42,NARRATOR,Response,Dominance,38539,10,5.295285243779046
43,NARRATOR,Response,Dominance,38534,15,7.798511270413311
44,NARRATOR,Response,Dominance,38529,20,9.958213203624306
45,NARRATOR,Response,Dominance,38519,30,12.892896594367391
46,NARRATOR,Response,Dominance,38499,50,1.961802963495837
47,NARRATOR,Response,Dominance,38479,70,0.5338086978799896
48,NARRATOR,Response,Fear,29763,1,0.02538375522730751
49,NARRATOR,Response,Fear,29759,5,0.12369612855962948
50,NARRATOR,Response,Fear,29754,10,0.24395780717229965
51,NARRATOR,Response,Fear,29749,15,0.362510247737582
52,NARRATOR,Response,Fear,29744,20,0.4773344887911204
53,NARRATOR,Response,Fear,29734,30,0.7008584719941338
54,NARRATOR,Response,Fear,29714,50,0.8764424443096335
55,NARRATOR,Response,Fear,29694,70,0.9513988862351512
56,NARRATOR,Response,Joy,29763,1,0.039999497506351255
57,NARRATOR,Response,Joy,29759,5,0.19690811531247596
58,NARRATOR,Response,Joy,29754,10,0.38895783282383306
59,NARRATOR,Response,Joy,29749,15,0.5775576710318236
60,NARRATOR,Response,Joy,29744,20,0.7611934402741668
61,NARRATOR,Response,Joy,29734,30,1.1187836831670377
62,NARRATOR,Response,Joy,29714,50,1.3295120239204585
63,NARRATOR,Response,Joy,29694,70,1.3896587421958075
64,NARRATOR,Response,Sadness,34279,1,0.0016928904888340692
65,NARRATOR,Response,Sadness,34275,5,0.00725327094952734
