,Subject,Category,Feature,n,k,be
0,spitz,Other,Unknown,32714,1,0.15374588883892581
1,spitz,Other,Unknown,32710,5,0.708182372179916
2,spitz,Other,Unknown,32705,10,1.3418048110470184
3,spitz,Other,Unknown,32700,15,1.9099642007640973
4,spitz,Other,Unknown,32695,20,2.425183710050993
5,spitz,Other,Unknown,32685,30,3.3445440241221647
6,spitz,Other,Unknown,32665,50,2.780739346451856
7,spitz,Other,Unknown,32645,70,2.6091634986290675
8,spitz,Response,Anger,38548,1,0.7979820543601563
9,spitz,Response,Anger,38544,5,3.987972954590936
10,spitz,Response,Anger,38539,10,7.954846261189304
11,spitz,Response,Anger,38534,15,11.577010223670639
12,spitz,Response,Anger,38529,20,13.92103197468188
13,spitz,Response,Anger,38519,30,15.146276503512539
14,spitz,Response,Anger,38499,50,0.0
15,spitz,Response,Anger,38479,70,0.0039000179307145844
16,spitz,Response,Anticipation,30944,1,0.9936287738997809
17,spitz,Response,Anticipation,30940,5,4.9637115553053714
18,spitz,Response,Anticipation,30935,10,9.89835372825186
19,spitz,Response,Anticipation,30930,15,14.031879442707186
20,spitz,Response,Anticipation,30925,20,14.879536312962843
21,spitz,Response,Anticipation,30915,30,14.915954691633052
22,spitz,Response,Anticipation,30895,50,0.0031767549496024643
23,spitz,Response,Anticipation,30875,70,0.0
24,spitz,Response,Arousal,35800,1,0.021910305485017552
25,spitz,Response,Arousal,35796,5,0.10848410032716813
26,spitz,Response,Arousal,35791,10,0.21338589369351904
27,spitz,Response,Arousal,35786,15,0.3148852158029254
28,spitz,Response,Arousal,35781,20,0.4138089783012148
29,spitz,Response,Arousal,35771,30,0.6044973822335491
30,spitz,Response,Arousal,35751,50,0.7351735858298687
31,spitz,Response,Arousal,35731,70,0.7866745309387038
32,spitz,Response,Disgust,30944,1,0.026777293248311948
33,spitz,Response,Disgust,30940,5,0.12802584701499164
34,spitz,Response,Disgust,30935,10,0.24818976891421846
35,spitz,Response,Disgust,30930,15,0.36284869328695546
36,spitz,Response,Disgust,30925,20,0.4737720047611678
37,spitz,Response,Disgust,30915,30,0.6888095516039524
38,spitz,Response,Disgust,30895,50,0.8183063545709972
39,spitz,Response,Disgust,30875,70,0.8757420218878696
40,spitz,Response,Dominance,38548,1,0.04307518828558486
41,spitz,Response,Dominance,38544,5,0.21484765337218886
42,spitz,Response,Dominance,38539,10,0.42872289356352034
43,spitz,Response,Dominance,38534,15,0.6409869695332842
44,spitz,Response,Dominance,38529,20,0.8523410035936663
45,spitz,Response,Dominance,38519,30,1.2719304497209518
46,spitz,Response,Dominance,38499,50,1.516645962718777
47,spitz,Response,Dominance,38479,70,1.5643118803060687
48,spitz,Response,Fear,38548,1,0.5330956230111353
49,spitz,Response,Fear,38544,5,2.6595082927971445
50,spitz,Response,Fear,38539,10,5.295285243779046
51,spitz,Response,Fear,38534,15,7.798511270413311
52,spitz,Response,Fear,38529,20,9.958213203624306
53,spitz,Response,Fear,38519,30,12.892896594367391
54,spitz,Response,Fear,38499,50,1.961802963495837
55,spitz,Response,Fear,38479,70,0.5338086978799896
56,spitz,Response,Joy,35800,1,0.25005074308770714
57,spitz,Response,Joy,35796,5,1.2418929441013307
58,spitz,Response,Joy,35791,10,2.468621121891078
59,spitz,Response,Joy,35786,15,3.665246997815722
60,spitz,Response,Joy,35781,20,4.804686797239543
61,spitz,Response,Joy,35771,30,6.868471835588862
62,spitz,Response,Joy,35751,50,4.149938076868147
63,spitz,Response,Joy,35731,70,2.7395784990499514
64,spitz,Response,Sadness,34279,1,0.42723898383074266
65,spitz,Response,Sadness,34275,5,2.1346139000864035
66,spitz,Response,Sadness,34270,10,4.25411976730503
67,spitz,Response,Sadness,34265,15,6.302944785666377
68,spitz,Response,Sadness,34260,20,8.196670710529457
69,spitz,Response,Sadness,34250,30,11.22708308256047
70,spitz,Response,Sadness,34230,50,0.0
71,spitz,Response,Sadness,34210,70,1.0100103367393076
72,spitz,Response,Surprise,38548,1,0.43514186593132076
73,spitz,Response,Surprise,38544,5,2.1663440040735953
74,spitz,Response,Surprise,38539,10,4.307404171467457
75,spitz,Response,Surprise,38534,15,6.352502106099588
76,spitz,Response,Surprise,38529,20,8.212502787501046
77,spitz,Response,Surprise,38519,30,11.099308313580103
78,spitz,Response,Surprise,38499,50,2.960740094312828
79,spitz,Response,Surprise,38479,70,1.3374762768114485
80,spitz,Response,Trust,38548,1,0.18141888236183387
81,spitz,Response,Trust,38544,5,0.8738475933627561
82,spitz,Response,Trust,38539,10,1.7002179813072262
83,spitz,Response,Trust,38534,15,2.4763929618499674
84,spitz,Response,Trust,38529,20,3.1906900731929966
85,spitz,Response,Trust,38519,30,4.416169085859066
86,spitz,Response,Trust,38499,50,3.16413956216928
87,spitz,Response,Trust,38479,70,2.7395021946511195
88,spitz,Response,Valence,30944,1,0.012701941455519712
89,spitz,Response,Valence,30940,5,0.06066296465328483
90,spitz,Response,Valence,30935,10,0.11758636231397986
91,spitz,Response,Valence,30930,15,0.17281733984184589
92,spitz,Response,Valence,30925,20,0.22588362812662874
93,spitz,Response,Valence,30915,30,0.32806840840006785
94,spitz,Response,Valence,30895,50,0.398871923669195
95,spitz,Response,Valence,30875,70,0.428412571052244
96,spitz,Stimulus,Anger,38548,1,0.051324377152047754
97,spitz,Stimulus,Anger,38544,5,0.25418204783881965
98,spitz,Stimulus,Anger,38539,10,0.5032294248746308
99,spitz,Stimulus,Anger,38534,15,0.7482471544875104
100,spitz,Stimulus,Anger,38529,20,0.9901166818333509
101,spitz,Stimulus,Anger,38519,30,1.4601424099264986
102,spitz,Stimulus,Anger,38499,50,1.6217134267779196
103,spitz,Stimulus,Anger,38479,70,1.6370640899722086
104,spitz,Stimulus,Anticipation,38548,1,0.7979820543601563
105,spitz,Stimulus,Anticipation,38544,5,3.987972954590936
106,spitz,Stimulus,Anticipation,38539,10,7.954846261189304
107,spitz,Stimulus,Anticipation,38534,15,11.577010223670639
108,spitz,Stimulus,Anticipation,38529,20,13.92103197468188
109,spitz,Stimulus,Anticipation,38519,30,15.146276503512539
110,spitz,Stimulus,Anticipation,38499,50,0.0
111,spitz,Stimulus,Anticipation,38479,70,0.0039000179307145844
112,spitz,Stimulus,Arousal,35800,1,0.30577667847309253
113,spitz,Stimulus,Arousal,35796,5,1.525863132137573
114,spitz,Stimulus,Arousal,35791,10,3.0403371678887803
115,spitz,Stimulus,Arousal,35786,15,4.515504016820401
116,spitz,Stimulus,Arousal,35781,20,5.915228347333171
117,spitz,Stimulus,Arousal,35771,30,8.412708456531263
118,spitz,Stimulus,Arousal,35751,50,4.026511053578829
119,spitz,Stimulus,Arousal,35731,70,2.2356770009467946
120,spitz,Stimulus,Disgust,38548,1,0.33959153365676187
121,spitz,Stimulus,Disgust,38544,5,1.6939903328779733
122,spitz,Stimulus,Disgust,38539,10,3.372943530032081
123,spitz,Stimulus,Disgust,38534,15,5.000326745899395
124,spitz,Stimulus,Disgust,38529,20,6.532641490736383
125,spitz,Stimulus,Disgust,38519,30,9.195959993634144
126,spitz,Stimulus,Disgust,38499,50,3.7243581806198023
127,spitz,Stimulus,Disgust,38479,70,1.9302220762918427
128,spitz,Stimulus,Dominance,6054,1,0.9392810673546601
129,spitz,Stimulus,Dominance,6050,5,4.678301015493443
130,spitz,Stimulus,Dominance,6045,10,9.219277619179664
131,spitz,Stimulus,Dominance,6040,15,11.937016983042021
132,spitz,Stimulus,Dominance,6035,20,12.468813114713374
133,spitz,Stimulus,Dominance,6025,30,12.5554177251732
134,spitz,Stimulus,Dominance,6005,50,0.06523825073906757
135,spitz,Stimulus,Dominance,5985,70,0.0023374619950050466
136,spitz,Stimulus,Fear,32714,1,0.004364707933579776
137,spitz,Stimulus,Fear,32710,5,0.0218242790793699
138,spitz,Stimulus,Fear,32705,10,0.043650401841881965
139,spitz,Stimulus,Fear,32700,15,0.06422849420552673
140,spitz,Stimulus,Fear,32695,20,0.08394638826208707
141,spitz,Stimulus,Fear,32685,30,0.123275930517749
142,spitz,Stimulus,Fear,32665,50,0.16628431755207895
143,spitz,Stimulus,Fear,32645,70,0.17406246307442888
144,spitz,Stimulus,Joy,30944,1,0.1470505601073942
145,spitz,Stimulus,Joy,30940,5,0.6824329574871235
146,spitz,Stimulus,Joy,30935,10,1.309686171501686
147,spitz,Stimulus,Joy,30930,15,1.8882498455587715
148,spitz,Stimulus,Joy,30925,20,2.4353841020013873
149,spitz,Stimulus,Joy,30915,30,3.4597127169921222
150,spitz,Stimulus,Joy,30895,50,3.1685230690327537
151,spitz,Stimulus,Joy,30875,70,2.949272491935779
152,spitz,Stimulus,Sadness,35800,1,0.18847383887105823
153,spitz,Stimulus,Sadness,35796,5,0.9390599311758459
154,spitz,Stimulus,Sadness,35791,10,1.869507971487587
155,spitz,Stimulus,Sadness,35786,15,2.7836418597450554
156,spitz,Stimulus,Sadness,35781,20,3.669537963495438
157,spitz,Stimulus,Sadness,35771,30,5.336459415156091
158,spitz,Stimulus,Sadness,35751,50,4.130298222770872
159,spitz,Stimulus,Sadness,35731,70,3.1321889511011927
160,spitz,Stimulus,Surprise,6054,1,0.337693273204727
161,spitz,Stimulus,Surprise,6050,5,1.6835810509804439
162,spitz,Stimulus,Surprise,6045,10,3.3365723507611977
163,spitz,Stimulus,Surprise,6040,15,4.884642346376756
164,spitz,Stimulus,Surprise,6035,20,6.290670254283301
165,spitz,Stimulus,Surprise,6025,30,8.613572032111765
166,spitz,Stimulus,Surprise,6005,50,3.442758324347517
167,spitz,Stimulus,Surprise,5985,70,1.5215785797524137
168,spitz,Stimulus,Trust,32714,1,0.9057892906231411
169,spitz,Stimulus,Trust,32710,5,4.485751759689738
170,spitz,Stimulus,Trust,32705,10,8.906020089126685
171,spitz,Stimulus,Trust,32700,15,12.663544995655071
172,spitz,Stimulus,Trust,32695,20,14.218626488381515
173,spitz,Stimulus,Trust,32685,30,14.882069038073185
174,spitz,Stimulus,Trust,32665,50,0.2842348174935618
175,spitz,Stimulus,Trust,32645,70,0.04222927206067092
176,spitz,Stimulus,Valence,35800,1,0.2362401022733181
177,spitz,Stimulus,Valence,35796,5,1.1795371725650197
178,spitz,Stimulus,Valence,35791,10,2.3527342552551342
179,spitz,Stimulus,Valence,35786,15,3.5101419390456305
180,spitz,Stimulus,Valence,35781,20,4.636365616412443
181,spitz,Stimulus,Valence,35771,30,6.743503785199562
182,spitz,Stimulus,Valence,35751,50,4.217935134270021
183,spitz,Stimulus,Valence,35731,70,2.809027753871763
184,thornton,Other,Unknown,30944,1,0.026777293248311948
185,thornton,Other,Unknown,30940,5,0.12802584701499164
186,thornton,Other,Unknown,30935,10,0.24818976891421846
187,thornton,Other,Unknown,30930,15,0.36284869328695546
188,thornton,Other,Unknown,30925,20,0.4737720047611678
189,thornton,Other,Unknown,30915,30,0.6888095516039524
190,thornton,Other,Unknown,30895,50,0.8183063545709972
191,thornton,Other,Unknown,30875,70,0.8757420218878696
192,thornton,Response,Anger,35800,1,0.2362401022733181
193,thornton,Response,Anger,35796,5,1.1795371725650197
194,thornton,Response,Anger,35791,10,2.3527342552551342
195,thornton,Response,Anger,35786,15,3.5101419390456305
196,thornton,Response,Anger,35781,20,4.636365616412443
197,thornton,Response,Anger,35771,30,6.743503785199562
198,thornton,Response,Anger,35751,50,4.217935134270021
199,thornton,Response,Anger,35731,70,2.809027753871763
200,thornton,Response,Anticipation,6054,1,0.033340346076393995
201,thornton,Response,Anticipation,6050,5,0.16369485554865187
202,thornton,Response,Anticipation,6045,10,0.3189074900470238
203,thornton,Response,Anticipation,6040,15,0.46292281074847275
204,thornton,Response,Anticipation,6035,20,0.6023837194971787
205,thornton,Response,Anticipation,6025,30,0.8663162919548809
206,thornton,Response,Anticipation,6005,50,0.9631824351939413
207,thornton,Response,Anticipation,5985,70,0.9737902001258978
208,thornton,Response,Arousal,30944,1,0.008797417399159964
209,thornton,Response,Arousal,30940,5,0.041549190303231835
210,thornton,Response,Arousal,30935,10,0.07963919755847373
211,thornton,Response,Arousal,30930,15,0.11586833400483391
212,thornton,Response,Arousal,30925,20,0.15022220326307809
213,thornton,Response,Arousal,30915,30,0.21758877585059397
214,thornton,Response,Arousal,30895,50,0.26558741100938354
215,thornton,Response,Arousal,30875,70,0.28655303531372955
216,thornton,Response,Disgust,38548,1,0.3397934528217212
217,thornton,Response,Disgust,38544,5,1.6949217452317247
218,thornton,Response,Disgust,38539,10,3.374568772349813
219,thornton,Response,Disgust,38534,15,5.002500312457416
220,thornton,Response,Disgust,38529,20,6.535290558692156
221,thornton,Response,Disgust,38519,30,9.1984599105643
222,thornton,Response,Disgust,38499,50,3.7231051412764877
223,thornton,Response,Disgust,38479,70,1.9302220762918427
224,thornton,Response,Dominance,35800,1,0.022157992866124465
225,thornton,Response,Dominance,35796,5,0.10976106178132936
226,thornton,Response,Dominance,35791,10,0.21558125544623208
227,thornton,Response,Dominance,35786,15,0.3188474101769881
228,thornton,Response,Dominance,35781,20,0.41892950895366887
229,thornton,Response,Dominance,35771,30,0.6149809851969318
230,thornton,Response,Dominance,35751,50,0.7779012151972625
231,thornton,Response,Dominance,35731,70,0.8443032442091413
232,thornton,Response,Fear,35800,1,0.014993821237350581
233,thornton,Response,Fear,35796,5,0.07452678533358956
234,thornton,Response,Fear,35791,10,0.1487142961738804
235,thornton,Response,Fear,35786,15,0.22285593842043785
236,thornton,Response,Fear,35781,20,0.29673335045445765
237,thornton,Response,Fear,35771,30,0.4432806076371432
238,thornton,Response,Fear,35751,50,0.6139743475766779
239,thornton,Response,Fear,35731,70,0.697874506219203
240,thornton,Response,Joy,38548,1,0.051324377152047754
241,thornton,Response,Joy,38544,5,0.25418204783881965
242,thornton,Response,Joy,38539,10,0.5032294248746308
243,thornton,Response,Joy,38534,15,0.7482471544875104
244,thornton,Response,Joy,38529,20,0.9901166818333509
245,thornton,Response,Joy,38519,30,1.4601424099264986
246,thornton,Response,Joy,38499,50,1.6217134267779196
247,thornton,Response,Joy,38479,70,1.6370640899722086
248,thornton,Response,Sadness,38548,1,0.015789274778790274
249,thornton,Response,Sadness,38544,5,0.07578248788260891
250,thornton,Response,Sadness,38539,10,0.14801881609873485
251,thornton,Response,Sadness,38534,15,0.2170226618201698
252,thornton,Response,Sadness,38529,20,0.2848185877634232
253,thornton,Response,Sadness,38519,30,0.41929787148888414
254,thornton,Response,Sadness,38499,50,0.5402141310311064
255,thornton,Response,Sadness,38479,70,0.5942341998602881
256,thornton,Response,Surprise,38548,1,0.006410065897913979
257,thornton,Response,Surprise,38544,5,0.03164132558144077
258,thornton,Response,Surprise,38539,10,0.061426559957810295
259,thornton,Response,Surprise,38534,15,0.08929314357813943
260,thornton,Response,Surprise,38529,20,0.11638668098466123
261,thornton,Response,Surprise,38519,30,0.16650870498257564
262,thornton,Response,Surprise,38499,50,0.20627461921629414
263,thornton,Response,Surprise,38479,70,0.22274468107242343
264,thornton,Response,Trust,38548,1,0.011265957622788229
265,thornton,Response,Trust,38544,5,0.05501645581282268
266,thornton,Response,Trust,38539,10,0.10725094826206154
267,thornton,Response,Trust,38534,15,0.15899537528232688
268,thornton,Response,Trust,38529,20,0.2107102579560082
269,thornton,Response,Trust,38519,30,0.3130619831900344
270,thornton,Response,Trust,38499,50,0.41442470537254295
