,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,35765,1,0.03309791131806408
1,NARRATOR,Other,Unknown,35761,5,0.1649564102269839
2,NARRATOR,Other,Unknown,35756,10,0.3288564398449096
3,NARRATOR,Other,Unknown,35751,15,0.49121182679207004
4,NARRATOR,Other,Unknown,35746,20,0.6518965061000421
5,NARRATOR,Other,Unknown,35736,30,0.9666318879709695
6,NARRATOR,Other,Unknown,35716,50,1.2095865338687082
7,NARRATOR,Other,Unknown,35696,70,1.2991555516527014
8,NARRATOR,Response,Anger,26702,1,0.5956692501202946
9,NARRATOR,Response,Anger,26698,5,2.9759606016690068
10,NARRATOR,Response,Anger,26693,10,5.9262336243894165
11,NARRATOR,Response,Anger,26688,15,8.70465505661024
12,NARRATOR,Response,Anger,26683,20,10.994849945540093
13,NARRATOR,Response,Anger,26673,30,13.629421197661562
14,NARRATOR,Response,Anger,26653,50,0.9772564149941106
15,NARRATOR,Response,Anger,26633,70,0.1248468858817268
16,NARRATOR,Response,Anticipation,24156,1,0.031027278886121102
17,NARRATOR,Response,Anticipation,24152,5,0.15409211786165108
18,NARRATOR,Response,Anticipation,24147,10,0.30589166699252707
19,NARRATOR,Response,Anticipation,24142,15,0.4547205936166527
20,NARRATOR,Response,Anticipation,24137,20,0.6022411289669076
21,NARRATOR,Response,Anticipation,24127,30,0.8908946832846281
22,NARRATOR,Response,Anticipation,24107,50,1.1116719758893292
23,NARRATOR,Response,Anticipation,24087,70,1.1952365599087433
24,NARRATOR,Response,Arousal,10105,1,0.2888092354830103
25,NARRATOR,Response,Arousal,10101,5,1.4409335688253133
26,NARRATOR,Response,Arousal,10096,10,2.8643046664912157
27,NARRATOR,Response,Arousal,10091,15,4.223784070808795
28,NARRATOR,Response,Arousal,10086,20,5.490120928069861
29,NARRATOR,Response,Arousal,10076,30,7.6502055693101845
30,NARRATOR,Response,Arousal,10056,50,3.752225150944064
31,NARRATOR,Response,Arousal,10036,70,2.2622371509057366
32,NARRATOR,Response,Disgust,21578,1,0.5803515495969471
33,NARRATOR,Response,Disgust,21574,5,2.9000902826588444
34,NARRATOR,Response,Disgust,21569,10,5.768948746497444
35,NARRATOR,Response,Disgust,21564,15,8.428164213939995
36,NARRATOR,Response,Disgust,21559,20,10.592163861564766
37,NARRATOR,Response,Disgust,21549,30,13.120469412393467
38,NARRATOR,Response,Disgust,21529,50,1.2581487818003907
39,NARRATOR,Response,Disgust,21509,70,0.2144070774449436
40,NARRATOR,Response,Dominance,24156,1,0.16273789208327977
41,NARRATOR,Response,Dominance,24152,5,0.7715624616547789
42,NARRATOR,Response,Dominance,24147,10,1.479672811490249
43,NARRATOR,Response,Dominance,24142,15,2.1217847245405417
44,NARRATOR,Response,Dominance,24137,20,2.6953155790729895
45,NARRATOR,Response,Dominance,24127,30,3.6942182715150853
46,NARRATOR,Response,Dominance,24107,50,2.778815365707245
47,NARRATOR,Response,Dominance,24087,70,2.522863430758483
48,NARRATOR,Response,Fear,24156,1,0.02507229308249863
49,NARRATOR,Response,Fear,24152,5,0.12393181140822014
50,NARRATOR,Response,Fear,24147,10,0.24678648032724299
51,NARRATOR,Response,Fear,24142,15,0.369003781224146
52,NARRATOR,Response,Fear,24137,20,0.4907001921188916
53,NARRATOR,Response,Fear,24127,30,0.7331603340967389
54,NARRATOR,Response,Fear,24107,50,0.9643653476480735
55,NARRATOR,Response,Fear,24087,70,1.04204130393157
56,NARRATOR,Response,Joy,26702,1,0.5915206315974848
57,NARRATOR,Response,Joy,26698,5,2.9565061979000102
58,NARRATOR,Response,Joy,26693,10,5.8917175429845186
59,NARRATOR,Response,Joy,26688,15,8.662969059619046
60,NARRATOR,Response,Joy,26683,20,10.970318520028037
61,NARRATOR,Response,Joy,26673,30,13.672790024592695
62,NARRATOR,Response,Joy,26653,50,1.0325441885343856
63,NARRATOR,Response,Joy,26633,70,0.15548816306832874
64,NARRATOR,Response,Sadness,35765,1,0.7119762123258438
65,NARRATOR,Response,Sadness,35761,5,3.5584750995075964
66,NARRATOR,Response,Sadness,35756,10,7.09530801383004
67,NARRATOR,Response,Sadness,35751,15,10.374364505116937
68,NARRATOR,Response,Sadness,35746,20,12.826906706933476
