,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,35289,1,0.024173809702234737
1,NARRATOR,Other,Unknown,35285,5,0.11914882548172076
2,NARRATOR,Other,Unknown,35280,10,0.23695810281827556
3,NARRATOR,Other,Unknown,35275,15,0.3527553410389084
4,NARRATOR,Other,Unknown,35270,20,0.46765816115534914
5,NARRATOR,Other,Unknown,35260,30,0.6930154023613218
6,NARRATOR,Other,Unknown,35240,50,0.8767180571047296
7,NARRATOR,Other,Unknown,35220,70,0.9465091078523162
8,NARRATOR,Response,Anger,29763,1,0.3459989659029728
9,NARRATOR,Response,Anger,29759,5,1.7274262962672242
10,NARRATOR,Response,Anger,29754,10,3.4384890915409643
11,NARRATOR,Response,Anger,29749,15,5.098911234077863
12,NARRATOR,Response,Anger,29744,20,6.669717873200531
13,NARRATOR,Response,Anger,29734,30,9.394166957061223
14,NARRATOR,Response,Anger,29714,50,3.6664743389299677
15,NARRATOR,Response,Anger,29694,70,1.7659042900151791
16,NARRATOR,Response,Anticipation,28435,1,0.06191472655250417
17,NARRATOR,Response,Anticipation,28431,5,0.3064227783366397
18,NARRATOR,Response,Anticipation,28426,10,0.6051153923575273
19,NARRATOR,Response,Anticipation,28421,15,0.8977866551893138
20,NARRATOR,Response,Anticipation,28416,20,1.1827220920114352
21,NARRATOR,Response,Anticipation,28406,30,1.7299809812756772
22,NARRATOR,Response,Anticipation,28386,50,1.8568884034152209
23,NARRATOR,Response,Anticipation,28366,70,1.8276296900758813
24,NARRATOR,Response,Arousal,64605,1,0.3610323105507279
25,NARRATOR,Response,Arousal,64601,5,1.8033697283782535
26,NARRATOR,Response,Arousal,64596,10,3.5993512003969803
27,NARRATOR,Response,Arousal,64591,15,5.358791533093444
28,NARRATOR,Response,Arousal,64586,20,7.031630817454958
29,NARRATOR,Response,Arousal,64576,30,9.954307607750042
30,NARRATOR,Response,Arousal,64556,50,3.587188750562174
31,NARRATOR,Response,Arousal,64536,70,1.6813106783154872
32,NARRATOR,Response,Disgust,5414,1,0.021098455093976155
33,NARRATOR,Response,Disgust,5410,5,0.10549953446565694
34,NARRATOR,Response,Disgust,5405,10,0.21024929100520326
35,NARRATOR,Response,Disgust,5400,15,0.311960257890447
36,NARRATOR,Response,Disgust,5395,20,0.41365307038633864
37,NARRATOR,Response,Disgust,5385,30,0.6169774392118947
38,NARRATOR,Response,Disgust,5365,50,0.8496213708552139
39,NARRATOR,Response,Disgust,5345,70,0.9613191857091682
40,NARRATOR,Response,Dominance,28435,1,0.2050299760208166
41,NARRATOR,Response,Dominance,28431,5,0.9803259124341956
42,NARRATOR,Response,Dominance,28426,10,1.9025543372583442
43,NARRATOR,Response,Dominance,28421,15,2.749231776033772
44,NARRATOR,Response,Dominance,28416,20,3.5105567432816844
45,NARRATOR,Response,Dominance,28406,30,4.809882274896091
46,NARRATOR,Response,Dominance,28386,50,3.3787841322661833
47,NARRATOR,Response,Dominance,28366,70,2.891486717637493
48,NARRATOR,Response,Fear,28435,1,0.09551445767776894
49,NARRATOR,Response,Fear,28431,5,0.4375701040638864
50,NARRATOR,Response,Fear,28426,10,0.8417579745920364
51,NARRATOR,Response,Fear,28421,15,1.2302692980393912
52,NARRATOR,Response,Fear,28416,20,1.604821319091433
53,NARRATOR,Response,Fear,28406,30,2.3144609222239882
54,NARRATOR,Response,Fear,28386,50,2.462099825037533
55,NARRATOR,Response,Fear,28366,70,2.464244428008536
56,NARRATOR,Response,Joy,13177,1,0.2384235097384361
57,NARRATOR,Response,Joy,13173,5,1.1900332664340039
58,NARRATOR,Response,Joy,13168,10,2.3633895716422066
59,NARRATOR,Response,Joy,13163,15,3.511382297905398
60,NARRATOR,Response,Joy,13158,20,4.619905987696385
61,NARRATOR,Response,Joy,13148,30,6.653836249705703
62,NARRATOR,Response,Joy,13128,50,4.180456578542809
63,NARRATOR,Response,Joy,13108,70,2.651834311076039
64,NARRATOR,Response,Sadness,5414,1,0.027529414132461905
65,NARRATOR,Response,Sadness,5410,5,0.13387239718410346
66,NARRATOR,Response,Sadness,5405,10,0.2642694313038974
67,NARRATOR,Response,Sadness,5400,15,0.3915982340836286
68,NARRATOR,Response,Sadness,5395,20,0.5187963528305309
69,NARRATOR,Response,Sadness,5385,30,0.7589904109381548
70,NARRATOR,Response,Sadness,5365,50,0.9321617915505722
71,NARRATOR,Response,Sadness,5345,70,0.9976745560719859
72,NARRATOR,Response,Surprise,29763,1,0.27919570989345166
73,NARRATOR,Response,Surprise,29759,5,1.3917903299167038
74,NARRATOR,Response,Surprise,29754,10,2.7705125478195307
75,NARRATOR,Response,Surprise,29749,15,4.113356616459398
76,NARRATOR,Response,Surprise,29744,20,5.395946118287135
77,NARRATOR,Response,Surprise,29734,30,7.717537129754604
78,NARRATOR,Response,Surprise,29714,50,4.226985530825835
79,NARRATOR,Response,Surprise,29694,70,2.6020287791871013
