,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,30295,1,0.07595068900711346
1,NARRATOR,Other,Unknown,30291,5,0.3786650917031949
2,NARRATOR,Other,Unknown,30286,10,0.7533744169998196
3,NARRATOR,Other,Unknown,30281,15,1.1227642490731475
4,NARRATOR,Other,Unknown,30276,20,1.4873133036531476
5,NARRATOR,Other,Unknown,30266,30,2.196771332406508
6,NARRATOR,Other,Unknown,30246,50,2.423251747943057
7,NARRATOR,Other,Unknown,30226,70,2.3981652829693765
8,NARRATOR,Response,Anger,13765,1,0.8303533852909233
9,NARRATOR,Response,Anger,13761,5,4.044123208933255
10,NARRATOR,Response,Anger,13756,10,7.945868894650965
11,NARRATOR,Response,Anger,13751,15,10.867532416293786
12,NARRATOR,Response,Anger,13746,20,12.176384500767215
13,NARRATOR,Response,Anger,13736,30,13.241831243259137
14,NARRATOR,Response,Anger,13716,50,0.9927856739447644
15,NARRATOR,Response,Anger,13696,70,0.2511676294024857
16,NARRATOR,Response,Anticipation,30295,1,0.5126812801628663
17,NARRATOR,Response,Anticipation,30291,5,2.5617679218068026
18,NARRATOR,Response,Anticipation,30286,10,5.104325766421116
19,NARRATOR,Response,Anticipation,30281,15,7.5310615318698995
20,NARRATOR,Response,Anticipation,30276,20,9.679325518578297
21,NARRATOR,Response,Anticipation,30266,30,12.623522590698123
22,NARRATOR,Response,Anticipation,30246,50,0.0
23,NARRATOR,Response,Anticipation,30226,70,0.5551259589294149
24,NARRATOR,Response,Arousal,26702,1,0.5915206315974848
25,NARRATOR,Response,Arousal,26698,5,2.9565061979000102
26,NARRATOR,Response,Arousal,26693,10,5.8917175429845186
27,NARRATOR,Response,Arousal,26688,15,8.662969059619046
28,NARRATOR,Response,Arousal,26683,20,10.970318520028037
29,NARRATOR,Response,Arousal,26673,30,13.672790024592695
30,NARRATOR,Response,Arousal,26653,50,1.0325441885343856
31,NARRATOR,Response,Arousal,26633,70,0.15548816306832874
32,NARRATOR,Response,Disgust,26702,1,0.7944493789553166
33,NARRATOR,Response,Disgust,26698,5,3.9715060185785522
34,NARRATOR,Response,Disgust,26693,10,7.917371606155421
35,NARRATOR,Response,Disgust,26688,15,11.462691024060186
36,NARRATOR,Response,Disgust,26683,20,13.67522340056729
37,NARRATOR,Response,Disgust,26673,30,14.665981797844635
38,NARRATOR,Response,Disgust,26653,50,0.0
39,NARRATOR,Response,Disgust,26633,70,0.0036368700137277285
40,NARRATOR,Response,Dominance,26702,1,0.4058423090541429
41,NARRATOR,Response,Dominance,26698,5,2.0262800570338695
42,NARRATOR,Response,Dominance,26693,10,4.035596139743974
