,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,34162,1,0.047458728138105866
1,NARRATOR,Other,Unknown,34158,5,0.23556464583665165
2,NARRATOR,Other,Unknown,34153,10,0.46771765662044806
3,NARRATOR,Other,Unknown,34148,15,0.6945560063571918
4,NARRATOR,Other,Unknown,34143,20,0.919158770021617
5,NARRATOR,Other,Unknown,34133,30,1.35962300033033
6,NARRATOR,Other,Unknown,34113,50,1.568594830525246
7,NARRATOR,Other,Unknown,34093,70,1.5943499562610255
8,NARRATOR,Response,Anger,5988,1,0.5159846786929293
9,NARRATOR,Response,Anger,5984,5,2.5458720544748776
10,NARRATOR,Response,Anger,5979,10,4.992337924292544
11,NARRATOR,Response,Anger,5974,15,7.081200849035364
12,NARRATOR,Response,Anger,5969,20,8.637191341125678
13,NARRATOR,Response,Anger,5959,30,10.57800995100057
14,NARRATOR,Response,Anger,5939,50,2.553892325057344
15,NARRATOR,Response,Anger,5919,70,1.1316478928158913
16,NARRATOR,Response,Anticipation,35800,1,0.2838999111394132
17,NARRATOR,Response,Anticipation,35796,5,1.4120286102346276
18,NARRATOR,Response,Anticipation,35791,10,2.8075562787089514
19,NARRATOR,Response,Anticipation,35786,15,4.163765972384201
20,NARRATOR,Response,Anticipation,35781,20,5.45222957131197
21,NARRATOR,Response,Anticipation,35771,30,7.741020633458509
22,NARRATOR,Response,Anticipation,35751,50,4.187112054837304
23,NARRATOR,Response,Anticipation,35731,70,2.5372507117523853
24,NARRATOR,Response,Arousal,29763,1,0.27919570989345166
25,NARRATOR,Response,Arousal,29759,5,1.3917903299167038
26,NARRATOR,Response,Arousal,29754,10,2.7705125478195307
27,NARRATOR,Response,Arousal,29749,15,4.113356616459398
28,NARRATOR,Response,Arousal,29744,20,5.395946118287135
29,NARRATOR,Response,Arousal,29734,30,7.717537129754604
30,NARRATOR,Response,Arousal,29714,50,4.226985530825835
31,NARRATOR,Response,Arousal,29694,70,2.6020287791871013
32,NARRATOR,Response,Disgust,29763,1,0.48390826201068815
33,NARRATOR,Response,Disgust,29759,5,2.415984490819077
34,NARRATOR,Response,Disgust,29754,10,4.814028240418369
35,NARRATOR,Response,Disgust,29749,15,7.101829261535761
36,NARRATOR,Response,Disgust,29744,20,9.1165598871495
37,NARRATOR,Response,Disgust,29734,30,12.041647401154062
38,NARRATOR,Response,Disgust,29714,50,2.3337850980826644
39,NARRATOR,Response,Disgust,29694,70,0.6724215531973116
40,NARRATOR,Response,Dominance,34162,1,0.05292112264715792
41,NARRATOR,Response,Dominance,34158,5,0.26114903842208664
42,NARRATOR,Response,Dominance,34153,10,0.5153825785210875
43,NARRATOR,Response,Dominance,34148,15,0.764344583525985
44,NARRATOR,Response,Dominance,34143,20,1.0088673993866633
45,NARRATOR,Response,Dominance,34133,30,1.4858993791208428
46,NARRATOR,Response,Dominance,34113,50,1.7312050193329842
47,NARRATOR,Response,Dominance,34093,70,1.7721532190628602
48,NARRATOR,Response,Fear,29763,1,0.04052657830787433
49,NARRATOR,Response,Fear,29759,5,0.15820719209859166
50,NARRATOR,Response,Fear,29754,10,0.2639300365966009
51,NARRATOR,Response,Fear,29749,15,0.33823707372094697
52,NARRATOR,Response,Fear,29744,20,0.39756558931847874
53,NARRATOR,Response,Fear,29734,30,0.4951273443331119
54,NARRATOR,Response,Fear,29714,50,0.39093447477271004
55,NARRATOR,Response,Fear,29694,70,0.3916772420653539
56,NARRATOR,Response,Joy,29763,1,0.48390826201068815
57,NARRATOR,Response,Joy,29759,5,2.415984490819077
58,NARRATOR,Response,Joy,29754,10,4.814028240418369
59,NARRATOR,Response,Joy,29749,15,7.101829261535761
60,NARRATOR,Response,Joy,29744,20,9.1165598871495
61,NARRATOR,Response,Joy,29734,30,12.041647401154062
62,NARRATOR,Response,Joy,29714,50,2.3337850980826644
63,NARRATOR,Response,Joy,29694,70,0.6724215531973116
64,NARRATOR,Response,Sadness,29763,1,0.9880906393022422
65,NARRATOR,Response,Sadness,29759,5,4.936861069522466
66,NARRATOR,Response,Sadness,29754,10,9.847027543628293
67,NARRATOR,Response,Sadness,29749,15,13.929117863463503
68,NARRATOR,Response,Sadness,29744,20,14.813419270551035
69,NARRATOR,Response,Sadness,29734,30,14.859825936035099
70,NARRATOR,Response,Sadness,29714,50,0.004388868821768446
71,NARRATOR,Response,Sadness,29694,70,0.0
72,NARRATOR,Response,Surprise,29763,1,0.3818437609950385
73,NARRATOR,Response,Surprise,29759,5,1.9084645730467797
74,NARRATOR,Response,Surprise,29754,10,3.804003802486724
75,NARRATOR,Response,Surprise,29749,15,5.649476902816957
76,NARRATOR,Response,Surprise,29744,20,7.392997489887519
77,NARRATOR,Response,Surprise,29734,30,10.342197021438317
78,NARRATOR,Response,Surprise,29714,50,0.0
79,NARRATOR,Response,Surprise,29694,70,1.155736282847636
80,NARRATOR,Response,Trust,29763,1,0.5397439511853552
81,NARRATOR,Response,Trust,29759,5,2.6965779031422916
82,NARRATOR,Response,Trust,29754,10,5.370574654825779
83,NARRATOR,Response,Trust,29749,15,7.903679377992039
84,NARRATOR,Response,Trust,29744,20,10.087765775906385
85,NARRATOR,Response,Trust,29734,30,12.966467221586756
86,NARRATOR,Response,Trust,29714,50,1.6599983045746216
87,NARRATOR,Response,Trust,29694,70,0.34726696606756974
88,NARRATOR,Response,Valence,13876,1,0.46219686945330185
89,NARRATOR,Response,Valence,13872,5,2.1474338293659927
90,NARRATOR,Response,Valence,13867,10,4.087091265649606
91,NARRATOR,Response,Valence,13862,15,5.627778208806993
92,NARRATOR,Response,Valence,13857,20,6.728189718400092
93,NARRATOR,Response,Valence,13847,30,8.209054395376555
94,NARRATOR,Response,Valence,13827,50,3.033437152082895
95,NARRATOR,Response,Valence,13807,70,2.2347543305436135
96,NARRATOR,Stimulus,Anger,29763,1,0.358303140978803
97,NARRATOR,Stimulus,Anger,29759,5,1.787012584713062
98,NARRATOR,Stimulus,Anger,29754,10,3.556002753515738
99,NARRATOR,Stimulus,Anger,29749,15,5.2719286136581776
100,NARRATOR,Stimulus,Anger,29744,20,6.881841650497873
101,NARRATOR,Stimulus,Anger,29734,30,9.653797065158496
102,NARRATOR,Stimulus,Anger,29714,50,3.7356630650497373
103,NARRATOR,Stimulus,Anger,29694,70,1.7934599088061098
104,NARRATOR,Stimulus,Anticipation,29763,1,0.5397439511853552
105,NARRATOR,Stimulus,Anticipation,29759,5,2.6965779031422916
106,NARRATOR,Stimulus,Anticipation,29754,10,5.370574654825779
107,NARRATOR,Stimulus,Anticipation,29749,15,7.903679377992039
108,NARRATOR,Stimulus,Anticipation,29744,20,10.087765775906385
109,NARRATOR,Stimulus,Anticipation,29734,30,12.966467221586756
