,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,21578,1,0.9977604749361857
1,NARRATOR,Other,Unknown,21574,5,4.985602641530321
2,NARRATOR,Other,Unknown,21569,10,9.933330980102891
3,NARRATOR,Other,Unknown,21564,15,13.78970711632688
4,NARRATOR,Other,Unknown,21559,20,14.372996007776347
5,NARRATOR,Other,Unknown,21549,30,14.395333300897459
6,NARRATOR,Other,Unknown,21529,50,0.0
7,NARRATOR,Other,Unknown,21509,70,0.0
8,NARRATOR,Response,Anger,13013,1,0.45587575558664806
9,NARRATOR,Response,Anger,13009,5,2.2775872401518273
10,NARRATOR,Response,Anger,13004,10,4.527428230753187
11,NARRATOR,Response,Anger,12999,15,6.66047609093239
12,NARRATOR,Response,Anger,12994,20,8.560551543360441
13,NARRATOR,Response,Anger,12984,30,11.299663197175907
14,NARRATOR,Response,Anger,12964,50,2.0259152700007648
15,NARRATOR,Response,Anger,12944,70,0.5879274794968721
16,NARRATOR,Response,Anticipation,14552,1,0.2937657980896889
17,NARRATOR,Response,Anticipation,14548,5,1.4618899433678507
18,NARRATOR,Response,Anticipation,14543,10,2.9027536553050557
19,NARRATOR,Response,Anticipation,14538,15,4.28313326519998
20,NARRATOR,Response,Anticipation,14533,20,5.570497542333072
21,NARRATOR,Response,Anticipation,14523,30,7.807628484181449
22,NARRATOR,Response,Anticipation,14503,50,3.989539115942389
23,NARRATOR,Response,Anticipation,14483,70,2.477631166878419
24,NARRATOR,Response,Arousal,37025,1,0.2924184830887205
25,NARRATOR,Response,Arousal,37021,5,1.4594213603729578
26,NARRATOR,Response,Arousal,37016,10,2.905978633421949
27,NARRATOR,Response,Arousal,37011,15,4.315541454840287
28,NARRATOR,Response,Arousal,37006,20,5.658930311925762
29,NARRATOR,Response,Arousal,36996,30,8.055888047808143
30,NARRATOR,Response,Arousal,36976,50,3.9839795702813823
31,NARRATOR,Response,Arousal,36956,70,2.3877196435784187
32,NARRATOR,Response,Disgust,26702,1,0.4572281855855844
33,NARRATOR,Response,Disgust,26698,5,2.285495364883287
34,NARRATOR,Response,Disgust,26693,10,4.5553077151345756
35,NARRATOR,Response,Disgust,26688,15,6.748898234600842
36,NARRATOR,Response,Disgust,26683,20,8.74306719534033
37,NARRATOR,Response,Disgust,26673,30,11.773921022565583
38,NARRATOR,Response,Disgust,26653,50,0.0
39,NARRATOR,Response,Disgust,26633,70,0.6152074972104372
40,NARRATOR,Response,Dominance,26702,1,0.2148177160881109
41,NARRATOR,Response,Dominance,26698,5,0.9507582471886564
42,NARRATOR,Response,Dominance,26693,10,1.8006330638337147
43,NARRATOR,Response,Dominance,26688,15,2.5359261363706365
44,NARRATOR,Response,Dominance,26683,20,3.173469213188
45,NARRATOR,Response,Dominance,26673,30,4.272643089944252
46,NARRATOR,Response,Dominance,26653,50,3.1889119285408944
47,NARRATOR,Response,Dominance,26633,70,2.912068807682747
48,NARRATOR,Response,Fear,35765,1,0.9980207423764971
49,NARRATOR,Response,Fear,35761,5,4.986698871467769
50,NARRATOR,Response,Fear,35756,10,9.950086268238469
51,NARRATOR,Response,Fear,35751,15,14.195560910026314
52,NARRATOR,Response,Fear,35746,20,15.084466708486532
53,NARRATOR,Response,Fear,35736,30,15.125090539312612
54,NARRATOR,Response,Fear,35716,50,0.0027830983450278547
55,NARRATOR,Response,Fear,35696,70,0.0
56,NARRATOR,Response,Joy,28147,1,0.14244871576785026
