,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,30295,1,0.4872978485287456
1,NARRATOR,Other,Unknown,30291,5,2.4307784616675594
2,NARRATOR,Other,Unknown,30286,10,4.837145680011507
3,NARRATOR,Other,Unknown,30281,15,7.117924203826865
4,NARRATOR,Other,Unknown,30276,20,9.10671450392541
5,NARRATOR,Other,Unknown,30266,30,11.965231581635132
6,NARRATOR,Other,Unknown,30246,50,2.3844295145257672
7,NARRATOR,Other,Unknown,30226,70,0.8062078658204537
8,NARRATOR,Response,Anger,30295,1,0.3201027600993118
9,NARRATOR,Response,Anger,30291,5,1.5982619344083022
10,NARRATOR,Response,Anger,30286,10,3.1838293338041765
11,NARRATOR,Response,Anger,30281,15,4.730758284711289
12,NARRATOR,Response,Anger,30276,20,6.196201316260596
13,NARRATOR,Response,Anger,30266,30,8.767791410310812
14,NARRATOR,Response,Anger,30246,50,3.8615061718616155
15,NARRATOR,Response,Anger,30226,70,2.0466941949781643
16,NARRATOR,Response,Anticipation,30295,1,0.650622452065587
17,NARRATOR,Response,Anticipation,30291,5,3.252374871638697
18,NARRATOR,Response,Anticipation,30286,10,6.484734403833573
19,NARRATOR,Response,Anticipation,30281,15,9.518497003664262
20,NARRATOR,Response,Anticipation,30276,20,11.934761501788882
21,NARRATOR,Response,Anticipation,30266,30,14.302628482558838
22,NARRATOR,Response,Anticipation,30246,50,0.559494733335368
23,NARRATOR,Response,Anticipation,30226,70,0.09104769691425141
24,NARRATOR,Response,Arousal,30295,1,0.0014600877891325424
25,NARRATOR,Response,Arousal,30291,5,0.007301167108383322
26,NARRATOR,Response,Arousal,30286,10,0.01460415491904647
27,NARRATOR,Response,Arousal,30281,15,0.021908963924297104
28,NARRATOR,Response,Arousal,30276,20,0.029215594616219705
29,NARRATOR,Response,Arousal,30266,30,0.043834323027296195
30,NARRATOR,Response,Arousal,30246,50,0.05573568509411375
31,NARRATOR,Response,Arousal,30226,70,0.05531664962592011
32,NARRATOR,Response,Disgust,30295,1,0.023564863008941637
33,NARRATOR,Response,Disgust,30291,5,0.11701306403951404
34,NARRATOR,Response,Disgust,30286,10,0.23219398759156437
35,NARRATOR,Response,Disgust,30281,15,0.34618154359778264
36,NARRATOR,Response,Disgust,30276,20,0.45695536561021144
37,NARRATOR,Response,Disgust,30266,30,0.6725927613595544
38,NARRATOR,Response,Disgust,30246,50,0.7967507746358071
39,NARRATOR,Response,Disgust,30226,70,0.8173909793170506
40,NARRATOR,Response,Dominance,30295,1,0.6103150762839779
41,NARRATOR,Response,Dominance,30291,5,3.0491701301261704
42,NARRATOR,Response,Dominance,30286,10,6.071942835553963
43,NARRATOR,Response,Dominance,30281,15,8.90542192774117
44,NARRATOR,Response,Dominance,30276,20,11.211518210589022
45,NARRATOR,Response,Dominance,30266,30,13.8207155358669
46,NARRATOR,Response,Dominance,30246,50,0.9917044312127355
47,NARRATOR,Response,Dominance,30226,70,0.17381529727813155
48,NARRATOR,Response,Fear,4593,1,0.41475764721976266
49,NARRATOR,Response,Fear,4589,5,2.0641283475830465
50,NARRATOR,Response,Fear,4584,10,4.071979759295994
51,NARRATOR,Response,Fear,4579,15,5.950974815399631
52,NARRATOR,Response,Fear,4574,20,7.5637160826041825
53,NARRATOR,Response,Fear,4564,30,9.82904995342944
54,NARRATOR,Response,Fear,4544,50,2.69617166460723
55,NARRATOR,Response,Fear,4524,70,1.0581030803199685
56,NARRATOR,Response,Joy,30295,1,0.5076875394607924
57,NARRATOR,Response,Joy,30291,5,2.536748584406987
58,NARRATOR,Response,Joy,30286,10,5.054690875268911
59,NARRATOR,Response,Joy,30281,15,7.459491349005654
60,NARRATOR,Response,Joy,30276,20,9.5959440423554
61,NARRATOR,Response,Joy,30266,30,12.542185004339403
62,NARRATOR,Response,Joy,30246,50,0.0
63,NARRATOR,Response,Joy,30226,70,0.5741547062850906
64,NARRATOR,Response,Sadness,23317,1,0.23761631399584074
