,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,13496,1,0.020819384128507576
1,NARRATOR,Other,Unknown,13492,5,0.10033395026711568
2,NARRATOR,Other,Unknown,13487,10,0.19744735794046156
3,NARRATOR,Other,Unknown,13482,15,0.2937528863241201
4,NARRATOR,Other,Unknown,13477,20,0.3872887631054285
5,NARRATOR,Other,Unknown,13467,30,0.574241985403788
6,NARRATOR,Other,Unknown,13447,50,0.7767533465737733
7,NARRATOR,Other,Unknown,13427,70,0.8683883908330272
8,NARRATOR,Response,Anger,13496,1,0.19033272955555008
9,NARRATOR,Response,Anger,13492,5,0.9493233275410207
10,NARRATOR,Response,Anger,13487,10,1.8861051834464888
11,NARRATOR,Response,Anger,13482,15,2.798003458624146
12,NARRATOR,Response,Anger,13477,20,3.686779545093443
13,NARRATOR,Response,Anger,13467,30,5.381596840665299
14,NARRATOR,Response,Anger,13447,50,4.184877209795119
15,NARRATOR,Response,Anger,13427,70,3.069777954163857
16,NARRATOR,Response,Anticipation,38535,1,0.0581710527245365
17,NARRATOR,Response,Anticipation,38531,5,0.28434035991141493
18,NARRATOR,Response,Anticipation,38526,10,0.5612172532189489
19,NARRATOR,Response,Anticipation,38521,15,0.8290457988339106
20,NARRATOR,Response,Anticipation,38516,20,1.0881751992189366
21,NARRATOR,Response,Anticipation,38506,30,1.5765449791208708
22,NARRATOR,Response,Anticipation,38486,50,1.6896155093256207
23,NARRATOR,Response,Anticipation,38466,70,1.7042358502053399
24,NARRATOR,Response,Arousal,13496,1,0.9927916047794012
25,NARRATOR,Response,Arousal,13492,5,4.883258498880833
26,NARRATOR,Response,Arousal,13487,10,9.671094491569699
27,NARRATOR,Response,Arousal,13482,15,13.025465974824371
28,NARRATOR,Response,Arousal,13477,20,13.617436500405073
29,NARRATOR,Response,Arousal,13467,30,13.71210825094798
30,NARRATOR,Response,Arousal,13447,50,0.05635088216134058
31,NARRATOR,Response,Arousal,13427,70,0.0033861733603125655
32,NARRATOR,Response,Disgust,13496,1,0.2646605193681759
33,NARRATOR,Response,Disgust,13492,5,1.3181843482454971
34,NARRATOR,Response,Disgust,13487,10,2.6147174154832813
35,NARRATOR,Response,Disgust,13482,15,3.865327300486657
36,NARRATOR,Response,Disgust,13477,20,5.0523381374250835
37,NARRATOR,Response,Disgust,13467,30,7.198386261859846
38,NARRATOR,Response,Disgust,13447,50,4.180523292309057
39,NARRATOR,Response,Disgust,13427,70,2.4995021410833123
40,NARRATOR,Response,Dominance,13496,1,0.2927212953214646
41,NARRATOR,Response,Dominance,13492,5,1.3551561942209664
42,NARRATOR,Response,Dominance,13487,10,2.5987283110280512
43,NARRATOR,Response,Dominance,13482,15,3.7097712476575238
44,NARRATOR,Response,Dominance,13477,20,4.695623395926775
45,NARRATOR,Response,Dominance,13467,30,6.335094423675309
46,NARRATOR,Response,Dominance,13447,50,4.133069587918868
47,NARRATOR,Response,Dominance,13427,70,3.3283414494182226
48,NARRATOR,Response,Fear,13496,1,0.9496126058337817
49,NARRATOR,Response,Fear,13492,5,4.709977758399357
50,NARRATOR,Response,Fear,13487,10,9.342382344650241
51,NARRATOR,Response,Fear,13482,15,12.69162344913203
52,NARRATOR,Response,Fear,13477,20,13.524271669595773
53,NARRATOR,Response,Fear,13467,30,13.698048275945693
54,NARRATOR,Response,Fear,13447,50,0.09578459171803455
55,NARRATOR,Response,Fear,13427,70,0.010158303953585888
56,NARRATOR,Response,Joy,13496,1,0.26889133003796506
57,NARRATOR,Response,Joy,13492,5,1.338151090166481
58,NARRATOR,Response,Joy,13487,10,2.6536123687983575
59,NARRATOR,Response,Joy,13482,15,3.9218069941159808
60,NARRATOR,Response,Joy,13477,20,5.124619623033566
61,NARRATOR,Response,Joy,13467,30,7.304894937467875
62,NARRATOR,Response,Joy,13447,50,4.252410265743094
63,NARRATOR,Response,Joy,13427,70,2.5598900142052567
64,NARRATOR,Response,Sadness,13496,1,0.7757986158706187
65,NARRATOR,Response,Sadness,13492,5,3.8610159093765364
66,NARRATOR,Response,Sadness,13487,10,7.658916692372171
67,NARRATOR,Response,Sadness,13482,15,10.80564541572851
68,NARRATOR,Response,Sadness,13477,20,12.559792984029599
69,NARRATOR,Response,Sadness,13467,30,13.574545574404345
70,NARRATOR,Response,Sadness,13447,50,0.36929457763409923
71,NARRATOR,Response,Sadness,13427,70,0.025958820703684722
72,NARRATOR,Response,Surprise,13496,1,0.26694248062307685
73,NARRATOR,Response,Surprise,13492,5,1.3290391748854997
74,NARRATOR,Response,Surprise,13487,10,2.639544661731437
75,NARRATOR,Response,Surprise,13482,15,3.9066493819310044
76,NARRATOR,Response,Surprise,13477,20,5.112183363369122
77,NARRATOR,Response,Surprise,13467,30,7.302045297082659
78,NARRATOR,Response,Surprise,13447,50,4.26807242641753
79,NARRATOR,Response,Surprise,13427,70,2.5935997954005385
80,NARRATOR,Response,Trust,38535,1,0.5148519415530398
81,NARRATOR,Response,Trust,38531,5,2.5712206645228783
82,NARRATOR,Response,Trust,38526,10,5.123366471319809
83,NARRATOR,Response,Trust,38521,15,7.562239504665233
84,NARRATOR,Response,Trust,38516,20,9.71121114053445
85,NARRATOR,Response,Trust,38506,30,12.721495961137494
86,NARRATOR,Response,Trust,38486,50,2.0068721310177953
87,NARRATOR,Response,Trust,38466,70,0.6504888548384525
88,NARRATOR,Response,Valence,13496,1,0.2460707871482242
89,NARRATOR,Response,Valence,13492,5,1.227577788205652
90,NARRATOR,Response,Valence,13487,10,2.441999973033499
91,NARRATOR,Response,Valence,13482,15,3.6247029098655204
92,NARRATOR,Response,Valence,13477,20,4.760930017580195
93,NARRATOR,Response,Valence,13467,30,6.851504990575317
