,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,19010,1,0.5177279661822026
1,NARRATOR,Other,Unknown,19006,5,2.583262469840364
2,NARRATOR,Other,Unknown,19001,10,5.132019299117031
3,NARRATOR,Other,Unknown,18996,15,7.50701664922593
4,NARRATOR,Other,Unknown,18991,20,9.524113236445812
5,NARRATOR,Other,Unknown,18981,30,12.221427412289579
6,NARRATOR,Other,Unknown,18961,50,1.7813516381134795
7,NARRATOR,Other,Unknown,18941,70,0.5112807259118537
8,NARRATOR,Response,Anger,30428,1,0.44782831550467217
9,NARRATOR,Response,Anger,30424,5,2.2381012939777913
10,NARRATOR,Response,Anger,30419,10,4.464588986019868
11,NARRATOR,Response,Anger,30414,15,6.626048540636476
12,NARRATOR,Response,Anger,30409,20,8.609240329259753
13,NARRATOR,Response,Anger,30399,30,11.657344721025295
14,NARRATOR,Response,Anger,30379,50,2.487962185519803
15,NARRATOR,Response,Anger,30359,70,0.7746309483261407
16,NARRATOR,Response,Anticipation,5791,1,0.22570494617710263
17,NARRATOR,Response,Anticipation,5787,5,1.1141920796008677
18,NARRATOR,Response,Anticipation,5782,10,2.1869625675550335
19,NARRATOR,Response,Anticipation,5777,15,3.2046273521606787
20,NARRATOR,Response,Anticipation,5772,20,4.158962210658363
21,NARRATOR,Response,Anticipation,5762,30,5.893671591341189
22,NARRATOR,Response,Anticipation,5742,50,4.10690906303057
23,NARRATOR,Response,Anticipation,5722,70,2.9143241251683505
24,NARRATOR,Response,Arousal,62482,1,0.5448548036113826
25,NARRATOR,Response,Arousal,62478,5,2.716174382317998
26,NARRATOR,Response,Arousal,62473,10,5.412033226770318
27,NARRATOR,Response,Arousal,62468,15,7.999130574909781
28,NARRATOR,Response,Arousal,62463,20,10.262091028501754
29,NARRATOR,Response,Arousal,62453,30,13.396913354293202
30,NARRATOR,Response,Arousal,62433,50,1.911596929530291
31,NARRATOR,Response,Arousal,62413,70,0.5974177625482083
32,NARRATOR,Response,Disgust,35950,1,0.49557979063400115
33,NARRATOR,Response,Disgust,35946,5,2.475955035704216
34,NARRATOR,Response,Disgust,35941,10,4.934520494767972
