,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,29763,1,0.7312628876895149
1,NARRATOR,Other,Unknown,29759,5,3.655176787131897
2,NARRATOR,Other,Unknown,29754,10,7.285217328384459
3,NARRATOR,Other,Unknown,29749,15,10.623617464125735
4,NARRATOR,Other,Unknown,29744,20,13.024553912506924
5,NARRATOR,Other,Unknown,29734,30,14.699768193049108
6,NARRATOR,Other,Unknown,29714,50,0.0
7,NARRATOR,Other,Unknown,29694,70,0.021407880732892764
8,NARRATOR,Response,Anger,29763,1,0.4007522004744276
9,NARRATOR,Response,Anger,29759,5,2.002243412216751
10,NARRATOR,Response,Anger,29754,10,3.991169743100149
11,NARRATOR,Response,Anger,29749,15,5.920819531696403
12,NARRATOR,Response,Anger,29744,20,7.724404346738917
13,NARRATOR,Response,Anger,29734,30,10.70495694687655
14,NARRATOR,Response,Anger,29714,50,3.061879738413957
15,NARRATOR,Response,Anger,29694,70,1.1564752429964968
16,NARRATOR,Response,Anticipation,34955,1,0.839865280796934
17,NARRATOR,Response,Anticipation,34951,5,4.198059173898123
18,NARRATOR,Response,Anticipation,34946,10,8.371660808516188
19,NARRATOR,Response,Anticipation,34941,15,12.114023902831478
20,NARRATOR,Response,Anticipation,34936,20,14.232919693544007
21,NARRATOR,Response,Anticipation,34926,30,15.052533987268278
22,NARRATOR,Response,Anticipation,34906,50,0.0
23,NARRATOR,Response,Anticipation,34886,70,0.009478095502275097
24,NARRATOR,Response,Arousal,29763,1,0.9880906393022422
25,NARRATOR,Response,Arousal,29759,5,4.936861069522466
26,NARRATOR,Response,Arousal,29754,10,9.847027543628293
27,NARRATOR,Response,Arousal,29749,15,13.929117863463503
28,NARRATOR,Response,Arousal,29744,20,14.813419270551035
29,NARRATOR,Response,Arousal,29734,30,14.859825936035099
30,NARRATOR,Response,Arousal,29714,50,0.004388868821768446
31,NARRATOR,Response,Arousal,29694,70,0.0
32,NARRATOR,Response,Disgust,34955,1,0.4908715694434856
33,NARRATOR,Response,Disgust,34951,5,2.4406286438659412
34,NARRATOR,Response,Disgust,34946,10,4.847859895868421
35,NARRATOR,Response,Disgust,34941,15,7.109566509177488
36,NARRATOR,Response,Disgust,34936,20,9.070176006181114
37,NARRATOR,Response,Disgust,34926,30,11.863447487855758
38,NARRATOR,Response,Disgust,34906,50,2.5694139533503004
39,NARRATOR,Response,Disgust,34886,70,0.9842285912297936
40,NARRATOR,Response,Dominance,34955,1,0.008205142634512063
41,NARRATOR,Response,Dominance,34951,5,0.04102302934539152
42,NARRATOR,Response,Dominance,34946,10,0.08151705056080884
43,NARRATOR,Response,Dominance,34941,15,0.1212118314377477
44,NARRATOR,Response,Dominance,34936,20,0.16032501786106312
45,NARRATOR,Response,Dominance,34926,30,0.23502831626543708
46,NARRATOR,Response,Dominance,34906,50,0.3030896387080184
47,NARRATOR,Response,Dominance,34886,70,0.3313898744796046
48,NARRATOR,Response,Fear,23866,1,0.4445383092210299
49,NARRATOR,Response,Fear,23862,5,2.2189791026310313
50,NARRATOR,Response,Fear,23857,10,4.415339416192209
51,NARRATOR,Response,Fear,23852,15,6.522246651094047
52,NARRATOR,Response,Fear,23847,20,8.413605243445048
53,NARRATOR,Response,Fear,23837,30,11.253451152139473
54,NARRATOR,Response,Fear,23817,50,0.0
55,NARRATOR,Response,Fear,23797,70,1.0057499494365225
56,NARRATOR,Response,Joy,34955,1,0.48841500556812717
57,NARRATOR,Response,Joy,34951,5,2.4298500737715765
58,NARRATOR,Response,Joy,34946,10,4.832176487587312
59,NARRATOR,Response,Joy,34941,15,7.106051796960549
60,NARRATOR,Response,Joy,34936,20,9.081726972755693
61,NARRATOR,Response,Joy,34926,30,11.93918249850971
62,NARRATOR,Response,Joy,34906,50,2.5990464540946565
63,NARRATOR,Response,Joy,34886,70,1.0127791264427
64,NARRATOR,Response,Sadness,34955,1,0.6404472509289547
65,NARRATOR,Response,Sadness,34951,5,3.196278799676409
66,NARRATOR,Response,Sadness,34946,10,6.3610921517053365
