,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,13177,1,0.34243874791715273
1,NARRATOR,Other,Unknown,13173,5,1.7102655472746695
2,NARRATOR,Other,Unknown,13168,10,3.4059810515790248
3,NARRATOR,Other,Unknown,13163,15,5.029968146596141
4,NARRATOR,Other,Unknown,13158,20,6.540725764816298
5,NARRATOR,Other,Unknown,13148,30,9.061981664088648
6,NARRATOR,Other,Unknown,13128,50,3.553594647300875
7,NARRATOR,Other,Unknown,13108,70,1.6849804968653994
8,NARRATOR,Response,Anger,24032,1,0.026968950920832194
9,NARRATOR,Response,Anger,24028,5,0.13082324621158545
10,NARRATOR,Response,Anger,24023,10,0.2556986275054603
11,NARRATOR,Response,Anger,24018,15,0.37816532483730353
12,NARRATOR,Response,Anger,24013,20,0.4970714751692131
13,NARRATOR,Response,Anger,24003,30,0.728492504397831
14,NARRATOR,Response,Anger,23983,50,0.9213489118994986
15,NARRATOR,Response,Anger,23963,70,0.9929138753180466
16,NARRATOR,Response,Anticipation,64605,1,0.5088822762201008
17,NARRATOR,Response,Anticipation,64601,5,2.5429570954852037
18,NARRATOR,Response,Anticipation,64596,10,5.074946520396847
19,NARRATOR,Response,Anticipation,64591,15,7.529290970908583
20,NARRATOR,Response,Anticipation,64586,20,9.765384767583537
21,NARRATOR,Response,Anticipation,64576,30,13.083948979292757
22,NARRATOR,Response,Anticipation,64556,50,0.0
23,NARRATOR,Response,Anticipation,64536,70,0.5513734151804204
24,NARRATOR,Response,Arousal,49504,1,0.632535955663978
25,NARRATOR,Response,Arousal,49500,5,3.1595028343079794
26,NARRATOR,Response,Arousal,49495,10,6.3020061073512315
27,NARRATOR,Response,Arousal,49490,15,9.282268013630317
28,NARRATOR,Response,Arousal,49485,20,11.743491548328924
29,NARRATOR,Response,Arousal,49475,30,14.481351613682657
30,NARRATOR,Response,Arousal,49455,50,0.9608604673239936
31,NARRATOR,Response,Arousal,49435,70,0.1623342131616256
32,NARRATOR,Response,Disgust,28435,1,0.3767942846569878
