,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,9902,1,0.9993377718038374
1,NARRATOR,Other,Unknown,9898,5,4.9930374964769175
2,NARRATOR,Other,Unknown,9893,10,9.909478871725279
3,NARRATOR,Other,Unknown,9888,15,12.96735408491744
4,NARRATOR,Other,Unknown,9883,20,13.259603101657591
5,NARRATOR,Other,Unknown,9873,30,13.269272811843019
6,NARRATOR,Other,Unknown,9853,50,0.0
7,NARRATOR,Other,Unknown,9833,70,0.0
8,NARRATOR,Response,Anger,62482,1,0.13211509205904673
9,NARRATOR,Response,Anger,62478,5,0.606782529207992
10,NARRATOR,Response,Anger,62473,10,1.1663267064919463
11,NARRATOR,Response,Anger,62468,15,1.6939638399612853
12,NARRATOR,Response,Anger,62463,20,2.1959808956622173
13,NARRATOR,Response,Anger,62453,30,3.1477118835791718
14,NARRATOR,Response,Anger,62433,50,2.998980502068327
15,NARRATOR,Response,Anger,62413,70,2.8168520368508405
16,NARRATOR,Response,Anticipation,62482,1,0.6291108735412358
17,NARRATOR,Response,Anticipation,62478,5,3.144978258940547
18,NARRATOR,Response,Anticipation,62473,10,6.278320226536322
19,NARRATOR,Response,Anticipation,62468,15,9.28870164480445
20,NARRATOR,Response,Anticipation,62463,20,11.86615882684536
21,NARRATOR,Response,Anticipation,62453,30,14.829872997695798
22,NARRATOR,Response,Anticipation,62433,50,0.8460235160149642
23,NARRATOR,Response,Anticipation,62413,70,0.11016288764128211
24,NARRATOR,Response,Arousal,62482,1,0.30907078023642953
25,NARRATOR,Response,Arousal,62478,5,1.4375440722390822
26,NARRATOR,Response,Arousal,62473,10,2.760504116287537
27,NARRATOR,Response,Arousal,62468,15,3.9439944050632407
28,NARRATOR,Response,Arousal,62463,20,4.934425326521257
29,NARRATOR,Response,Arousal,62453,30,6.524739804976919
30,NARRATOR,Response,Arousal,62433,50,3.7513849736377813
31,NARRATOR,Response,Arousal,62413,70,3.0499665255170973
32,NARRATOR,Response,Disgust,62482,1,0.018058617422827487
33,NARRATOR,Response,Disgust,62478,5,0.08861775194015671
34,NARRATOR,Response,Disgust,62473,10,0.17467158571889368
35,NARRATOR,Response,Disgust,62468,15,0.2584314661692891
36,NARRATOR,Response,Disgust,62463,20,0.3405026315929578
37,NARRATOR,Response,Disgust,62453,30,0.5004956085294765
38,NARRATOR,Response,Disgust,62433,50,0.6257292107933737
39,NARRATOR,Response,Disgust,62413,70,0.6733634273288831
40,NARRATOR,Response,Dominance,62482,1,0.0647777033650848
41,NARRATOR,Response,Dominance,62478,5,0.3195305853249723
42,NARRATOR,Response,Dominance,62473,10,0.6303165048314507
43,NARRATOR,Response,Dominance,62468,15,0.9322026802481055
44,NARRATOR,Response,Dominance,62463,20,1.2254398468323047
45,NARRATOR,Response,Dominance,62453,30,1.7848183952726713
46,NARRATOR,Response,Dominance,62433,50,1.8914834083738008
47,NARRATOR,Response,Dominance,62413,70,1.8752470800766243
48,NARRATOR,Response,Fear,62482,1,0.002844857033190436
49,NARRATOR,Response,Fear,62478,5,0.01395813124612036
50,NARRATOR,Response,Fear,62473,10,0.026834633191402623
51,NARRATOR,Response,Fear,62468,15,0.03968653714482882
52,NARRATOR,Response,Fear,62463,20,0.05253917311086216
53,NARRATOR,Response,Fear,62453,30,0.07671263558664893
54,NARRATOR,Response,Fear,62433,50,0.10667276791631917
55,NARRATOR,Response,Fear,62413,70,0.12403516395214614
56,NARRATOR,Response,Joy,62482,1,0.0018403707552478849
57,NARRATOR,Response,Joy,62478,5,0.009202147167704205
58,NARRATOR,Response,Joy,62473,10,0.018405027596402845
59,NARRATOR,Response,Joy,62468,15,0.0276086409226893
60,NARRATOR,Response,Joy,62463,20,0.03625760364192424
61,NARRATOR,Response,Joy,62453,30,0.05255284999755179
62,NARRATOR,Response,Joy,62433,50,0.07087266596653635
63,NARRATOR,Response,Joy,62413,70,0.08158821487443293
64,NARRATOR,Response,Sadness,62482,1,0.5388167092694265
65,NARRATOR,Response,Sadness,62478,5,2.691131199756839
66,NARRATOR,Response,Sadness,62473,10,5.36700000914876
67,NARRATOR,Response,Sadness,62468,15,7.947080727130677
68,NARRATOR,Response,Sadness,62463,20,10.242058127845985
69,NARRATOR,Response,Sadness,62453,30,13.437659584406068
70,NARRATOR,Response,Sadness,62433,50,1.7599020942131842
71,NARRATOR,Response,Sadness,62413,70,0.39971083129918744
72,NARRATOR,Response,Surprise,62482,1,0.03801328714377086
73,NARRATOR,Response,Surprise,62478,5,0.18835359057462664
74,NARRATOR,Response,Surprise,62473,10,0.3730595120116516
75,NARRATOR,Response,Surprise,62468,15,0.5558303829026267
76,NARRATOR,Response,Surprise,62463,20,0.7370260522467434
77,NARRATOR,Response,Surprise,62453,30,1.0928912921996405
78,NARRATOR,Response,Surprise,62433,50,1.3356968809260537
79,NARRATOR,Response,Surprise,62413,70,1.4242922244815146
80,NARRATOR,Response,Trust,62482,1,0.45477241702135035
81,NARRATOR,Response,Trust,62478,5,2.272632709376564
82,NARRATOR,Response,Trust,62473,10,4.537151492380544
83,NARRATOR,Response,Trust,62468,15,6.750566820247
84,NARRATOR,Response,Trust,62463,20,8.82257682230963
85,NARRATOR,Response,Trust,62453,30,12.1874250342291
86,NARRATOR,Response,Trust,62433,50,2.479382436160979
87,NARRATOR,Response,Trust,62413,70,0.7245257542227632
88,NARRATOR,Response,Valence,9902,1,0.009465252537658793
89,NARRATOR,Response,Valence,9898,5,0.04484091034267252
90,NARRATOR,Response,Valence,9893,10,0.08905361264880686
91,NARRATOR,Response,Valence,9888,15,0.1332876294428742
92,NARRATOR,Response,Valence,9883,20,0.17754289602235626
93,NARRATOR,Response,Valence,9873,30,0.2661169150665434
94,NARRATOR,Response,Valence,9853,50,0.3777473331592073
95,NARRATOR,Response,Valence,9833,70,0.4352718077409516
96,NARRATOR,Stimulus,Anger,62482,1,0.2044487259558452
97,NARRATOR,Stimulus,Anger,62478,5,0.9847186540198855
98,NARRATOR,Stimulus,Anger,62473,10,1.9202411015605882
99,NARRATOR,Stimulus,Anger,62468,15,2.8018621712016514
100,NARRATOR,Stimulus,Anger,62463,20,3.6069568144881794
101,NARRATOR,Stimulus,Anger,62453,30,4.9957597807882745
102,NARRATOR,Stimulus,Anger,62433,50,3.459367691320752
103,NARRATOR,Stimulus,Anger,62413,70,2.9490660095885253
104,NARRATOR,Stimulus,Anticipation,62482,1,0.5643907981184082
105,NARRATOR,Stimulus,Anticipation,62478,5,2.818383342728056
106,NARRATOR,Stimulus,Anticipation,62473,10,5.62168695687271
107,NARRATOR,Stimulus,Anticipation,62468,15,8.31350182112721
108,NARRATOR,Stimulus,Anticipation,62463,20,10.672273786247766
109,NARRATOR,Stimulus,Anticipation,62453,30,13.828421648146415
110,NARRATOR,Stimulus,Anticipation,62433,50,1.5233579294939574
111,NARRATOR,Stimulus,Anticipation,62413,70,0.3917279882211507
112,NARRATOR,Stimulus,Arousal,62482,1,0.5446754421242976
113,NARRATOR,Stimulus,Arousal,62478,5,2.7152256131707957
114,NARRATOR,Stimulus,Arousal,62473,10,5.4101422608982945
115,NARRATOR,Stimulus,Arousal,62468,15,7.996436492366728
116,NARRATOR,Stimulus,Arousal,62463,20,10.258790432540478
117,NARRATOR,Stimulus,Arousal,62453,30,13.392811728909606
118,NARRATOR,Stimulus,Arousal,62433,50,1.9151941806396666
119,NARRATOR,Stimulus,Arousal,62413,70,0.5974177625482083
120,NARRATOR,Stimulus,Disgust,62482,1,0.6725709195517391
121,NARRATOR,Stimulus,Disgust,62478,5,3.3620819030352536
122,NARRATOR,Stimulus,Disgust,62473,10,6.711242592590525
123,NARRATOR,Stimulus,Disgust,62468,15,9.911972306824097
124,NARRATOR,Stimulus,Disgust,62463,20,12.548253345358678
125,NARRATOR,Stimulus,Disgust,62453,30,15.248297593331431
126,NARRATOR,Stimulus,Disgust,62433,50,0.5429803688421829
127,NARRATOR,Stimulus,Disgust,62413,70,0.03979933340860106
128,NARRATOR,Stimulus,Dominance,62482,1,0.5448548036113826
129,NARRATOR,Stimulus,Dominance,62478,5,2.716174382317998
130,NARRATOR,Stimulus,Dominance,62473,10,5.412033226770318
131,NARRATOR,Stimulus,Dominance,62468,15,7.999130574909781
132,NARRATOR,Stimulus,Dominance,62463,20,10.262091028501754
133,NARRATOR,Stimulus,Dominance,62453,30,13.396913354293202
134,NARRATOR,Stimulus,Dominance,62433,50,1.911596929530291
135,NARRATOR,Stimulus,Dominance,62413,70,0.5974177625482083
136,NARRATOR,Stimulus,Fear,62482,1,0.004912240366472883
137,NARRATOR,Stimulus,Fear,62478,5,0.02414819814452192
138,NARRATOR,Stimulus,Fear,62473,10,0.04765983716277999
139,NARRATOR,Stimulus,Fear,62468,15,0.07070663390896333
140,NARRATOR,Stimulus,Fear,62463,20,0.0930825179817643
141,NARRATOR,Stimulus,Fear,62453,30,0.1346447341806615
142,NARRATOR,Stimulus,Fear,62433,50,0.16573035135807465
143,NARRATOR,Stimulus,Fear,62413,70,0.18125237977550407
144,NARRATOR,Stimulus,Joy,62482,1,0.47267814261771557
145,NARRATOR,Stimulus,Joy,62478,5,2.3550380979296532
146,NARRATOR,Stimulus,Joy,62473,10,4.690713630983258
147,NARRATOR,Stimulus,Joy,62468,15,6.942885550828176
148,NARRATOR,Stimulus,Joy,62463,20,8.981742559471181
149,NARRATOR,Stimulus,Joy,62453,30,12.134649569239324
150,NARRATOR,Stimulus,Joy,62433,50,2.63339172456683
151,NARRATOR,Stimulus,Joy,62413,70,0.8838798230450579
152,NARRATOR,Stimulus,Sadness,48562,1,0.4754118679347476
153,NARRATOR,Stimulus,Sadness,48558,5,2.371653190557475
154,NARRATOR,Stimulus,Sadness,48553,10,4.72355791167714
155,NARRATOR,Stimulus,Sadness,48548,15,6.979505781025745
156,NARRATOR,Stimulus,Sadness,48543,20,9.015338669669099
157,NARRATOR,Stimulus,Sadness,48533,30,12.107231250704462
158,NARRATOR,Stimulus,Sadness,48513,50,2.481220642306567
159,NARRATOR,Stimulus,Sadness,48493,70,0.8155882777451076
160,NARRATOR,Stimulus,Surprise,48562,1,0.3907606945617766
161,NARRATOR,Stimulus,Surprise,48558,5,1.9516632452854568
162,NARRATOR,Stimulus,Surprise,48553,10,3.892684477860381
163,NARRATOR,Stimulus,Surprise,48548,15,5.788524901814937
164,NARRATOR,Stimulus,Surprise,48543,20,7.575173704841885
165,NARRATOR,Stimulus,Surprise,48533,30,10.600563784408305
166,NARRATOR,Stimulus,Surprise,48513,50,3.1733287794919125
167,NARRATOR,Stimulus,Surprise,48493,70,1.3125353965746374
168,NARRATOR,Stimulus,Trust,28435,1,0.09551445767776894
169,NARRATOR,Stimulus,Trust,28431,5,0.4375701040638864
170,NARRATOR,Stimulus,Trust,28426,10,0.8417579745920364
171,NARRATOR,Stimulus,Trust,28421,15,1.2302692980393912
172,NARRATOR,Stimulus,Trust,28416,20,1.604821319091433
173,NARRATOR,Stimulus,Trust,28406,30,2.3144609222239882
174,NARRATOR,Stimulus,Trust,28386,50,2.462099825037533
175,NARRATOR,Stimulus,Trust,28366,70,2.464244428008536
176,NARRATOR,Stimulus,Valence,28435,1,0.06191472655250417
177,NARRATOR,Stimulus,Valence,28431,5,0.3064227783366397
178,NARRATOR,Stimulus,Valence,28426,10,0.6051153923575273
179,NARRATOR,Stimulus,Valence,28421,15,0.8977866551893138
180,NARRATOR,Stimulus,Valence,28416,20,1.1827220920114352
181,NARRATOR,Stimulus,Valence,28406,30,1.7299809812756772
182,NARRATOR,Stimulus,Valence,28386,50,1.8568884034152209
183,NARRATOR,Stimulus,Valence,28366,70,1.8276296900758813
184,READER,Other,Unknown,14215,1,0.49722588705069787
185,READER,Other,Unknown,14211,5,2.4853145811930917
186,READER,Other,Unknown,14206,10,4.941072452389505
187,READER,Other,Unknown,14201,15,7.248066552561292
188,READER,Other,Unknown,14196,20,9.253803022372741
189,READER,Other,Unknown,14186,30,11.897103208685937
190,READER,Other,Unknown,14166,50,0.0
191,READER,Other,Unknown,14146,70,0.4493458911303227
192,READER,Response,Anger,62482,1,0.004912240366472883
193,READER,Response,Anger,62478,5,0.02414819814452192
194,READER,Response,Anger,62473,10,0.04765983716277999
195,READER,Response,Anger,62468,15,0.07070663390896333
196,READER,Response,Anger,62463,20,0.0930825179817643
197,READER,Response,Anger,62453,30,0.1346447341806615
198,READER,Response,Anger,62433,50,0.16573035135807465
199,READER,Response,Anger,62413,70,0.18125237977550407
200,READER,Response,Anticipation,32761,1,0.26041057529483913
201,READER,Response,Anticipation,32757,5,1.2990508040751112
202,READER,Response,Anticipation,32752,10,2.5886331996898635
203,READER,Response,Anticipation,32747,15,3.852541883415943
204,READER,Response,Anticipation,32742,20,5.074626681881649
205,READER,Response,Anticipation,32732,30,7.325915607345051
206,READER,Response,Anticipation,32712,50,4.3216714768644575
207,READER,Response,Anticipation,32692,70,2.7877766078354047
208,READER,Response,Arousal,62482,1,0.3542443004596476
209,READER,Response,Arousal,62478,5,1.764532781337044
210,READER,Response,Arousal,62473,10,3.515041708751932
211,READER,Response,Arousal,62468,15,5.219879239095179
212,READER,Response,Arousal,62463,20,6.8323611281229155
213,READER,Response,Arousal,62453,30,9.635398174726951
214,READER,Response,Arousal,62433,50,3.772425847615191
215,READER,Response,Arousal,62413,70,1.8850266188396732
216,READER,Response,Disgust,62482,1,0.672393143861497
217,READER,Response,Disgust,62478,5,3.361169693324884
218,READER,Response,Disgust,62473,10,6.709345410181423
219,READER,Response,Disgust,62468,15,9.908867046342095
220,READER,Response,Disgust,62463,20,12.544481638331236
221,READER,Response,Disgust,62453,30,15.244665866453309
222,READER,Response,Disgust,62433,50,0.5449230376150521
223,READER,Response,Disgust,62413,70,0.03979933340860106
224,READER,Response,Dominance,62482,1,0.5448548036113826
225,READER,Response,Dominance,62478,5,2.716174382317998
226,READER,Response,Dominance,62473,10,5.412033226770318
227,READER,Response,Dominance,62468,15,7.999130574909781
228,READER,Response,Dominance,62463,20,10.262091028501754
229,READER,Response,Dominance,62453,30,13.396913354293202
230,READER,Response,Dominance,62433,50,1.911596929530291
231,READER,Response,Dominance,62413,70,0.5974177625482083
232,READER,Response,Fear,62482,1,0.5643907981184082
233,READER,Response,Fear,62478,5,2.818383342728056
234,READER,Response,Fear,62473,10,5.62168695687271
235,READER,Response,Fear,62468,15,8.31350182112721
236,READER,Response,Fear,62463,20,10.672273786247766
237,READER,Response,Fear,62453,30,13.828421648146415
238,READER,Response,Fear,62433,50,1.5233579294939574
239,READER,Response,Fear,62413,70,0.3917279882211507
240,READER,Response,Joy,14215,1,0.5724944251745682
241,READER,Response,Joy,14211,5,2.8601968452626996
242,READER,Response,Joy,14206,10,5.681170138964013
243,READER,Response,Joy,14201,15,8.26304448782037
244,READER,Response,Joy,14196,20,10.316602791112015
245,READER,Response,Joy,14186,30,12.676235543118986
246,READER,Response,Joy,14166,50,1.2869534019501625
247,READER,Response,Joy,14146,70,0.32469860773419496
248,READER,Response,Sadness,14215,1,0.8574369288656727
249,READER,Response,Sadness,14211,5,4.28411435401865
250,READER,Response,Sadness,14206,10,8.514866954429323
251,READER,Response,Sadness,14201,15,11.923948265050374
252,READER,Response,Sadness,14196,20,13.406335777564028
253,READER,Response,Sadness,14186,30,13.78387807255796
254,READER,Response,Sadness,14166,50,0.0
255,READER,Response,Sadness,14146,70,0.0
256,READER,Response,Surprise,62482,1,0.045119922990411496
257,READER,Response,Surprise,62478,5,0.22325678551974584
258,READER,Response,Surprise,62473,10,0.4424570481023793
259,READER,Response,Surprise,62468,15,0.657992244562131
260,READER,Response,Surprise,62463,20,0.8692787739408772
261,READER,Response,Surprise,62453,30,1.2807980787063038
262,READER,Response,Surprise,62433,50,1.4733674996114192
263,READER,Response,Surprise,62413,70,1.5200654734582577
264,READER,Response,Trust,32761,1,0.4066932239385935
265,READER,Response,Trust,32757,5,2.0317641373115154
266,READER,Response,Trust,32752,10,4.048950799758569
267,READER,Response,Trust,32747,15,6.000944345285464
268,READER,Response,Trust,32742,20,7.82784875382903
269,READER,Response,Trust,32732,30,10.814551127816234
270,READER,Response,Trust,32712,50,3.01906250419421
271,READER,Response,Trust,32692,70,1.163959460987686
272,READER,Response,Valence,62482,1,0.0030397336974398183
273,READER,Response,Valence,62478,5,0.014709108294657127
274,READER,Response,Valence,62473,10,0.027845282536154103
275,READER,Response,Valence,62468,15,0.04015184577152262
276,READER,Response,Valence,62463,20,0.051969190613881534
277,READER,Response,Valence,62453,30,0.0728332944027249
278,READER,Response,Valence,62433,50,0.08297685869396425
279,READER,Response,Valence,62413,70,0.08812401377167647
280,READER,Stimulus,Anger,62482,1,0.6726775544676336
281,READER,Stimulus,Anger,62478,5,3.362614037302807
282,READER,Stimulus,Anger,62473,10,6.71223936071588
283,READER,Stimulus,Anger,62468,15,9.912828622602698
284,READER,Stimulus,Anger,62463,20,12.548870977985072
285,READER,Stimulus,Anger,62453,30,15.248537639568099
286,READER,Stimulus,Anger,62433,50,0.5415927368268113
287,READER,Stimulus,Anger,62413,70,0.03979933340860106
288,READER,Stimulus,Anticipation,62482,1,0.3542443004596476
289,READER,Stimulus,Anticipation,62478,5,1.764532781337044
290,READER,Stimulus,Anticipation,62473,10,3.515041708751932
291,READER,Stimulus,Anticipation,62468,15,5.219879239095179
292,READER,Stimulus,Anticipation,62463,20,6.8323611281229155
293,READER,Stimulus,Anticipation,62453,30,9.635398174726951
294,READER,Stimulus,Anticipation,62433,50,3.772425847615191
295,READER,Stimulus,Anticipation,62413,70,1.8850266188396732
296,READER,Stimulus,Arousal,9902,1,0.571596143372081
297,READER,Stimulus,Arousal,9898,5,2.8500185697974105
298,READER,Stimulus,Arousal,9893,10,5.643683083652723
299,READER,Stimulus,Arousal,9888,15,8.138032499479227
300,READER,Stimulus,Arousal,9883,20,10.055182982949114
301,READER,Stimulus,Arousal,9873,30,12.173834243000266
302,READER,Stimulus,Arousal,9853,50,1.4501884914227297
303,READER,Stimulus,Arousal,9833,70,0.37822246229787504
304,READER,Stimulus,Disgust,62482,1,0.47272857661385675
305,READER,Stimulus,Disgust,62478,5,2.355262232902907
306,READER,Stimulus,Disgust,62473,10,4.691131361945924
307,READER,Stimulus,Disgust,62468,15,6.943478502078013
308,READER,Stimulus,Disgust,62463,20,8.982158228884181
309,READER,Stimulus,Disgust,62453,30,12.134476277915757
310,READER,Stimulus,Disgust,62433,50,2.63339172456683
311,READER,Stimulus,Disgust,62413,70,0.8838798230450579
312,READER,Stimulus,Dominance,62482,1,0.47272857661385675
313,READER,Stimulus,Dominance,62478,5,2.355262232902907
314,READER,Stimulus,Dominance,62473,10,4.691131361945924
315,READER,Stimulus,Dominance,62468,15,6.943478502078013
316,READER,Stimulus,Dominance,62463,20,8.982158228884181
317,READER,Stimulus,Dominance,62453,30,12.134476277915757
318,READER,Stimulus,Dominance,62433,50,2.63339172456683
319,READER,Stimulus,Dominance,62413,70,0.8838798230450579
320,READER,Stimulus,Fear,62482,1,0.5643907981184082
321,READER,Stimulus,Fear,62478,5,2.818383342728056
322,READER,Stimulus,Fear,62473,10,5.62168695687271
323,READER,Stimulus,Fear,62468,15,8.31350182112721
324,READER,Stimulus,Fear,62463,20,10.672273786247766
325,READER,Stimulus,Fear,62453,30,13.828421648146415
326,READER,Stimulus,Fear,62433,50,1.5233579294939574
