,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,50646,1,0.9874823487883493
1,NARRATOR,Other,Unknown,50642,5,4.882110208702915
2,NARRATOR,Other,Unknown,50637,10,9.715512416561001
3,NARRATOR,Other,Unknown,50632,15,14.050294925775233
4,NARRATOR,Other,Unknown,50627,20,15.425785232096818
5,NARRATOR,Other,Unknown,50617,30,15.618883503824591
6,NARRATOR,Other,Unknown,50597,50,0.06240214701071779
7,NARRATOR,Other,Unknown,50577,70,0.006074606607560621
8,NARRATOR,Response,Anger,50646,1,0.28921684498175965
9,NARRATOR,Response,Anger,50642,5,1.444087646108118
10,NARRATOR,Response,Anger,50637,10,2.8813321483197365
11,NARRATOR,Response,Anger,50632,15,4.290341914619005
12,NARRATOR,Response,Anger,50627,20,5.649282756665155
13,NARRATOR,Response,Anger,50617,30,8.134878056832294
14,NARRATOR,Response,Anger,50597,50,4.189144622940577
15,NARRATOR,Response,Anger,50577,70,2.4017064400547223
16,NARRATOR,Response,Anticipation,50646,1,0.2898009070855476
17,NARRATOR,Response,Anticipation,50642,5,1.4466897920612727
18,NARRATOR,Response,Anticipation,50637,10,2.884232502599198
19,NARRATOR,Response,Anticipation,50632,15,4.297228412860675
20,NARRATOR,Response,Anticipation,50627,20,5.661317160818106
21,NARRATOR,Response,Anticipation,50617,30,8.141178888713458
22,NARRATOR,Response,Anticipation,50597,50,4.09350372490699
23,NARRATOR,Response,Anticipation,50577,70,2.3947021537350666
24,NARRATOR,Response,Arousal,50646,1,0.803920643987108
25,NARRATOR,Response,Arousal,50642,5,4.00722958350486
26,NARRATOR,Response,Arousal,50637,10,7.991454800522412
27,NARRATOR,Response,Arousal,50632,15,11.669957585394563
28,NARRATOR,Response,Arousal,50627,20,14.089737716022153
29,NARRATOR,Response,Arousal,50617,30,15.475396280928354
30,NARRATOR,Response,Arousal,50597,50,0.3011472772883844
31,NARRATOR,Response,Arousal,50577,70,0.032733217499656624
32,NARRATOR,Response,Disgust,27990,1,0.23725703937614812
33,NARRATOR,Response,Disgust,27986,5,1.1835763484651425
34,NARRATOR,Response,Disgust,27981,10,2.3587063394689487
35,NARRATOR,Response,Disgust,27976,15,3.509095166962853
36,NARRATOR,Response,Disgust,27971,20,4.614243855447131
37,NARRATOR,Response,Disgust,27961,30,6.637291217933886
38,NARRATOR,Response,Disgust,27941,50,4.138702246789614
39,NARRATOR,Response,Disgust,27921,70,2.802822479906526
40,NARRATOR,Response,Dominance,27990,1,0.865978081333533
41,NARRATOR,Response,Dominance,27986,5,4.309422200055552
42,NARRATOR,Response,Dominance,27981,10,8.573298934739734
43,NARRATOR,Response,Dominance,27976,15,12.213819577437516
44,NARRATOR,Response,Dominance,27971,20,13.96549355223514
45,NARRATOR,Response,Dominance,27961,30,14.678576062931757
46,NARRATOR,Response,Dominance,27941,50,0.2796243076188977
47,NARRATOR,Response,Dominance,27921,70,0.05798206157823617
48,NARRATOR,Response,Fear,50646,1,0.0274758275807327
49,NARRATOR,Response,Fear,50642,5,0.10487732603050522
50,NARRATOR,Response,Fear,50637,10,0.1784689363094939
51,NARRATOR,Response,Fear,50632,15,0.23634461065058784
52,NARRATOR,Response,Fear,50627,20,0.2869695265174153
53,NARRATOR,Response,Fear,50617,30,0.38275427662816386
54,NARRATOR,Response,Fear,50597,50,0.41070765146890603
55,NARRATOR,Response,Fear,50577,70,0.4428477111314975
56,NARRATOR,Response,Joy,50646,1,0.9876401371119844
57,NARRATOR,Response,Joy,50642,5,4.882912026761838
58,NARRATOR,Response,Joy,50637,10,9.716192507592961
59,NARRATOR,Response,Joy,50632,15,14.05196493432714
60,NARRATOR,Response,Joy,50627,20,15.423539792536298
61,NARRATOR,Response,Joy,50617,30,15.618725454157484
62,NARRATOR,Response,Joy,50597,50,0.06240214701071779
63,NARRATOR,Response,Joy,50577,70,0.006074606607560621
64,NARRATOR,Response,Sadness,50646,1,0.2898009070855476
65,NARRATOR,Response,Sadness,50642,5,1.4466999347147942
66,NARRATOR,Response,Sadness,50637,10,2.8844020835242032
67,NARRATOR,Response,Sadness,50632,15,4.297399099070195
68,NARRATOR,Response,Sadness,50627,20,5.661669520935798
69,NARRATOR,Response,Sadness,50617,30,8.142952524357584
70,NARRATOR,Response,Sadness,50597,50,4.082461497640587
71,NARRATOR,Response,Sadness,50577,70,2.388382840631948
72,NARRATOR,Response,Surprise,50646,1,0.2829227732636739
73,NARRATOR,Response,Surprise,50642,5,1.4138674819242802
74,NARRATOR,Response,Surprise,50637,10,2.8217845925254896
75,NARRATOR,Response,Surprise,50632,15,4.212214940337603
76,NARRATOR,Response,Surprise,50627,20,5.56168101263788
77,NARRATOR,Response,Surprise,50617,30,8.041758439789305
78,NARRATOR,Response,Surprise,50597,50,4.161531233450292
79,NARRATOR,Response,Surprise,50577,70,2.3594176626027306
80,NARRATOR,Response,Trust,13496,1,0.004757240636613837
81,NARRATOR,Response,Trust,13492,5,0.021355209886007295
82,NARRATOR,Response,Trust,13487,10,0.04207844248478252
83,NARRATOR,Response,Trust,13482,15,0.06281227045845032
84,NARRATOR,Response,Trust,13477,20,0.08355669640451847
