,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",5842,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",5842,7,0.00012446033994725013,0.48,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",5842,7,0.0002537850269812218,0.7,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",5842,7,0.000996492804214516,0.75,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",5842,7,0.0001357870159373699,0.26,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",5842,7,0.0011450614976537539,0.97,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",5842,7,0.000338798203341667,0.54,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",5842,7,6.218513860597124e-05,0.96,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",5842,7,0.00031596320062561,0.37,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",5842,7,1.0911524260300817e-05,0.87,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",5842,7,0.00012314350574221556,0.9,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",5842,7,0.0013878815659446675,0.94,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",5842,7,0.0007691940848672882,0.91,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",5842,7,0.0010459721016710867,0.97,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",5842,7,0.00702977343992713,0.85,0.9994629000739166
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",5842,7,0.0004981303346017458,0.54,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",5842,7,0.00907158601938466,0.99,0.9236410524322993
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",5842,7,0.00217793636650754,0.24,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",5842,7,0.001437739963554114,0.59,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",5842,7,0.000981491881079534,0.77,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",5842,7,0.0006117208235284178,0.93,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",5842,7,0.001109978947897689,0.89,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",5842,7,0.009379498504968262,1.0,0.8805691361637784
23,23,"('Response', 'Anger')","('Other', 'Unknown')",5842,7,0.0001124350202812369,0.51,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",5842,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",5842,7,0.00029434718683927846,0.04,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",5842,7,0.0003267707697281076,0.22,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",5842,7,3.6173273112024686e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",5842,7,0.0021068059644908615,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",5842,7,0.00010977416123364385,0.1,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",5842,7,0.00012387340089071438,0.05,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",5842,7,0.00011625396548469957,0.05,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",5842,7,6.0384646212131755e-06,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",5842,7,0.00010847733557361699,0.09,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",5842,7,0.0010808325368096695,0.02,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",5842,7,0.0001250883092881421,0.42,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",5842,7,0.00018604527139959664,0.59,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",5842,7,0.0006421174430040151,0.89,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",5842,7,7.609830653755026e-05,0.47,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",5842,7,0.0006900959569437951,0.99,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",5842,7,0.0001252010699485627,0.88,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",5842,7,0.000163105234216378,0.54,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",5842,7,0.00013861953676889375,0.72,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",5842,7,0.00011927239433472882,0.42,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",5842,7,0.0001978330627796294,0.59,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",5842,7,0.0011373421060485607,0.85,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",5842,7,0.0007258591475454578,0.33,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",5842,7,0.00046500044234275766,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",5842,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",5842,7,0.004902957365142831,0.0,0.9999999913702734
