,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",50919,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",50919,7,2.101084091833736e-05,0.84,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",50919,7,9.596999242562344e-05,0.37,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",50919,7,0.00028649690466422647,0.58,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",50919,7,3.9151991186529356e-05,0.32,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",50919,7,0.0008405686474542794,0.15,0.9985326315679982
6,6,"('Other', 'Unknown')","('Response', 'Fear')",50919,7,4.7696328375896027e-05,0.6,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",50919,7,2.5788857210858622e-05,0.98,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",50919,7,0.00010774435830073774,0.12,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",50919,7,2.0143316124062484e-05,0.93,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",50919,7,7.922793745158598e-05,0.8,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",50919,7,0.0007833396604936511,0.46,0.9997343326486772
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",50919,7,0.0007904255289942356,0.86,0.9996660913170105
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",50919,7,0.0012928893906853874,0.46,0.3945795690113899
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",50919,7,0.0021891506607503836,0.1,4.1409808360093336e-07
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",50919,7,0.000674074650514334,0.1,0.9999961572315287
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",50919,7,0.0017953478278716103,0.3,0.0010645333582776084
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",50919,7,0.001343579978927686,0.32,0.28100907793509466
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",50919,7,0.0009925392244713495,0.83,0.9621441472643222
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",50919,7,0.0013265709561639807,0.34,0.3170751579648786
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",50919,7,0.0004818015997483856,0.98,0.9999999999756168
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",50919,7,0.0013037159858554136,0.68,0.3688844161437169
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",50919,7,0.0008255992557949263,0.6,0.999033588436088
23,23,"('Response', 'Anger')","('Other', 'Unknown')",50919,7,0.00023518289776157248,0.25,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",50919,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",50919,7,0.0001799067005786383,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",50919,7,0.00020963682729702767,0.05,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",50919,7,8.403636925628521e-05,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",50919,7,0.0005966280084617328,0.0,0.9999999283839585
29,29,"('Response', 'Anger')","('Response', 'Fear')",50919,7,0.0001285776053931277,0.07,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",50919,7,9.957770646531517e-05,0.12,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",50919,7,0.00013637318992192814,0.04,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",50919,7,0.0002153238129687815,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",50919,7,0.00018708202908478063,0.02,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",50919,7,0.001099385384185295,0.0,0.8429611684807728
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",50919,7,0.00017904667848702446,0.96,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",50919,7,0.00047087756368859734,0.79,0.9999999999903305
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",50919,7,0.00157459790037457,0.99,0.027884371589206536
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",50919,7,0.0002635469099731728,0.29,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",50919,7,0.0009527146103084419,0.46,0.981112855124762
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",50919,7,0.0004628533890253423,0.67,0.9999999999952037
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",50919,7,0.00035427570072831015,0.85,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",50919,7,0.0004927266241087397,0.69,0.99999999994049
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",50919,7,0.00031279011824453457,0.52,1.0
