,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",26029,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",26029,7,0.00015390714913865168,0.5,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",26029,7,0.00021618991026386305,0.42,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",26029,7,0.0005836086695521542,0.98,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",26029,7,0.0001781625777008853,0.2,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",26029,7,0.0012721266977613322,0.68,0.999998757044059
6,6,"('Other', 'Unknown')","('Response', 'Fear')",26029,7,0.0004330332936178109,0.1,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",26029,7,0.00028326669758024076,0.09,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",26029,7,0.00048182207588869574,0.04,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",26029,7,0.00010158625550125836,0.56,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",26029,7,0.000150451659281335,0.96,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",26029,7,0.0012602938584572961,0.83,0.9999990785133404
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",26029,7,0.001718616715721926,0.24,0.9961276503311417
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",26029,7,0.00199695370343597,0.37,0.9415897559630343
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",26029,7,0.0049301432365818606,0.08,1.230543444918908e-10
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",26029,7,0.0010019163424882741,0.44,0.9999999997317235
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",26029,7,0.0029267394168898076,0.26,0.07021569020404184
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",26029,7,0.0030378380862387234,0.02,0.03655089452892546
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",26029,7,0.0014850962306451438,0.69,0.99988330279389
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",26029,7,0.002110469345091048,0.16,0.8752576447720897
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",26029,7,0.0009396786479438945,0.55,0.9999999999785107
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",26029,7,0.00252853388710796,0.19,0.39581114295499065
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",26029,7,0.0013850099574181536,0.97,0.9999833612714603
23,23,"('Response', 'Anger')","('Other', 'Unknown')",26029,7,0.00024176278457646884,0.68,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",26029,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",26029,7,0.0010185755694471937,0.0,0.9999999994948998
26,26,"('Response', 'Anger')","('Response', 'Arousal')",26029,7,0.001045457072759577,0.09,0.999999998646953
27,27,"('Response', 'Anger')","('Response', 'Disgust')",26029,7,0.00016426405500469325,0.17,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",26029,7,0.0021118531172718198,0.0,0.8742301005750861
29,29,"('Response', 'Anger')","('Response', 'Fear')",26029,7,0.0007333742405270584,0.0,0.9999999999999994
30,30,"('Response', 'Anger')","('Response', 'Joy')",26029,7,0.0008923321822928103,0.0,0.9999999999973839
31,31,"('Response', 'Anger')","('Response', 'Sadness')",26029,7,0.00043360024438337234,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",26029,7,0.00037495658517464867,0.01,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",26029,7,0.0007585109061614683,0.0,0.9999999999999976
34,34,"('Response', 'Anger')","('Response', 'Valence')",26029,7,0.0034371961660398455,0.0,0.0020120319981602464
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",26029,7,0.0008764789821499421,0.9,0.9999999999987572
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",26029,7,0.001630795051255006,0.37,0.9987913477558523
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",26029,7,0.0020436398921474665,1.0,0.9184929914736266
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",26029,7,0.0007179751637292868,0.65,0.9999999999999998
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",26029,7,0.002159976439979787,0.71,0.835126937143199
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",26029,7,0.0019032415015457548,0.25,0.972854557932046
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",26029,7,0.001417945697163438,0.36,0.9999673234680998
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",26029,7,0.002022255286342809,0.02,0.9297630247361576
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",26029,7,0.0007534065967407561,0.54,0.9999999999999982
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",26029,7,0.0015969813732945926,0.79,0.9992631828233522
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",26029,7,0.0012983575859552249,0.66,0.9999976331552689
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",26029,7,0.0003109058882640711,0.58,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",26029,7,0.0005754620607609744,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",26029,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",26029,7,0.0018765073224270548,0.0,0.978736249313759
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",26029,7,0.00031477364101804915,0.05,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",26029,7,0.0022017045189348214,0.0,0.7960425595066893
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",26029,7,0.0006978510447801768,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",26029,7,0.0005238582786974285,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",26029,7,0.0005449922183558272,0.01,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",26029,7,0.0005206933840520495,0.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",26029,7,0.0008191245914468099,0.0,0.9999999999999297
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",26029,7,0.0020571188832081842,0.0,0.9107655950690289
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",26029,7,0.0012208859142081284,0.54,0.9999996734536105
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",26029,7,0.001198920632718087,0.97,0.999999821961745
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",26029,7,0.004043260660314935,0.69,6.0609784025000835e-06
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",26029,7,0.0006718140611126751,0.69,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",26029,7,0.002569395591817095,0.22,0.34681363743293114
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",26029,7,0.0016690063002740756,0.78,0.9979518696322033
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",26029,7,0.0020407458764144714,0.01,0.9200885448505606
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",26029,7,0.0011767115191191,0.94,0.9999999056432164
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",26029,7,0.000592851666500664,0.86,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",26029,7,0.0019878531441622277,0.33,0.9454610350006225
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",26029,7,0.0012187876900647036,0.81,0.9999996915604619
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",26029,7,0.0006831878014252246,0.71,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",26029,7,0.0012990196327369893,0.0,0.9999975951781965
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",26029,7,0.0019434700839894667,0.0,0.9616489536146611
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",26029,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",26029,7,0.0005170238872515954,0.01,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",26029,7,0.003910418760784163,0.0,2.4551541908723884e-05
75,75,"('Response', 'Arousal')","('Response', 'Fear')",26029,7,0.001440247237026891,0.0,0.9999493798162586
76,76,"('Response', 'Arousal')","('Response', 'Joy')",26029,7,0.0015900707649301798,0.0,0.9993363088989837
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",26029,7,0.0010379320629175601,0.0,0.9999999989686629
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",26029,7,0.0008857171817225702,0.0,0.9999999999980775
79,79,"('Response', 'Arousal')","('Response', 'Trust')",26029,7,0.002172652383644269,0.0,0.8237503464989224
80,80,"('Response', 'Arousal')","('Response', 'Valence')",26029,7,0.004256410315331736,0.0,5.633980609820455e-07
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",26029,7,0.0016992368016122018,0.96,0.9969617259871896
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",26029,7,0.00204945842473507,0.95,0.9152173392620764
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",26029,7,0.00210834859557932,1.0,0.8768219062348586
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",26029,7,0.001100109736996205,0.91,0.9999999911685329
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",26029,7,0.0038217729773263776,0.16,6.0162962122523034e-05
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",26029,7,0.0027699391668517927,0.49,0.15587379351591157
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",26029,7,0.002529775689934027,0.34,0.3942851328944491
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",26029,7,0.0035887379079284597,0.02,0.0005451093646953176
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",26029,7,0.001141379008711313,0.89,0.9999999672099755
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",26029,7,0.003233775047076224,0.29,0.009772305346375076
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",26029,7,0.0018053516347037938,0.94,0.9895458769784828
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",26029,7,0.00011839613621265277,0.89,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",26029,7,0.0004159140173127301,0.01,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",26029,7,0.0004959411278387724,0.0,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",26029,7,0.0011436275313983827,0.01,0.9999999648663648
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",26029,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",26029,7,0.0017178656397834628,0.0,0.9961633237329064
98,98,"('Response', 'Disgust')","('Response', 'Fear')",26029,7,0.00019564674965598185,0.35,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",26029,7,0.0006194280392905858,0.0,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",26029,7,0.0003205203650594549,0.04,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",26029,7,7.397477426300212e-05,0.49,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",26029,7,0.0005122845742566162,0.01,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",26029,7,0.002728293445872148,0.0,0.18786275178818068
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",26029,7,0.001304196389934012,0.07,0.9999972779619932
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",26029,7,0.0017052741618604316,0.07,0.9967204640473475
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",26029,7,0.0021295957187407065,1.0,0.8605737785790627
