,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",27696,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",27696,7,0.00022654824665932467,0.61,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",27696,7,0.000215447940612502,0.52,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",27696,7,0.0014578495897763818,0.39,0.9996391547788527
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",27696,7,8.243287077208707e-05,0.65,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",27696,7,0.0020076154481535433,0.68,0.8552419134157611
6,6,"('Other', 'Unknown')","('Response', 'Fear')",27696,7,0.0004004727570345883,0.25,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",27696,7,0.00016779377976973344,0.67,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",27696,7,0.000394879155547442,0.14,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",27696,7,9.928855556361095e-05,0.81,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",27696,7,0.000420624386491745,0.27,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",27696,7,0.0023074716244008767,0.69,0.4887799654604744
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",27696,7,0.0003943886555047573,0.27,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",27696,7,0.0008404496754758884,0.04,0.9999999999971361
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",27696,7,0.0014594776667947327,0.97,0.9996289078048639
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",27696,7,0.00039611653695577776,0.05,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",27696,7,0.002787688380625719,0.86,0.05611660580002864
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",27696,7,0.0005767893178198886,0.22,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",27696,7,0.0004099994482240849,0.43,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",27696,7,0.0003375867381041801,0.75,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",27696,7,0.00043819063860003156,0.08,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",27696,7,0.0006440648427635732,0.43,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",27696,7,0.0033436977369738392,0.67,0.0007170919514409846
23,23,"('Response', 'Anger')","('Other', 'Unknown')",27696,7,0.00022437374742887513,0.86,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",27696,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",27696,7,0.0005391014240133632,0.03,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",27696,7,0.0034851132857921917,0.0,0.00018089929646769587
27,27,"('Response', 'Anger')","('Response', 'Disgust')",27696,7,0.00040006478659313215,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",27696,7,0.003180347893451353,0.0,0.0031001574028967083
29,29,"('Response', 'Anger')","('Response', 'Fear')",27696,7,0.0007208924251005431,0.01,0.999999999999996
30,30,"('Response', 'Anger')","('Response', 'Joy')",27696,7,0.0006990631885622714,0.01,0.999999999999999
31,31,"('Response', 'Anger')","('Response', 'Sadness')",27696,7,0.000670321568825371,0.02,0.9999999999999999
32,32,"('Response', 'Anger')","('Response', 'Surprise')",27696,7,0.0005686198884600692,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",27696,7,0.0006022069462898622,0.09,1.0
