,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12003,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12003,7,8.04368957454241e-05,1.0,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12003,7,0.0005087894622501284,0.27,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12003,7,0.0015910276815431143,0.84,0.9999999999999994
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12003,7,0.0002827527228671116,0.35,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12003,7,0.002668879097621777,0.9,0.9999995787335495
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12003,7,0.00014441697680197434,0.95,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12003,7,0.0003079962692527216,0.67,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12003,7,7.683826463584167e-05,1.0,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12003,7,4.0813027136531e-05,0.97,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12003,7,0.0008838848881548979,0.14,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12003,7,0.0023116451439212956,0.99,0.9999999972406901
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12003,7,0.00029069289164415006,0.9,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12003,7,0.0007572740021718666,0.47,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12003,7,0.002898227873756111,0.85,0.9999942877004295
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12003,7,0.00037692462066409623,0.37,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12003,7,0.005853009753231883,0.29,0.21355453547373116
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12003,7,0.00028464780884320765,0.97,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12003,7,0.0004904150149117689,0.81,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12003,7,0.00040560146993201546,0.79,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",12003,7,0.00010871963211081322,0.98,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",12003,7,0.000951989694159753,0.57,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",12003,7,0.005408045784517071,0.85,0.4401829967118557
23,23,"('Response', 'Anger')","('Other', 'Unknown')",12003,7,9.427922701720036e-05,0.97,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",12003,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",12003,7,0.0009558833046621576,0.06,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",12003,7,0.0036227696649984756,0.03,0.9979223548286857
27,27,"('Response', 'Anger')","('Response', 'Disgust')",12003,7,0.0006228534625699834,0.08,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",12003,7,0.00499043817502075,0.05,0.6866924072872629
29,29,"('Response', 'Anger')","('Response', 'Fear')",12003,7,0.0012389452304207617,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",12003,7,0.0013068391173097643,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",12003,7,0.0010024478233463855,0.04,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",12003,7,0.0001631721127735648,0.59,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",12003,7,0.002695137187181585,0.0,0.9999994194518775
34,34,"('Response', 'Anger')","('Response', 'Valence')",12003,7,0.004771002618108764,0.34,0.798315434033934
