,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",28493,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",28493,7,5.0545842330314275e-05,0.57,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",28493,7,7.976170853749335e-05,0.69,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",28493,7,0.0005872786462691451,0.64,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",28493,7,0.00017522850245595467,0.05,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",28493,7,0.0013360902258216986,0.1,0.9999226728952412
6,6,"('Other', 'Unknown')","('Response', 'Fear')",28493,7,1.3740078523825285e-05,1.0,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",28493,7,4.7158823638724536e-05,0.69,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",28493,7,1.6084341647409538e-05,0.99,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",28493,7,0.00017221963411512988,0.22,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",28493,7,6.832407759004277e-05,0.92,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",28493,7,0.001356074238681659,0.33,0.9998845895010786
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",28493,7,0.001211728258714761,0.47,0.999995413274882
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",28493,7,0.0009501752092671764,1.0,0.9999999988824976
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",28493,7,0.0032737257998767966,0.88,0.0005701873256855894
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",28493,7,0.0007878610768571259,0.21,0.9999999999993675
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",28493,7,0.0025621541830257387,0.26,0.13226109793351926
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",28493,7,0.0016245876476607096,0.42,0.9921990150987492
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",28493,7,0.0010382078806804847,0.95,0.9999999717825384
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",28493,7,0.0018377312776181277,0.07,0.9348699185856862
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",28493,7,0.0011957978186400485,0.09,0.9999969470718859
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",28493,7,0.0019259201935548271,0.77,0.8768694537197975
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",28493,7,0.0006571590170496496,0.89,0.9999999999999998
23,23,"('Response', 'Anger')","('Other', 'Unknown')",28493,7,0.000105612938032627,0.87,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",28493,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",28493,7,0.0006151127536086572,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",28493,7,0.0008333647968809619,0.0,0.9999999999935149
27,27,"('Response', 'Anger')","('Response', 'Disgust')",28493,7,0.0002731180840336396,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",28493,7,0.0012289290163400917,0.0,0.9999929679779032
29,29,"('Response', 'Anger')","('Response', 'Fear')",28493,7,0.00023892424667173008,0.04,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",28493,7,0.0004262491406633378,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",28493,7,0.000222565176082714,0.03,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",28493,7,0.0004328827083452396,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",28493,7,0.000858602403340548,0.0,0.9999999999783041
34,34,"('Response', 'Anger')","('Response', 'Valence')",28493,7,0.0013129514897290571,0.0,0.9999522074633342
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",28493,7,0.0006285820347830572,0.46,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",28493,7,0.0009574537037766477,0.56,0.9999999985119935
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",28493,7,0.0023005655499540975,1.0,0.40833588823831724
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",28493,7,0.0005074746174490993,0.12,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",28493,7,0.0015588767317248411,0.07,0.996670109982955
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",28493,7,0.000528074348450821,0.95,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",28493,7,0.0008888824370742699,0.18,0.9999999999140606
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",28493,7,0.0008896027314062976,0.18,0.9999999999112816
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",28493,7,0.00044997015024538515,0.71,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",28493,7,0.001049367471338705,0.74,0.9999999589437497
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",28493,7,0.0008513787980424268,0.0,0.9999999999845557
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",28493,7,0.00024153820458924777,0.64,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",28493,7,0.0005037776654588636,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",28493,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",28493,7,0.0010355881501844552,0.0,0.9999999741876602
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",28493,7,0.00016909919008912115,0.02,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",28493,7,0.0018559693386517749,0.0,0.924928016400962
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",28493,7,0.0004165163895063859,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",28493,7,0.0002559875503292081,0.03,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",28493,7,0.0003854824401534122,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",28493,7,0.00019344783741652726,0.05,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",28493,7,0.0008866362549437939,0.0,0.9999999999222008
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",28493,7,0.0015753788476321065,0.0,0.9958356288888142
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",28493,7,0.0006052689023509931,0.82,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",28493,7,0.001402559655635493,0.13,0.9997218307295574
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",28493,7,0.0034711457718282113,0.61,7.475326378958425e-05
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",28493,7,0.00044272671476968957,0.35,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",28493,7,0.0014756626502202782,0.67,0.9990320597400953
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",28493,7,0.00092231905178728,0.65,0.9999999996393155
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",28493,7,0.001174328155737155,0.13,0.9999982672054475
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",28493,7,0.0011831695517852668,0.1,0.9999978065406728
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",28493,7,0.0007490639947493647,0.24,0.9999999999999264
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",28493,7,0.0015741523224209288,0.3,0.9959033215933236
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",28493,7,0.0008630398549885876,0.11,0.9999999999733266
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",28493,7,0.0004788156103190958,0.88,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",28493,7,0.0008530405191249839,0.0,0.9999999999832929
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",28493,7,0.0017168859653573028,0.0,0.9781428566843854
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",28493,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",28493,7,0.0003758334710166093,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",28493,7,0.00302933888629255,0.0,0.005281115486650223
75,75,"('Response', 'Arousal')","('Response', 'Fear')",28493,7,0.0017173617051811053,0.0,0.9780366937435051
76,76,"('Response', 'Arousal')","('Response', 'Joy')",28493,7,0.0017651301762167837,0.0,0.965077145143925
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",28493,7,0.0012577990874007173,0.0,0.9999859848846651
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",28493,7,0.0008732080403336935,0.0,0.9999999999574517
79,79,"('Response', 'Arousal')","('Response', 'Trust')",28493,7,0.0023275441938108805,0.0,0.3722192615248805
80,80,"('Response', 'Arousal')","('Response', 'Valence')",28493,7,0.003316975629335574,0.0,0.00037161431351451224
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",28493,7,0.0015706697474002379,0.21,0.9960903795692798
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",28493,7,0.002063792342730067,0.39,0.7349807580193104
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",28493,7,0.0020966734841688464,1.0,0.693126020937056
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",28493,7,0.0005532370781453641,0.8,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",28493,7,0.0023313340107019246,0.71,0.3672486557238266
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",28493,7,0.0012797816924555352,0.97,0.9999768272569164
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",28493,7,0.0019193666757511816,0.1,0.8820652351307194
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",28493,7,0.0013511554421791446,0.72,0.9998952889912094
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",28493,7,0.0010247465479138803,0.53,0.9999999822243915
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",28493,7,0.002182697288080877,0.85,0.5747108959696372
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",28493,7,0.0014937881722602569,0.02,0.9987127899260526
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",28493,7,4.667728803764751e-05,0.88,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",28493,7,1.3144833898028463e-05,1.0,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",28493,7,0.0006528079505086305,0.0,0.9999999999999999
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",28493,7,0.00044568340320502026,0.02,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",28493,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",28493,7,0.0010092793573092185,0.0,0.9999999896878847
98,98,"('Response', 'Disgust')","('Response', 'Fear')",28493,7,4.906162573808091e-05,0.12,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",28493,7,0.0008186353304427493,0.0,0.9999999999968796
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",28493,7,4.759414478918219e-05,0.23,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",28493,7,0.0004053156757443726,0.0,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",28493,7,0.0006697557985043325,0.0,0.9999999999999994
103,103,"('Response', 'Disgust')","('Response', 'Valence')",28493,7,0.0009352239702870029,0.0,0.999999999386675
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",28493,7,0.0002727158541594023,0.94,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",28493,7,0.0010706352274598091,0.01,0.9999999177395376
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",28493,7,0.0015431367542566605,1.0,0.9973268544348202
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",28493,7,0.00027802684156623403,0.32,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",28493,7,0.0012489943554641284,0.14,0.9999886025753767
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",28493,7,0.0004731130210387938,0.71,1.0
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",28493,7,0.0007882845976570892,0.06,0.999999999999353
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",28493,7,0.0006503133335907591,0.17,0.9999999999999999
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",28493,7,0.00030739586504687633,0.7,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",28493,7,0.0007017358395535124,0.74,0.9999999999999958
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",28493,7,0.0004531392072656051,0.17,1.0
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",28493,7,0.0006321704536395728,0.95,1.0
116,116,"('Response', 'Dominance')","('Response', 'Anger')",28493,7,0.0018230816799074782,0.0,0.9421314969638455
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",28493,7,0.0026834469426165954,0.0,0.066104657844815
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",28493,7,0.0047489571158208605,0.0,3.0666580386196074e-12
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",28493,7,0.0010959169805090671,0.0,0.999999818082419
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",28493,7,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",28493,7,0.0018102264166956175,0.0,0.9479938388218767
122,122,"('Response', 'Dominance')","('Response', 'Joy')",28493,7,0.002316866225740663,0.0,0.3863660009651462
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",28493,7,0.001785973294986867,0.0,0.9578250804080711
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",28493,7,0.001842873951544689,0.0,0.9321694668383894
125,125,"('Response', 'Dominance')","('Response', 'Trust')",28493,7,0.0020816449175581,0.0,0.7125622635312817
126,126,"('Response', 'Dominance')","('Response', 'Valence')",28493,7,0.001878823962532492,0.29,0.9109965275969324
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",28493,7,0.0015547462521145233,0.54,0.9968547314072197
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",28493,7,0.0021890367866394095,0.53,0.5656853435860729
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",28493,7,0.0035659307204320106,0.45,2.6336245758318277e-05
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",28493,7,0.0008853268140543896,0.38,0.9999999999265994
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",28493,7,0.0017975804774761964,1.0,0.9533146257306961
132,132,"('Response', 'Dominance')","('Stimulus', 'Fear')",28493,7,0.0015588535183806104,0.87,0.9966711732569088
133,133,"('Response', 'Dominance')","('Stimulus', 'Joy')",28493,7,0.0019307809319514617,0.28,0.872921524938439
134,134,"('Response', 'Dominance')","('Stimulus', 'Sadness')",28493,7,0.001920542723518221,0.3,0.8811435677348068
135,135,"('Response', 'Dominance')","('Stimulus', 'Surprise')",28493,7,0.0012101203501805474,0.53,0.9999955957106702
136,136,"('Response', 'Dominance')","('Stimulus', 'Trust')",28493,7,0.002777765402965991,0.38,0.035887858397546046
137,137,"('Response', 'Dominance')","('Stimulus', 'Valence')",28493,7,0.0013301960088179857,0.31,0.9999314693773359
138,138,"('Response', 'Fear')","('Other', 'Unknown')",28493,7,6.717474776116023e-05,1.0,1.0
139,139,"('Response', 'Fear')","('Response', 'Anger')",28493,7,0.00010640295038273967,0.13,1.0
140,140,"('Response', 'Fear')","('Response', 'Anticipation')",28493,7,0.0004886789849706186,0.0,1.0
141,141,"('Response', 'Fear')","('Response', 'Arousal')",28493,7,0.0005027235226380707,0.08,1.0
142,142,"('Response', 'Fear')","('Response', 'Disgust')",28493,7,0.0002604492606625081,0.0,1.0
143,143,"('Response', 'Fear')","('Response', 'Dominance')",28493,7,0.0019737136406090157,0.0,0.8345751459608866
144,144,"('Response', 'Fear')","('Response', 'Fear')",28493,7,0.0,1.0,1.0
145,145,"('Response', 'Fear')","('Response', 'Joy')",28493,7,0.00033580168117631657,0.0,1.0
146,146,"('Response', 'Fear')","('Response', 'Sadness')",28493,7,0.00018485933786527444,0.06,1.0
147,147,"('Response', 'Fear')","('Response', 'Surprise')",28493,7,0.00028052797917452134,0.03,1.0
148,148,"('Response', 'Fear')","('Response', 'Trust')",28493,7,0.0010770391455207668,0.0,0.9999998990927382
149,149,"('Response', 'Fear')","('Response', 'Valence')",28493,7,0.0018362283279562102,0.0,0.9356441072874471
150,150,"('Response', 'Fear')","('Stimulus', 'Anger')",28493,7,0.0009958374421699609,0.1,0.9999999936527673
151,151,"('Response', 'Fear')","('Stimulus', 'Anticipation')",28493,7,0.0011351605614860476,0.41,0.9999994163302053
152,152,"('Response', 'Fear')","('Stimulus', 'Arousal')",28493,7,0.002836926213317914,0.94,0.023723075494938684
153,153,"('Response', 'Fear')","('Stimulus', 'Disgust')",28493,7,0.0004702732774330733,0.23,1.0
154,154,"('Response', 'Fear')","('Stimulus', 'Dominance')",28493,7,0.0015185533398397277,0.39,0.9981273947391556
155,155,"('Response', 'Fear')","('Stimulus', 'Fear')",28493,7,0.0003842767715881598,1.0,1.0
156,156,"('Response', 'Fear')","('Stimulus', 'Joy')",28493,7,0.0006280341513664566,0.85,1.0
157,157,"('Response', 'Fear')","('Stimulus', 'Sadness')",28493,7,0.0007699093714849125,0.57,0.9999999999997615
158,158,"('Response', 'Fear')","('Stimulus', 'Surprise')",28493,7,0.0005845446978304008,0.53,1.0
159,159,"('Response', 'Fear')","('Stimulus', 'Trust')",28493,7,0.0010246347941185701,0.97,0.9999999822932593
160,160,"('Response', 'Fear')","('Stimulus', 'Valence')",28493,7,0.0007838897869107933,0.18,0.9999999999994887
161,161,"('Response', 'Joy')","('Other', 'Unknown')",28493,7,0.0002592380208382339,0.43,1.0
162,162,"('Response', 'Joy')","('Response', 'Anger')",28493,7,0.00044853817125377213,0.0,1.0
163,163,"('Response', 'Joy')","('Response', 'Anticipation')",28493,7,0.0007016874849595794,0.0,0.9999999999999958
164,164,"('Response', 'Joy')","('Response', 'Arousal')",28493,7,0.0011585203798550666,0.0,0.999998873303519
