,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",29260,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",29260,7,4.205692952298835e-05,0.59,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",29260,7,3.423853575838339e-05,0.98,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",29260,7,0.0006062453859767075,0.43,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",29260,7,9.320291498757535e-05,0.42,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",29260,7,0.0007901842934285207,0.9,0.9999999999978313
6,6,"('Other', 'Unknown')","('Response', 'Fear')",29260,7,4.3287674445179136e-05,0.75,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",29260,7,2.692297676463296e-05,1.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",29260,7,0.00035228415560423725,0.0,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",29260,7,4.3971321595450895e-05,0.5,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",29260,7,0.00023787238555673332,0.18,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",29260,7,0.0009490363697126508,0.95,0.999999997121771
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",29260,7,0.0005491555048811106,0.42,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",29260,7,0.0005918415098372714,0.81,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",29260,7,0.0026062788886306535,0.7,0.06899743877186304
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",29260,7,0.00026389427287643226,0.54,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",29260,7,0.004068164316906734,0.15,1.256651127601316e-08
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",29260,7,0.0002977125630726644,0.99,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",29260,7,0.0009596438123021492,0.27,0.9999999956668069
