,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12219,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12219,7,6.899173262194404e-06,0.74,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12219,7,3.467472606499356e-05,0.46,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12219,7,9.318646256534738e-05,0.8,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12219,7,0.0,1.0,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12219,7,7.068540854748311e-05,0.98,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12219,7,1.382364824821885e-05,0.71,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12219,7,2.772818606930502e-05,0.72,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12219,7,1.7288926962345225e-05,0.55,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12219,7,2.0749308035183282e-05,0.39,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12219,7,3.470665282359007e-05,0.69,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12219,7,0.0001274369663321379,0.93,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12219,7,0.0010928013755907762,0.92,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12219,7,0.0022674166499306756,0.55,0.9999999973870272
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12219,7,0.011475739824230924,0.0,2.1316282072803006e-13
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12219,7,0.0013192665249280224,0.48,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12219,7,0.007077999960538029,0.03,0.005062893201043472
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12219,7,0.0015315853798020288,0.76,0.9999999999999998
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12219,7,0.0021191021278888834,0.52,0.9999999997988385
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12219,7,0.0016391345772614814,0.5,0.9999999999999956
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",12219,7,0.0023215474667469373,0.06,0.9999999937872234
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",12219,7,0.003503551037095014,0.61,0.9985402023571479
