,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13013,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13013,7,0.00012680170766634873,0.51,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13013,7,0.00018589973130057102,0.42,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13013,7,0.0003970180850947474,0.86,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13013,7,0.00012938850578657094,0.15,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13013,7,0.0005265270444218304,0.94,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13013,7,0.0004422080786096058,0.09,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13013,7,5.064318999795103e-05,0.57,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13013,7,0.00023570468246285242,0.29,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13013,7,0.00014602942670271753,0.17,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13013,7,0.0001302471590322347,0.52,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13013,7,0.0006386757824212361,0.99,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13013,7,0.0015231618434049655,0.84,0.9999999999999972
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13013,7,0.004164786885465144,0.07,0.8954646346537707
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13013,7,0.009262320769876833,0.11,6.213383474396039e-09
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13013,7,0.0010730340619957376,0.74,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13013,7,0.004605114988402754,0.16,0.685356463835291
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13013,7,0.0030477530852005543,0.3,0.9997727998866991
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13013,7,0.0030404036534583566,0.49,0.9997865311136345
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13013,7,0.002708602043801999,0.4,0.9999915091789808
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13013,7,0.00181918887828036,0.14,0.9999999999943392
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13013,7,0.0046754895490938924,0.06,0.6419934325007466
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13013,7,0.001990332843532914,0.18,0.9999999997964769
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13013,7,0.00011625072968190688,0.73,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",13013,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13013,7,0.0012378280999925716,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13013,7,0.0005957987794984284,0.03,1.0
