,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",20429,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",20429,7,0.0005441326086740842,0.06,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",20429,7,0.0006361436561991986,0.13,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",20429,7,0.001333257533127589,0.81,0.9999999986036016
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",20429,7,0.00029159162714311365,0.17,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",20429,7,0.0033627045287750496,0.03,0.2702895728741038
6,6,"('Other', 'Unknown')","('Response', 'Fear')",20429,7,0.0004234714318948226,0.27,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",20429,7,0.0002086478578143792,0.57,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",20429,7,0.0004957795494182661,0.1,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",20429,7,0.00010785683660533226,0.74,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",20429,7,0.0007692864319663092,0.04,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",20429,7,0.003390743865121945,0.33,0.2482453676625792
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",20429,7,0.0014170823533378079,0.23,0.999999986946024
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",20429,7,0.0023093999383110896,0.08,0.9887373670763164
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",20429,7,0.0052493346105351845,0.6,2.633502551252498e-06
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",20429,7,0.0009384026362679809,0.22,0.9999999999999993
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",20429,7,0.003197392155361008,0.27,0.4196954796772111
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",20429,7,0.001567336088234922,0.73,0.9999995820705652
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",20429,7,0.0011156064471527715,0.81,0.9999999999988124
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",20429,7,0.001749178074369668,0.28,0.99998717327321
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",20429,7,0.000664551123285046,0.85,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",20429,7,0.0022332687974915525,0.19,0.9941798571702979
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",20429,7,0.001152502885530653,0.57,0.999999999995435
23,23,"('Response', 'Anger')","('Other', 'Unknown')",20429,7,0.0007553323921636354,0.01,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",20429,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",20429,7,0.001038545838939939,0.03,0.9999999999999434
26,26,"('Response', 'Anger')","('Response', 'Arousal')",20429,7,0.002415463539266084,0.08,0.9746427034483537
27,27,"('Response', 'Anger')","('Response', 'Disgust')",20429,7,0.0003375512253923605,0.14,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",20429,7,0.0041722114818227175,0.0,0.007249589231312137
29,29,"('Response', 'Anger')","('Response', 'Fear')",20429,7,0.0005772172902263434,0.13,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",20429,7,0.0005162231304663579,0.13,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",20429,7,0.0003162566491324133,0.57,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",20429,7,0.0005483694076781727,0.02,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",20429,7,0.0005507464297367855,0.18,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",20429,7,0.00479735991871627,0.0,0.0001051292089253586
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",20429,7,0.0008558193675439247,0.99,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",20429,7,0.00233161570872826,0.29,0.9865151568564816
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",20429,7,0.00462418370915019,0.94,0.00037850333198796715
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",20429,7,0.0009528148655236114,0.28,0.9999999999999988
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",20429,7,0.0028920018447571496,0.79,0.7231171032356837
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",20429,7,0.0026402336384508695,0.04,0.9016288023502402
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",20429,7,0.0011000095611403012,0.92,0.9999999999993416
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",20429,7,0.0020231168264047855,0.14,0.999359496412964
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",20429,7,0.0012389483567965863,0.22,0.9999999999165466
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",20429,7,0.0022512760812453663,0.29,0.9931540559159523
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",20429,7,0.0016420358239036244,0.23,0.999998128688798
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",20429,7,0.0005718481902936793,0.33,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",20429,7,0.0006119664425003658,0.08,1.0
