,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",26582,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",26582,7,0.00013005236018118663,0.27,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",26582,7,0.00010452760420268765,0.46,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",26582,7,0.0003603568638580116,0.61,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",26582,7,8.895968852242675e-05,0.41,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",26582,7,0.0007656751315847085,0.48,0.9999999999999908
6,6,"('Other', 'Unknown')","('Response', 'Fear')",26582,7,3.315955407097595e-05,0.77,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",26582,7,0.00017500006224527022,0.32,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",26582,7,5.246345955352303e-05,0.76,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",26582,7,2.3414609483195988e-05,0.86,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",26582,7,0.0003208725294307923,0.02,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",26582,7,0.0009467006679328318,0.42,0.9999999999332675
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",26582,7,0.00033641150128351443,0.68,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",26582,7,0.00043693338291372766,0.7,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",26582,7,0.0025283668422829897,0.47,0.3321491723921661
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",26582,7,0.00028096423433016473,0.59,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",26582,7,0.004081392144585195,0.16,1.535783557660153e-06
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",26582,7,0.00037889223788782666,0.85,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",26582,7,0.00041563229647966746,0.56,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",26582,7,0.000461386234646868,0.78,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",26582,7,0.00023273530395018701,0.74,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",26582,7,0.00037571787320117155,0.87,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",26582,7,0.0041437661980511485,0.39,7.468316580716561e-07
23,23,"('Response', 'Anger')","('Other', 'Unknown')",26582,7,0.00014436853947379582,0.48,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",26582,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",26582,7,0.000247164921972881,0.05,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",26582,7,0.0010314432855101485,0.0,0.9999999982067127
27,27,"('Response', 'Anger')","('Response', 'Disgust')",26582,7,0.00037292282215001634,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",26582,7,0.0019836629569452845,0.0,0.9279679805636243
29,29,"('Response', 'Anger')","('Response', 'Fear')",26582,7,0.0002878999766014558,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",26582,7,5.972057474805688e-05,0.36,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",26582,7,0.00027516209293310584,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",26582,7,7.331775079431134e-05,0.22,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",26582,7,0.0001585478046491526,0.17,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",26582,7,0.00236674987868312,0.0,0.5386413528638445
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",26582,7,0.00047735522749291036,0.09,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",26582,7,0.0004155647742100376,0.39,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",26582,7,0.001957510504894949,0.27,0.9406433931866112
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",26582,7,0.00040957769525112766,0.06,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",26582,7,0.0024104059811616697,0.96,0.4805614755432722
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",26582,7,0.00040122918277008267,0.43,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",26582,7,0.00029062571878941853,0.55,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",26582,7,0.0003664734518463319,0.57,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",26582,7,0.00011577072542383995,0.95,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",26582,7,0.00030187886128515816,0.75,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",26582,7,0.0026453431342772205,0.98,0.2105830888638569
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",26582,7,0.00015554479063965265,0.47,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",26582,7,0.00023767077761713802,0.1,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",26582,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",26582,7,0.0014873830151941453,0.0,0.9997887941604949
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",26582,7,0.0002022804100287019,0.08,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",26582,7,0.0014669663946758375,0.0,0.9998528183349181
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",26582,7,0.0003301228376219048,0.02,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",26582,7,0.00013518722605442457,0.26,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",26582,7,0.0003520546261343517,0.02,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",26582,7,0.00028304379729607765,0.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",26582,7,0.0005982922691782934,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",26582,7,0.002091814545872131,0.0,0.8552072876759473
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",26582,7,0.00015142805715847126,0.94,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",26582,7,0.0005396432067008497,0.18,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",26582,7,0.001954939811274592,0.5,0.9417940923682804
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",26582,7,0.0003114982050812857,0.23,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",26582,7,0.0023188384958170915,1.0,0.6022038934538299
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",26582,7,0.00038344041994453474,0.55,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",26582,7,0.00031462023030002964,0.51,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",26582,7,0.00029265682385388455,0.82,1.0
