,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",38535,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",38535,7,4.9131573520461294e-05,0.46,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",38535,7,2.4350619007499073e-05,1.0,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",38535,7,0.00028298408963690745,0.88,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",38535,7,1.279994097129136e-05,0.63,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",38535,7,0.0006248655789551318,0.87,0.9999999999885236
6,6,"('Other', 'Unknown')","('Response', 'Fear')",38535,7,0.00010359444534571732,0.34,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",38535,7,1.9378152745650536e-05,0.98,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",38535,7,6.577910312307339e-05,0.46,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",38535,7,1.3230483703420181e-05,0.99,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",38535,7,3.99725612370845e-05,1.0,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",38535,7,0.000761308658548998,0.87,0.9999999789115004
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",38535,7,0.0010111464764952234,0.58,0.9998555028353532
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",38535,7,0.0012509244916795181,0.87,0.9831624624241497
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",38535,7,0.002306443774732841,0.91,0.0024162866427063223
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",38535,7,0.0005642749576655493,0.62,0.9999999999998359
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",38535,7,0.001879422793694067,0.61,0.14692115950568185
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",38535,7,0.0018708153742143878,0.0,0.15588987467866788
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",38535,7,0.0009394103729721919,0.88,0.9999811846404721
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",38535,7,0.0009123520083031133,0.79,0.9999920470178445
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",38535,7,0.0005268485946642691,0.89,0.9999999999999917
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",38535,7,0.001966308154885075,0.07,0.07644793731537847
