,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",37754,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",37754,7,1.8734554600429096e-05,0.67,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",37754,7,0.00010320917962003932,0.64,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",37754,7,0.0005210163539164991,0.65,0.999999999999998
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",37754,7,8.638760873824462e-06,0.75,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",37754,7,0.0012483145245455944,0.08,0.9889286211650278
6,6,"('Other', 'Unknown')","('Response', 'Fear')",37754,7,3.6566521778887155e-05,0.54,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",37754,7,0.00023513772417290573,0.04,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",37754,7,5.991987094563091e-05,0.52,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",37754,7,0.00019545951000725945,0.05,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",37754,7,0.0002765842130679336,0.02,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",37754,7,0.0016835798773331561,0.02,0.5058500709391877
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",37754,7,0.0002876030724834756,0.54,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",37754,7,0.0004401999240958775,0.83,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",37754,7,0.0022261834812589737,0.6,0.010097392947107764
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",37754,7,0.00013100205655852774,0.76,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",37754,7,0.0033638996906306604,0.09,2.4178958835108233e-10
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",37754,7,0.0003365215803734827,0.59,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",37754,7,0.000724820992187982,0.35,0.9999999983266243
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",37754,7,0.00032433248772195813,0.71,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",37754,7,0.0003274739543895264,0.48,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",37754,7,0.0008411456081893723,0.23,0.9999996799220715
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",37754,7,0.00316686903263386,0.22,9.723166050079612e-09
23,23,"('Response', 'Anger')","('Other', 'Unknown')",37754,7,0.00011893150353184006,0.44,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",37754,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",37754,7,0.00020539236016274461,0.03,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",37754,7,0.0007816829264951352,0.0,0.9999999739886115
27,27,"('Response', 'Anger')","('Response', 'Disgust')",37754,7,0.00012480091740320941,0.05,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",37754,7,0.0013808072893362333,0.0,0.9389203457465477
29,29,"('Response', 'Anger')","('Response', 'Fear')",37754,7,0.00014693336102799133,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",37754,7,0.00042071719956213725,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",37754,7,0.0001251086477821099,0.06,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",37754,7,0.0002731448977586983,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",37754,7,0.0002709504364937315,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",37754,7,0.001558063628266132,0.0,0.7339818937987147
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",37754,7,4.217659248013681e-05,1.0,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",37754,7,0.0002858667304765312,0.51,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",37754,7,0.0014555162142531588,0.15,0.8746094435779185
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",37754,7,3.179449087742481e-05,0.86,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",37754,7,0.0018371101805792916,0.68,0.24452231893690957
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",37754,7,0.00012256037557001516,0.73,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",37754,7,0.00020694907083928046,0.86,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",37754,7,0.00010596957394523663,0.86,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",37754,7,0.00011360786992451224,0.74,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",37754,7,0.00026290930502337215,0.69,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",37754,7,0.0016092169528335505,0.99,0.6451905046087851
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",37754,7,0.00013039495214167395,0.84,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",37754,7,0.0001069175390535892,0.1,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",37754,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",37754,7,0.0011689985346297353,0.0,0.9970947988123839
