,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",46474,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",46474,7,0.0002042664760740424,0.55,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",46474,7,0.0002519616948340715,0.5,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",46474,7,0.0011449425006826446,0.65,0.9180131122891689
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",46474,7,5.348967322190172e-05,1.0,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",46474,7,0.0018805847279195602,0.19,0.0038106149262855382
6,6,"('Other', 'Unknown')","('Response', 'Fear')",46474,7,0.00028185452482340175,0.41,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",46474,7,0.0001741874101580704,0.63,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",46474,7,0.00012001177666048996,0.98,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",46474,7,0.00014407191573841854,0.51,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",46474,7,0.0002424123895992321,0.77,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",46474,7,0.0017594445826393057,0.8,0.018627161342856913
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",46474,7,0.0009509474479171793,0.4,0.9970058013943178
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",46474,7,0.001210224276764183,0.65,0.8341585604158281
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",46474,7,0.002026728421215614,0.6,0.00041446239513320826
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",46474,7,0.0006114311270332925,0.52,0.9999999932853154
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",46474,7,0.0019525822504432688,0.51,0.0013287547671748667
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",46474,7,0.0012928736344712947,0.31,0.6768849204551415
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",46474,7,0.0011255106165696791,0.53,0.9357825999528168
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",46474,7,0.0008683284981400194,0.83,0.9996431249848159
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",46474,7,0.000668389292096352,0.55,0.9999998470781644
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",46474,7,0.001425666614210689,0.56,0.37480701156886564
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",46474,7,0.0008331621116483601,0.51,0.9998775871905742
23,23,"('Response', 'Anger')","('Other', 'Unknown')",46474,7,0.00048027961794869657,0.49,0.999999999999501
24,24,"('Response', 'Anger')","('Response', 'Anger')",46474,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",46474,7,0.0005534768275011869,0.0,0.9999999998419162
26,26,"('Response', 'Anger')","('Response', 'Arousal')",46474,7,0.0010695069559975806,0.61,0.9712307841567044
27,27,"('Response', 'Anger')","('Response', 'Disgust')",46474,7,0.00019264832238436347,0.06,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",46474,7,0.002096902904670315,0.0,0.00012823842843245892
29,29,"('Response', 'Anger')","('Response', 'Fear')",46474,7,0.00048720347065153377,0.01,0.9999999999990891
30,30,"('Response', 'Anger')","('Response', 'Joy')",46474,7,0.00039276344087904233,0.02,0.9999999999999999
31,31,"('Response', 'Anger')","('Response', 'Sadness')",46474,7,0.0004296095096922128,0.01,0.999999999999996
32,32,"('Response', 'Anger')","('Response', 'Surprise')",46474,7,0.0003128103530883621,0.01,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",46474,7,0.0005647039422211921,0.02,0.9999999996563508
34,34,"('Response', 'Anger')","('Response', 'Valence')",46474,7,0.0021186806600545873,0.19,8.792853865446926e-05
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",46474,7,0.0008195285240569661,0.65,0.9999214935037878
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",46474,7,0.0010860967919162547,0.69,0.9629164426487007
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",46474,7,0.001943983330055885,0.78,0.0015131428263093216
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",46474,7,0.000523688435892244,0.58,0.9999999999823102
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",46474,7,0.002211847248782405,0.11,1.6353266002133715e-05
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",46474,7,0.001036022249891566,0.59,0.9835060677469608
