,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",6595,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",6595,7,4.2570590199552703e-05,0.41,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",6595,7,5.4559015007304465e-05,0.71,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",6595,7,4.01261041344474e-05,1.0,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",6595,7,3.0336959045912654e-05,0.47,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",6595,7,0.00047923307289372716,0.66,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",6595,7,5.486129954454045e-05,0.4,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",6595,7,5.455053082816119e-05,0.65,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",6595,7,6.102818371411332e-05,0.45,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",6595,7,4.8432872564496656e-05,0.6,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",6595,7,4.234916203956665e-05,0.74,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",6595,7,0.0006535006043849077,0.69,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",6595,7,0.0007125598256215196,0.93,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",6595,7,0.001967311922065066,0.86,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",6595,7,0.011766156263705018,0.85,0.05215650687589113
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",6595,7,0.00047625683935551206,0.81,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",6595,7,0.009628071999584114,0.61,0.5118796779421632
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",6595,7,0.0023736890929777336,0.21,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",6595,7,0.0025700254434778266,0.31,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",6595,7,0.0016276772160449498,0.34,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",6595,7,0.0018127871757851767,0.45,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",6595,7,0.0053895997800519615,0.01,0.9999892670388368
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",6595,7,0.0019448866426634225,0.73,1.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",6595,7,3.1370908938801266e-05,0.52,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",6595,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",6595,7,2.9259955830636983e-05,0.02,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",6595,7,0.0001245993606913388,0.09,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",6595,7,5.015765751292441e-07,1.0,1.0
