,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",25565,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",25565,7,5.266638029045048e-06,0.98,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",25565,7,1.1162496212582404e-05,0.96,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",25565,7,0.00011314362445230953,0.99,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",25565,7,2.5417781089057088e-06,0.9,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",25565,7,0.00028525189399288095,1.0,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",25565,7,9.957800330637808e-06,0.92,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",25565,7,3.44546017845653e-05,0.55,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",25565,7,1.603918244413399e-05,0.75,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",25565,7,2.021403025769209e-05,0.56,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",25565,7,7.604918641536191e-06,1.0,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",25565,7,0.0004163315645092058,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",25565,7,0.00024894658821858826,0.57,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",25565,7,0.0003046265005833028,0.78,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",25565,7,0.0020370212097641205,0.78,0.9399388552258707
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",25565,7,0.00013084859415091413,0.59,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",25565,7,0.003532700139805642,0.63,0.0015340155693785995
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",25565,7,0.0002591428642220247,0.83,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",25565,7,0.00031666062320061597,0.5,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",25565,7,0.0002441521783310027,0.82,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",25565,7,0.000176774673710503,0.81,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",25565,7,0.0004521678668345344,0.56,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",25565,7,0.0036199479268262226,0.88,0.0007330655702713074
23,23,"('Response', 'Anger')","('Other', 'Unknown')",25565,7,1.6133594558448112e-05,0.99,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",25565,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",25565,7,0.00020446714526759107,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",25565,7,0.0003170192182486406,0.09,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",25565,7,0.00010204616606228292,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",25565,7,0.0008112731105189034,0.0,0.9999999999999788
29,29,"('Response', 'Anger')","('Response', 'Fear')",25565,7,9.747955696108354e-05,0.07,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",25565,7,0.00048747878174441915,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",25565,7,1.934839877674447e-05,0.67,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",25565,7,4.791688312982988e-05,0.05,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",25565,7,0.00037143076454810165,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",25565,7,0.001137027631009592,0.0,0.9999999848540154
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",25565,7,9.077115161492319e-05,0.54,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",25565,7,0.0001773277480821944,0.56,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",25565,7,0.0008369045557165761,0.88,0.9999999999999184
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",25565,7,9.583282165855276e-05,0.44,1.0
