,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",32839,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",32839,7,8.804036198108088e-05,0.28,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",32839,7,4.2743268029219005e-05,0.78,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",32839,7,0.0003233556176619035,0.64,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",32839,7,0.00019605792532311313,0.03,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",32839,7,0.00028017125274577153,1.0,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",32839,7,4.020135125038936e-05,0.7,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",32839,7,4.3148078631638704e-05,0.66,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",32839,7,0.0001221222928249185,0.25,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",32839,7,3.384582542290168e-05,0.54,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",32839,7,3.523493061142433e-05,0.97,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",32839,7,0.0004229885931407654,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",32839,7,0.00133752927789413,0.48,0.9973848010913278
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",32839,7,0.0015627823891242805,0.6,0.9518316328449861
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",32839,7,0.0038738240162515454,0.03,2.1735357957908263e-10
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",32839,7,0.0006517992425355347,0.51,0.9999999999999166
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",32839,7,0.002434913842489467,0.5,0.029457832948773244
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",32839,7,0.0013314904532149348,0.55,0.9976323607035242
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",32839,7,0.0018499736429957862,0.07,0.645420572417483
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",32839,7,0.0013264845704678168,0.7,0.997821796058556
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",32839,7,0.0008780352545026169,0.3,0.9999999886417782
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",32839,7,0.001728711789292273,0.53,0.8159080478031162
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",32839,7,0.0013598547617107379,0.07,0.9962631666154161
23,23,"('Response', 'Anger')","('Other', 'Unknown')",32839,7,0.00038801541425906137,0.01,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",32839,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",32839,7,0.0005087760191225628,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",32839,7,0.0013036297077862226,0.0,0.9985281195883742
27,27,"('Response', 'Anger')","('Response', 'Disgust')",32839,7,1.0941374043503384e-05,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",32839,7,0.0011165255486547247,0.0,0.9999728567572245
29,29,"('Response', 'Anger')","('Response', 'Fear')",32839,7,0.0003226744065501589,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",32839,7,0.0002418119759376744,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",32839,7,0.00038262350016314003,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",32839,7,4.44696332668034e-05,0.07,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",32839,7,0.0006357781296951438,0.0,0.9999999999999717
34,34,"('Response', 'Anger')","('Response', 'Valence')",32839,7,0.0010374351866757705,0.0,0.9999969537953166
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",32839,7,0.0005853224799987472,0.35,0.9999999999999993
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",32839,7,0.00035569580787847067,0.99,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",32839,7,0.002241076335771389,0.76,0.1182949626360622
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",32839,7,0.000452986395084224,0.14,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",32839,7,0.001465282559839455,0.13,0.9837083847412702
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",32839,7,0.000741158907420827,0.11,0.9999999999823248
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",32839,7,0.0006910962884449827,0.33,0.9999999999989987
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",32839,7,0.0007474436405653598,0.18,0.9999999999751917
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",32839,7,0.00027330964680297165,0.63,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",32839,7,0.0008619339480930966,0.36,0.9999999941869449
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",32839,7,0.0005678932322969738,0.3,0.9999999999999998
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",32839,7,0.00022553281183377544,0.5,1.0
