,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",24086,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",24086,7,4.176084958705177e-05,0.43,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",24086,7,2.6086534974195576e-05,0.67,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",24086,7,1.9359072697490482e-05,1.0,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",24086,7,3.125692948070663e-05,0.14,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",24086,7,6.173993633130202e-05,0.96,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",24086,7,5.5760986653123604e-05,0.17,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",24086,7,4.599029497504807e-05,0.31,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",24086,7,3.994533431189e-05,0.48,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",24086,7,4.860977641694394e-05,0.16,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",24086,7,3.270324901312242e-05,0.6,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",24086,7,7.869828434896226e-05,0.95,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",24086,7,0.0018247171470566568,0.89,0.9973538772714696
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",24086,7,0.0022558792701312534,0.38,0.8915640752280642
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",24086,7,0.005312791675764239,0.06,1.4855927599199958e-10
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",24086,7,0.0008400228692316636,0.81,0.9999999999999929
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",24086,7,0.0021243768824178895,0.95,0.9540613449396159
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",24086,7,0.0029277011801638517,0.25,0.20400461669306091
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",24086,7,0.0022266548255331243,0.08,0.9088125279343461
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",24086,7,0.0019551281302924045,0.41,0.9891178693019973
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",24086,7,0.0012967630565514472,0.55,0.9999998168097718
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",24086,7,0.002737029974542446,0.39,0.3907457930920084
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",24086,7,0.0012478948256740767,0.5,0.9999999507908579
23,23,"('Response', 'Anger')","('Other', 'Unknown')",24086,7,2.8270962676899976e-05,0.88,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",24086,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",24086,7,0.0001781153226039708,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",24086,7,2.874332418868557e-05,0.09,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",24086,7,5.856972560406796e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",24086,7,4.5601507607721026e-05,0.18,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",24086,7,4.6750729699732324e-07,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",24086,7,2.214597862446421e-05,0.03,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",24086,7,4.0976648185632334e-05,0.02,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",24086,7,9.407199435098409e-07,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",24086,7,0.00018988940886486473,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",24086,7,0.00017853081774750262,0.02,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",24086,7,0.00041173680186327587,0.31,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",24086,7,0.0003345173569694784,0.65,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",24086,7,0.0009024923913056167,0.6,0.9999999999998388
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",24086,7,0.00013443136913864452,0.58,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",24086,7,0.0002995304232456526,0.95,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",24086,7,0.00046234584758131396,0.44,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",24086,7,0.00025404026662877995,0.56,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",24086,7,0.0004433827102974675,0.21,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",24086,7,0.00019052312556983259,0.67,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",24086,7,0.00018173969984745954,1.0,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",24086,7,0.0003046924559490962,0.24,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",24086,7,6.958576195684372e-05,0.65,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",24086,7,0.00014480558538674973,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",24086,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",24086,7,0.00011118559545762066,0.01,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",24086,7,0.00015566742850573026,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",24086,7,0.0005561301130423294,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",24086,7,0.00014485899496604522,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",24086,7,7.854866664940164e-06,0.02,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",24086,7,0.00018512605048676454,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",24086,7,0.00015770988874026803,0.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",24086,7,3.4768720020617425e-05,0.05,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",24086,7,0.00032146928558797065,0.0,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",24086,7,0.0005671396198513209,0.42,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",24086,7,0.000489577175498441,0.62,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",24086,7,0.0010908274263293895,0.99,0.9999999996430627
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",24086,7,0.0002094433893144532,0.56,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",24086,7,0.0005974727980613914,0.74,1.0
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",24086,7,0.0008662091161063113,0.11,0.9999999999999726
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",24086,7,0.0005342426425808423,0.24,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",24086,7,0.0007005186684939617,0.08,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",24086,7,0.0005166371551146538,0.09,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",24086,7,0.0006263677631542142,0.66,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",24086,7,0.0005065658474684461,0.17,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",24086,7,0.00015684155341000666,0.73,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",24086,7,0.0004706118079424394,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",24086,7,0.00043932972289194934,0.0,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",24086,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",24086,7,0.0005016717411507691,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",24086,7,0.00022474713297182753,0.01,1.0
75,75,"('Response', 'Arousal')","('Response', 'Fear')",24086,7,0.000663474977685932,0.0,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",24086,7,9.251404076281714e-05,0.02,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",24086,7,0.00047713155771264245,0.0,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",24086,7,0.00025520312403099323,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",24086,7,0.00026813289730793664,0.01,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",24086,7,0.00042064917820725065,0.02,1.0
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",24086,7,0.0009750566545277748,0.58,0.9999999999958749
