,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",10413,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",10413,7,5.434655997513617e-05,0.44,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",10413,7,0.00015492299664123126,0.53,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",10413,7,0.0003195660476184077,0.87,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",10413,7,4.879731771139616e-05,0.92,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",10413,7,0.0005515196188667237,0.98,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",10413,7,0.00010452607548698741,0.16,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",10413,7,1.3451038650374727e-05,0.97,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",10413,7,0.0007004722556716504,0.02,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",10413,7,5.953622677238821e-06,0.93,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",10413,7,3.806705464238018e-06,0.99,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",10413,7,0.001121995525284093,0.84,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",10413,7,0.0004050723783087904,0.76,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",10413,7,0.0008878222276368104,0.58,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",10413,7,0.003679719686216003,0.95,0.999908858444268
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",10413,7,0.0004150131470079719,0.38,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",10413,7,0.00692338528673413,0.73,0.15683170830215043
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",10413,7,0.0005000876660138157,0.86,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",10413,7,0.0008048462563264779,0.31,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",10413,7,0.0005479026250543722,0.54,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",10413,7,0.00022499077764012837,1.0,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",10413,7,0.001055754449258515,0.29,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",10413,7,0.007450783557866391,0.93,0.05195236166770123
23,23,"('Response', 'Anger')","('Other', 'Unknown')",10413,7,2.772395869968693e-05,0.98,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",10413,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",10413,7,0.00012075132761717976,0.16,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",10413,7,0.0008214322764538592,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",10413,7,1.8939067955664657e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",10413,7,0.0007849034036612043,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",10413,7,9.12163517546013e-05,0.07,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",10413,7,0.00039046574401901144,0.01,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",10413,7,0.00044800055585685094,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",10413,7,0.00028155550021596756,0.03,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",10413,7,0.00031569984317501073,0.04,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",10413,7,0.0006080842506184389,0.07,1.0
