,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",16598,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",16598,7,1.916110877241443e-05,0.9,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",16598,7,4.294516954044488e-05,0.88,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",16598,7,0.0012616079528097554,0.16,0.999999999999968
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",16598,7,6.7377240625588445e-06,0.88,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",16598,7,0.0013646417332318786,0.76,0.9999999999990858
6,6,"('Other', 'Unknown')","('Response', 'Fear')",16598,7,4.4174155055454385e-05,0.68,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",16598,7,0.0002018254657672004,0.45,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",16598,7,1.871425550979157e-05,1.0,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",16598,7,8.65126042646938e-05,0.56,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",16598,7,0.0002081964186485119,0.45,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",16598,7,0.0013557692502019218,0.93,0.9999999999993047
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",16598,7,0.00031477616000514955,0.65,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",16598,7,0.0003503454769070298,0.9,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",16598,7,0.002748356610179776,0.98,0.9942053719690725
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",16598,7,0.00025662416343345606,0.66,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",16598,7,0.004853420751160452,0.93,0.025514129343768066
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",16598,7,0.0009032906537998106,0.23,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",16598,7,0.0003750614987437433,0.85,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",16598,7,0.0008294851644588697,0.29,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",16598,7,0.000565038469137899,0.18,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",16598,7,0.0006097565127248886,0.62,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",16598,7,0.005376684110584639,0.94,0.0021697274177915338
23,23,"('Response', 'Anger')","('Other', 'Unknown')",16598,7,7.120294852833014e-05,0.87,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",16598,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",16598,7,0.0009434153528263357,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",16598,7,0.0010646938903495036,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",16598,7,0.0001277074831672963,0.06,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",16598,7,0.0019845699600395204,0.0,0.9999989530632699
29,29,"('Response', 'Anger')","('Response', 'Fear')",16598,7,0.00016002345842744498,0.12,1.0
