,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",7003,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",7003,7,0.00022953943819875692,0.51,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",7003,7,0.0007030547603902301,0.18,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",7003,7,0.0020277266883188694,0.3,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",7003,7,0.0001550351894848133,0.37,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",7003,7,0.004595452144791419,0.08,0.9999995168411138
6,6,"('Other', 'Unknown')","('Response', 'Fear')",7003,7,0.0002616691818516674,0.46,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",7003,7,2.2629186017259636e-05,1.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",7003,7,7.736604547926418e-05,0.66,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",7003,7,0.000757937466743586,0.13,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",7003,7,0.0016339368344584016,0.04,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",7003,7,0.005095610703877565,0.1,0.99998792140747
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",7003,7,0.0015026408457583108,0.01,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",7003,7,0.0014475213262901442,0.14,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",7003,7,0.005074478028403823,0.71,0.9999893173767026
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",7003,7,0.0006223163576922628,0.3,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",7003,7,0.010446042132068484,0.63,0.1299474197701065
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",7003,7,0.0011445571447422922,0.23,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",7003,7,0.0007523237527472269,0.66,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",7003,7,0.0007517928356942198,0.49,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",7003,7,0.0005829325969794886,0.68,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",7003,7,0.0014995215729956372,0.34,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",7003,7,0.010599721793152552,0.93,0.10581962781171861
