,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9902,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9902,7,9.076939513325664e-05,0.63,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9902,7,0.00011980779058369715,0.21,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9902,7,0.0005691071627967747,0.94,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9902,7,1.2913324430370687e-05,0.98,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9902,7,0.0012719485149719865,0.71,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9902,7,0.0005084557295205506,0.25,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9902,7,9.316045106028528e-06,0.94,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9902,7,2.234646954081947e-05,0.92,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9902,7,2.914473615117785e-05,0.8,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9902,7,3.945887803834281e-05,0.95,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9902,7,0.001711092024294048,0.6,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9902,7,0.0026236572706779806,0.33,0.9999999997724136
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9902,7,0.0030147407056138747,0.23,0.9999999617918233
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9902,7,0.010899570940472489,0.59,1.9970005846747796e-06
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9902,7,0.0020208568445512403,0.21,0.9999999999999957
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9902,7,0.008617685151346454,0.2,0.007111268405596283
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9902,7,0.004487351845429356,0.02,0.9966762420291786
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9902,7,0.002323910252809603,0.57,0.999999999998253
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9902,7,0.0023815059452798617,0.32,0.9999999999952021
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9902,7,0.0025100268198732434,0.14,0.9999999999599274
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9902,7,0.003519223078831016,0.28,0.9999940046249618
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9902,7,0.0033038003224641604,0.15,0.9999991683599662
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9902,7,0.00040571964838438006,0.49,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",9902,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9902,7,0.00028384343298162726,0.02,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",9902,7,0.0013213699807700266,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",9902,7,0.00023929364046824624,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",9902,7,0.0022103902898717004,0.0,0.9999999999997877
29,29,"('Response', 'Anger')","('Response', 'Fear')",9902,7,0.0007936536413758804,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",9902,7,0.00018419705620846124,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",9902,7,0.0003571261110058965,0.05,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",9902,7,2.5924174305952472e-05,0.6,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",9902,7,0.00048546960022313924,0.03,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",9902,7,0.002108330320927337,0.0,0.9999999999999724
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",9902,7,0.00036233871081454424,0.99,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",9902,7,0.0004961059919765302,0.93,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",9902,7,0.0034012273881841608,0.99,0.9999979035539229
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",9902,7,0.00015677451093823143,1.0,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",9902,7,0.0027957742140671416,0.8,0.9999999974747119
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",9902,7,0.0012867462053465471,0.46,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",9902,7,0.0008862223531994035,0.54,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",9902,7,0.0011168028251380573,0.25,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",9902,7,0.00023741665791297668,1.0,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",9902,7,0.0008937500933781301,0.86,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",9902,7,0.0007245873876767252,0.86,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",9902,7,5.272125393200131e-05,0.99,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",9902,7,0.0008123242355971569,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",9902,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",9902,7,0.001180998505117871,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",9902,7,0.00030563366954877496,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",9902,7,0.001347264788373906,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",9902,7,0.000869900418934576,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",9902,7,0.00048255063164042415,0.01,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",9902,7,0.00017602945953566098,0.11,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",9902,7,1.533864147630642e-05,0.27,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",9902,7,0.00037283412098723954,0.02,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",9902,7,0.0004667920689236426,0.22,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",9902,7,0.0006484123529944171,0.41,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",9902,7,0.00020184144407402988,1.0,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",9902,7,0.0022278251787739615,0.9,0.9999999999997035
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",9902,7,0.0001362704363290088,0.87,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",9902,7,0.0018426695754814911,0.52,0.9999999999999999
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",9902,7,0.0010305168759698036,0.32,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",9902,7,0.00038341748709435676,0.76,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",9902,7,0.001078474818722998,0.07,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",9902,7,0.00026819243106688943,0.77,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",9902,7,0.0009568435019023047,0.32,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",9902,7,0.0008007736605340147,0.26,1.0
