,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",30944,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",30944,7,0.00016633710039452705,0.25,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",30944,7,0.00018626444132225498,0.62,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",30944,7,0.0012548748842941514,0.22,0.9998682222466179
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",30944,7,0.00028824555153231354,0.01,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",30944,7,0.0015343696416504073,0.97,0.9872740839420528
6,6,"('Other', 'Unknown')","('Response', 'Fear')",30944,7,0.00016760631507895026,0.72,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",30944,7,9.927375360251416e-05,0.99,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",30944,7,6.510711416999617e-05,1.0,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",30944,7,0.00015557677376586428,0.44,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",30944,7,0.00015020703180957304,0.95,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",30944,7,0.0023869317391356612,0.61,0.11241968914793077
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",30944,7,0.000838005873136366,0.63,0.999999999784217
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",30944,7,0.0015135566805052833,0.24,0.9901855525342658
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",30944,7,0.0027288527691398494,1.0,0.009052832528101962
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",30944,7,0.0005274290749766515,0.58,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",30944,7,0.002621598227904234,0.58,0.022030810262686717
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",30944,7,0.000977517783928016,0.96,0.9999999385266696
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",30944,7,0.0008633562086035923,0.67,0.9999999993234641
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",30944,7,0.0007813806398766013,0.94,0.9999999999864569
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",30944,7,0.0005507306901488992,0.66,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",30944,7,0.0012485819864520838,0.8,0.999884729056388
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",30944,7,0.001158392526607171,0.12,0.9999858983551472
23,23,"('Response', 'Anger')","('Other', 'Unknown')",30944,7,0.0004156083560886643,0.42,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",30944,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",30944,7,0.0005812645205495434,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",30944,7,0.0012963570958968178,0.02,0.999693627751037
27,27,"('Response', 'Anger')","('Response', 'Disgust')",30944,7,0.0001288714696264889,0.19,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",30944,7,0.002580089248003215,0.0,0.030357789436622373
29,29,"('Response', 'Anger')","('Response', 'Fear')",30944,7,0.00039233403420898795,0.05,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",30944,7,0.0005153280235972549,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",30944,7,0.0003465268774258577,0.05,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",30944,7,0.0006649397346133274,0.0,0.999999999999985
33,33,"('Response', 'Anger')","('Response', 'Trust')",30944,7,0.000766104029400061,0.0,0.9999999999939283
34,34,"('Response', 'Anger')","('Response', 'Valence')",30944,7,0.002739327086797665,0.01,0.008261776032795876
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",30944,7,0.0005154382431113831,0.94,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",30944,7,0.0012505317001447439,0.37,0.999879828621379
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",30944,7,0.002033254162118913,1.0,0.5383198264837352
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",30944,7,0.0005837811125279146,0.28,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",30944,7,0.002557502032488131,0.22,0.03593915435293482
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",30944,7,0.0013097592873358072,0.19,0.9996031504561661
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",30944,7,0.0006307469524781707,0.91,0.9999999999999986
