,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",15710,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",15710,7,0.00016205013369953986,0.3,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",15710,7,5.8534373694189985e-05,0.95,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",15710,7,0.001331244894422757,0.04,0.9999999999999698
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",15710,7,0.00012996735318806797,0.26,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",15710,7,0.0014062663084492054,0.49,0.9999999999996808
6,6,"('Other', 'Unknown')","('Response', 'Fear')",15710,7,0.00018879832901616076,0.34,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",15710,7,9.130615930528654e-05,0.77,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",15710,7,2.6909197675502848e-05,0.78,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",15710,7,1.2736731065845076e-05,0.99,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",15710,7,3.861195538206441e-05,0.99,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",15710,7,0.0015805728253571246,0.66,0.9999999999610028
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",15710,7,0.0015232142202469482,0.31,0.9999999999911812
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",15710,7,0.0026356963908352508,0.82,0.9993318270394943
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",15710,7,0.007712583786824031,0.17,4.538923459307398e-09
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",15710,7,0.000597201437031344,0.9,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",15710,7,0.003101818950294358,0.87,0.9796572994199326
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",15710,7,0.0029270639332569515,0.0,0.9931894327928598
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",15710,7,0.0032713096787741008,0.3,0.9509533269201588
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",15710,7,0.002467159013620211,0.04,0.9998752726242586
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",15710,7,0.001945667569380504,0.04,0.9999999125214217
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",15710,7,0.003321028748721894,0.26,0.9384201348352541
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",15710,7,0.0017332923768796106,0.07,0.9999999986224929
23,23,"('Response', 'Anger')","('Other', 'Unknown')",15710,7,0.00017509748465311206,0.7,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",15710,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",15710,7,0.0003538773390966641,0.04,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",15710,7,0.0002873400497198445,0.55,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",15710,7,0.0006235247743329072,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",15710,7,0.0018582093708447646,0.0,0.9999999824713048
29,29,"('Response', 'Anger')","('Response', 'Fear')",15710,7,0.0003045764090672653,0.07,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",15710,7,0.0007235248676583572,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",15710,7,0.0002510670396870156,0.05,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",15710,7,0.0006482392775641277,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",15710,7,0.0006627345104734746,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",15710,7,0.0018828585933429347,0.0,0.9999999720455799
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",15710,7,0.0010922222160856159,0.05,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",15710,7,0.0012939521618919672,0.66,0.9999999999999913
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",15710,7,0.0033211537761954546,0.99,0.9383859042227487
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",15710,7,0.0006736611487635622,0.18,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",15710,7,0.0018332771390029746,0.62,0.9999999891909245
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",15710,7,0.0011484637954881334,0.13,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",15710,7,0.0019696945103443537,0.02,0.9999998670327472
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",15710,7,0.0014813705499808166,0.02,0.9999999999971827
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",15710,7,0.0006949028369456096,0.47,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",15710,7,0.001973649020832852,0.1,0.9999998576758147
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",15710,7,0.0005408851726224647,0.62,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",15710,7,8.396422444165286e-05,0.98,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",15710,7,0.00025094146803819535,0.04,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",15710,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",15710,7,0.0015790279153603643,0.0,0.9999999999624911
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",15710,7,0.00036417909401881423,0.03,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",15710,7,0.0021694442016979526,0.0,0.9999969379387156
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",15710,7,0.0002848951625622928,0.08,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",15710,7,0.0009137483617514435,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",15710,7,0.00024828006622632475,0.07,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",15710,7,0.0004301009779124945,0.02,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",15710,7,0.0010514319774197472,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",15710,7,0.00271331738978686,0.0,0.9986736947812106
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",15710,7,0.0013144915234701983,0.11,0.9999999999999826
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",15710,7,0.001543943443812662,0.88,0.9999999999847555
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",15710,7,0.004853939666250698,0.85,0.06929439173760632
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",15710,7,0.0006663755892817715,0.29,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",15710,7,0.0018465261733945305,0.93,0.9999999860045096
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",15710,7,0.0009773159844774372,0.64,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",15710,7,0.002593647938399258,0.03,0.999549244475393
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",15710,7,0.0009121603989968656,0.72,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",15710,7,0.0010683376748176982,0.36,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",15710,7,0.002642637213354564,0.04,0.9992880618881754
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",15710,7,0.0006365912549472317,0.72,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",15710,7,0.001276258272541938,0.11,0.9999999999999952
70,70,"('Response', 'Arousal')","('Response', 'Anger')",15710,7,0.0004946382538926049,0.03,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",15710,7,0.00153841248477598,0.0,0.9999999999868119
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",15710,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",15710,7,0.0009556814701632248,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",15710,7,0.003916938674220482,0.0,0.6079033504065521
75,75,"('Response', 'Arousal')","('Response', 'Fear')",15710,7,0.0008459872257551024,0.0,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",15710,7,0.0006811034690310352,0.01,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",15710,7,0.00042797838022301223,0.03,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",15710,7,0.000874733926051335,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",15710,7,0.0012669558868846405,0.0,0.9999999999999966
80,80,"('Response', 'Arousal')","('Response', 'Valence')",15710,7,0.004640685538767963,0.0,0.13504896363245888
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",15710,7,0.00253604694261998,0.03,0.9997440156188621
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",15710,7,0.003249796851714001,0.63,0.9557361039343677
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",15710,7,0.00429147244621009,1.0,0.3235225575510595
