,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",32714,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",32714,7,2.264548734940822e-05,0.6,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",32714,7,7.808024455582677e-06,0.73,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",32714,7,0.00019817003216006357,0.61,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",32714,7,1.2814340822253303e-05,0.51,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",32714,7,0.000336065766797371,0.78,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",32714,7,2.268553136835247e-05,0.43,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",32714,7,4.464817562276532e-05,0.58,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",32714,7,2.4206169962488933e-05,0.4,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",32714,7,4.32425976435186e-05,0.44,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",32714,7,5.3981368243677566e-05,0.47,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",32714,7,0.00044785189422200426,0.78,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",32714,7,0.00025208240316796336,0.4,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",32714,7,0.0002697082134373312,0.96,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",32714,7,0.0020180500944360566,0.93,0.3860796931709882
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",32714,7,6.663336436776357e-05,0.91,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",32714,7,0.00318585270745971,0.68,9.197940735283794e-06
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",32714,7,0.00013865637822604174,0.95,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",32714,7,0.0003167549444079854,0.72,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",32714,7,0.0002443321771768523,0.52,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",32714,7,0.00019825840994534512,0.64,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",32714,7,0.0005155466783746313,0.42,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",32714,7,0.004305709267557835,0.01,1.4555023852835802e-13
23,23,"('Response', 'Anger')","('Other', 'Unknown')",32714,7,1.5525648903583303e-05,0.89,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",32714,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",32714,7,0.00023777316964627578,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",32714,7,0.0002006762280708525,0.02,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",32714,7,9.223219536767796e-06,0.01,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",32714,7,0.00041894390968412015,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",32714,7,2.9085205680175355e-05,0.01,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",32714,7,1.6698314326049376e-05,0.02,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",32714,7,0.00015123547820678954,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",32714,7,1.8191272869866062e-05,0.05,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",32714,7,0.00010748886954133142,0.03,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",32714,7,0.00045410917170457754,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",32714,7,0.00011696123804298395,0.21,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",32714,7,2.5554175109925095e-05,0.98,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",32714,7,0.0006027769591589981,0.35,0.9999999999999977
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",32714,7,6.672546467158991e-05,0.09,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",32714,7,0.0005342766556696416,0.99,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",32714,7,2.7437590060848484e-05,0.76,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",32714,7,6.379582274491665e-05,0.61,1.0
