,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",34990,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",34990,7,1.1180874808961858e-05,0.74,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",34990,7,1.3516552932613245e-05,0.96,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",34990,7,0.0003508797828465221,0.48,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",34990,7,4.030619503052889e-05,0.35,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",34990,7,0.00032642883638451457,1.0,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",34990,7,0.00012517499051393032,0.15,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",34990,7,4.1430933835784824e-06,1.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",34990,7,6.408100040664908e-05,0.35,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",34990,7,0.0001420070246196101,0.16,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",34990,7,2.84769491451692e-05,0.85,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",34990,7,0.0004796846849834533,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",34990,7,0.0008259359079589745,0.81,0.9999999876687992
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",34990,7,0.0013325760779033127,0.28,0.9909951223832444
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",34990,7,0.003387469809455785,0.28,1.5978657064152912e-08
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",34990,7,0.0006985193368081979,0.24,0.9999999999790685
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",34990,7,0.0017522255816341582,0.99,0.6182086380587051
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",34990,7,0.0018531679334560485,0.01,0.4424088326782948
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",34990,7,0.0010864941309033272,0.13,0.9999254506068717
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",34990,7,0.001046719773727801,0.51,0.9999736975977742
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",34990,7,0.0007661773644961306,0.46,0.9999999992275692
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",34990,7,0.001534310764628375,0.13,0.9074400342702944
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",34990,7,0.000993839502271657,0.51,0.9999942859784221
23,23,"('Response', 'Anger')","('Other', 'Unknown')",34990,7,8.992251745755227e-05,0.53,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",34990,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",34990,7,0.00011022803573020891,0.17,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",34990,7,0.00036915657688317365,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",34990,7,1.5712478518723365e-05,0.07,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",34990,7,0.0008000907340228905,0.0,0.9999999961124234
29,29,"('Response', 'Anger')","('Response', 'Fear')",34990,7,9.491833300456762e-05,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",34990,7,0.0002005182474643661,0.01,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",34990,7,1.061129656673973e-05,0.35,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",34990,7,6.906686981884788e-05,0.09,1.0
