,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13432,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13432,7,7.835335212402926e-05,0.45,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13432,7,0.0001763328723022811,0.27,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13432,7,0.00027151771195842584,0.96,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13432,7,6.477596380291069e-05,0.32,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13432,7,0.0005461059131743593,0.99,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13432,7,0.00013184077948962374,0.39,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13432,7,0.0001025427383834986,0.46,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13432,7,0.00010130027929430904,0.52,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13432,7,0.0001409360324922199,0.32,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13432,7,0.00017781497600139335,0.23,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13432,7,0.0008630592991741094,0.91,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13432,7,0.0011933076374873973,0.47,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13432,7,0.0018449683463482706,0.58,0.9999999999640705
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13432,7,0.008770994736415417,0.18,2.2864191318028304e-08
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13432,7,0.0004284696023707481,1.0,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13432,7,0.0038742074372968525,0.85,0.9408062149949367
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13432,7,0.0016744304379902892,0.54,0.9999999999993231
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13432,7,0.0012296024053400178,0.6,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13432,7,0.0010675706838518925,0.74,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13432,7,0.0008909678651077787,0.84,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13432,7,0.0020471217368198454,0.74,0.9999999980225739
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13432,7,0.0007900464309487316,0.91,1.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13432,7,0.0001129385545632632,0.39,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",13432,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13432,7,5.186549604197181e-05,0.22,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13432,7,0.0006947738718808418,0.02,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",13432,7,0.00087423684092281,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",13432,7,0.0005567398680543585,0.08,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",13432,7,0.0004408371674104963,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",13432,7,0.00020581468059932746,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",13432,7,0.0003346553180783361,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",13432,7,5.4848828913736764e-05,0.1,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",13432,7,0.00016018126491199093,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",13432,7,0.0006366308793955086,0.08,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",13432,7,0.00035613082149386536,0.34,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",13432,7,0.00019122789959898575,0.99,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",13432,7,0.002302771548817083,0.28,0.9999998692622767
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",13432,7,0.00044549757897615163,0.16,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",13432,7,0.0017854899759764207,0.08,0.9999999999903814
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",13432,7,0.0008432650726874835,0.05,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",13432,7,0.00020904864447073804,0.8,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",13432,7,0.0005396558070791427,0.25,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",13432,7,0.00036341283820937975,0.48,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",13432,7,0.0007632188594335504,0.29,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",13432,7,0.0002267914773153247,0.74,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",13432,7,0.0004197507456224855,0.24,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",13432,7,0.00020442708712364977,0.03,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",13432,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",13432,7,0.001213915864238049,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",13432,7,0.00017379022011362752,0.03,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",13432,7,0.0010605746409277006,0.02,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",13432,7,0.00036422946256010137,0.04,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",13432,7,0.0002096767984772036,0.07,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",13432,7,0.00012347681562323033,0.02,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",13432,7,0.00043647529674287634,0.04,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",13432,7,0.0002189901007815712,0.04,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",13432,7,0.0013061552222391876,0.01,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",13432,7,0.0006162427675116568,0.38,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",13432,7,0.0008033130926441981,0.68,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",13432,7,0.004072787217983554,0.55,0.8820078926769032
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",13432,7,0.00022394452454914838,0.67,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",13432,7,0.0023579491996312597,0.33,0.999999710311851
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",13432,7,0.0007426838003550751,0.59,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",13432,7,0.0009357223686212395,0.25,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",13432,7,0.0004988437414810065,0.76,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",13432,7,0.00028942807178131385,0.94,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",13432,7,0.001513169421115336,0.09,0.9999999999999913
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",13432,7,0.0003591290000877614,0.86,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",13432,7,0.00037722637043816537,0.97,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",13432,7,0.0005187606175166266,0.01,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",13432,7,0.0003300222005107132,0.12,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",13432,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",13432,7,7.065235877827273e-05,0.35,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",13432,7,0.0034501402229368413,0.0,0.9920642159822467
75,75,"('Response', 'Arousal')","('Response', 'Fear')",13432,7,0.00025971759767570127,0.09,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",13432,7,0.00035474129250688714,0.09,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",13432,7,0.00018419208291486428,0.18,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",13432,7,0.0005049271297887058,0.01,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",13432,7,0.0011026854906006414,0.0,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",13432,7,0.0031106396565702614,0.0,0.9991717359419414
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",13432,7,0.0015522339517035231,0.2,0.9999999999999737
