,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9623,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9623,7,8.824841250167378e-05,0.1,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9623,7,0.00011488876320186416,0.1,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9623,7,0.0010362520289511604,0.01,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9623,7,0.00011909323380966352,0.13,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9623,7,0.0012533989211047085,0.01,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9623,7,7.92374728965162e-05,0.07,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9623,7,0.0004183795905204365,0.02,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9623,7,0.00011555324253611242,0.08,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9623,7,5.235582232615141e-05,0.41,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9623,7,0.000858694356417692,0.01,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9623,7,0.0011722020054933085,0.02,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9623,7,0.003523686921405607,0.18,0.9999974096092114
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9623,7,0.004143072998642016,0.36,0.9997413290336201
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9623,7,0.012153881958687928,0.04,3.4624122347004516e-08
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9623,7,0.0014016704471470649,0.62,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9623,7,0.004701441383874455,0.59,0.9951409878268828
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9623,7,0.003286604756789353,0.87,0.9999997255810342
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9623,7,0.004154857804868023,0.01,0.9997218665197795
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9623,7,0.0030242286044176803,0.42,0.9999999844615081
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9623,7,0.001766672436463496,0.73,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9623,7,0.005575559146562266,0.06,0.9088366346920468
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9623,7,0.0018745175950241816,0.67,1.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9623,7,0.0003312378031147672,0.14,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",9623,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9623,7,4.709302014270837e-05,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",9623,7,0.00041138900556057957,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",9623,7,7.073953643876012e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",9623,7,0.0002804676701890523,0.07,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",9623,7,0.00020345144538954756,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",9623,7,3.456421269006984e-05,0.03,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",9623,7,4.181825289056391e-05,0.02,1.0
